#t,ESS,tempDiff,temp
0,999.9999999999848,0.0,0.0
1,999.9899999999956,3.3073395080353757E-6,3.3073395080353757E-6
2,999.9601246156723,3.311783323100606E-6,6.619122831135981E-6
3,999.9105009665934,3.3230294977062594E-6,9.94215232884224E-6
4,999.8413408650687,3.3472356726839686E-6,1.328938800152621E-5
5,999.7527608587974,3.368938456200421E-6,1.665832645772663E-5
6,999.6451031383857,3.3595605703754168E-6,2.0017887028102047E-5
7,999.5185097592347,3.3758819727955193E-6,2.3393769000897565E-5
8,999.3730551313022,3.3860045735388343E-6,2.67797735744364E-5
9,999.2088529974928,3.3987254735894398E-6,3.017849904802584E-5
10,999.0265723489241,3.372466625539942E-6,3.355096567356578E-5
11,998.8257904106542,3.3727330636457886E-6,3.692369873721157E-5
12,998.6064144483756,3.3737355640480008E-6,4.029743430125957E-5
13,998.3687043182089,3.3727765688975918E-6,4.3670210870157165E-5
14,998.1130452089864,3.3552878315941427E-6,4.7025498701751306E-5
15,997.8399223650855,3.351217328600735E-6,5.037671603035204E-5
16,997.548435497476,3.372524425313899E-6,5.374924045566594E-5
17,997.2395931258578,3.365419175622437E-6,5.7114659631288375E-5
18,996.913728101266,3.3769776224344046E-6,6.049163725372278E-5
19,996.5712582032718,3.380311463474142E-6,6.387194871719692E-5
20,996.2116346533467,3.3856219504848125E-6,6.725757066768174E-5
21,995.8341209716956,3.374261706078272E-6,7.063183237376001E-5
22,995.4399950948975,3.366852673362835E-6,7.399868504712285E-5
23,995.0301225940805,3.3728781546678475E-6,7.73715632017907E-5
24,994.6046569023263,3.4022371291781273E-6,8.077380033096882E-5
25,994.1628490952323,3.414300177444527E-6,8.418810050841335E-5
26,993.7055435279661,3.430227591668274E-6,8.761832810008162E-5
27,993.2323783731966,3.4548424225019724E-6,9.107317052258359E-5
28,992.7441456731452,3.4743597319723446E-6,9.454753025455594E-5
29,992.2396072365442,3.4815826206434023E-6,9.802911287519933E-5
