#t,ESS,tempDiff,temp
0,999.9999999999848,0.0,0.0
1,999.9899999999988,1.8983233439395213E-6,1.8983233439395213E-6
2,999.960092507939,1.904461124893587E-6,3.8027844688331084E-6
3,999.9103841431134,1.9060206569381752E-6,5.708805125771284E-6
4,999.840933092314,1.9040601482436098E-6,7.612865274014894E-6
5,999.7519350402662,1.9015225144757156E-6,9.51438778849061E-6
6,999.643523167837,1.9005816196432662E-6,1.1414969408133876E-5
7,999.5156652193994,1.901078680633548E-6,1.3316048088767424E-5
8,999.3686663971267,1.9059678870040727E-6,1.5222015975771496E-5
9,999.2025327159203,1.913532815191832E-6,1.7135548790963327E-5
10,999.0173110959665,1.912714961165566E-6,1.9048263752128893E-5
11,998.8130859675158,1.9160203725647962E-6,2.096428412469369E-5
12,998.5900505116562,1.909023471538666E-6,2.2873307596232356E-5
13,998.3482624953822,1.9110398287500617E-6,2.4784347424982418E-5
14,998.0879681029452,1.9110634772521267E-6,2.6695410902234544E-5
15,997.8091932586543,1.91280837924937E-6,2.8608219281483916E-5
16,997.5120054321038,1.924319896474996E-6,3.053253917795891E-5
17,997.1966431699202,1.9307890025839876E-6,3.24633281805429E-5
18,996.8634061624855,1.9348985479769227E-6,3.439822672851982E-5
19,996.5123604357495,1.9300896071296177E-6,3.6328316335649436E-5
20,996.1439244037728,1.9274604957766984E-6,3.8255776831426136E-5
21,995.7578712975783,1.917689523836849E-6,4.0173466355262983E-5
22,995.3556502332415,1.906224823018891E-6,4.2079691178281874E-5
23,994.9359195436255,1.909501149044774E-6,4.398919232732665E-5
24,994.498427817129,1.9091923796294093E-6,4.5898384706956056E-5
25,994.0438757431826,1.915134393049425E-6,4.7813519100005484E-5
26,993.5728507014549,1.9107921542137014E-6,4.972431125421918E-5
27,993.0848821854361,1.9123192516761016E-6,5.163663050589529E-5
28,992.5799920782304,1.9011161634026386E-6,5.353774666929792E-5
29,992.0597314740011,1.9014008983834118E-6,5.543914756768134E-5
30,991.5229589061291,1.8935059460316961E-6,5.7332653513713033E-5
31,990.9700570883741,1.8995245770659206E-6,5.923217809077895E-5
32,990.4013558481481,1.8996201273718496E-6,6.11317982181508E-5
33,989.8157632305397,1.9066642717463705E-6,6.303846248989717E-5
34,989.2149772491636,1.9066626257531725E-6,6.494512511565034E-5
35,988.599703573518,1.9094221167385438E-6,6.685454723238889E-5
36,987.9677832791643,1.913989005415961E-6,6.876853623780484E-5
37,987.3216197566633,1.9121578529452715E-6,7.06806940907501E-5
38,986.6601573405723,1.9067986563278523E-6,7.258749274707796E-5
39,985.9842426458747,1.9093156351288186E-6,7.449680838220678E-5
40,985.2922918876616,1.9119550937126344E-6,7.640876347591941E-5
41,984.5853263618033,1.9033182540852649E-6,7.831208173000467E-5
42,983.8646510114007,1.8962788276468398E-6,8.020836055765151E-5
43,983.1283460081183,1.8910343794082318E-6,8.209939493705974E-5
44,982.3758490526046,1.8861762730360843E-6,8.398557121009583E-5
45,981.6072646047893,1.8860815480854152E-6,8.587165275818124E-5
46,980.824865407526,1.8803478286250875E-6,8.775200058680633E-5
47,980.028207740709,1.886000005526994E-6,8.963800059233332E-5
48,979.2190519530351,1.886189414481581E-6,9.15241900068149E-5
49,978.3954943493831,1.8945739576264494E-6,9.341876396444136E-5
50,977.5558810348728,1.8946370923882468E-6,9.53134010568296E-5
51,976.6986641536017,1.878533898985809E-6,9.719193495581542E-5
52,975.8284735848007,1.872559860760966E-6,9.906449481657638E-5
53,974.9439501609531,1.8723771704898659E-6,1.0093687198706625E-4
54,974.0453076162371,1.8770572864748577E-6,1.0281392927354111E-4
55,973.1315918992627,1.8725215502172837E-6,1.0468645082375839E-4
56,972.2052029527154,1.8732711019658226E-6,1.0655972192572422E-4
57,971.2651282045445,1.870213965653635E-6,1.0842993589137785E-4
58,970.3132589305122,1.865993796805751E-6,1.102959296881836E-4
59,969.3503605411553,1.8841145093556722E-6,1.1218004419753928E-4
60,968.3725564958883,1.8828076185233991E-6,1.1406285181606268E-4
61,967.3806818855345,1.8855106129689648E-6,1.1594836242903165E-4
62,966.376773774707,1.8943154481336526E-6,1.178426778771653E-4
63,965.3600100609578,1.8944689976185948E-6,1.197371468747839E-4
64,964.3320051332917,1.8949443580396084E-6,1.216320912328235E-4
65,963.2899026392151,1.8974725158623737E-6,1.2352956374868588E-4
66,962.236457869271,1.8914541450755672E-6,1.2542101789376144E-4
67,961.1696078075205,1.8828019910363067E-6,1.2730381988479775E-4
68,960.0913292311647,1.8833403745785108E-6,1.2918716025937625E-4
69,959.0032201920377,1.8827836987566763E-6,1.3106994395813292E-4
70,957.906171909303,1.8797102204635873E-6,1.329496541785965E-4
71,956.7971447029188,1.8762491423275545E-6,1.3482590332092407E-4
72,955.6744061035113,1.8753561842268945E-6,1.3670125950515096E-4
73,954.5436953413179,1.8681898373427316E-6,1.385694493424937E-4
74,953.4034129216016,1.8746321721953487E-6,1.4044408151468905E-4
75,952.2508442547963,1.8733916701610913E-6,1.4231747318485015E-4
76,951.086933512696,1.8736337907265998E-6,1.4419110697557676E-4
77,949.9085576623078,1.8719547528180786E-6,1.4606306172839484E-4
78,948.7181524841645,1.8662013906271912E-6,1.4792926311902203E-4
79,947.5124175662686,1.8602658678504363E-6,1.4978952898687245E-4
80,946.2953379131117,1.8516868629580027E-6,1.5164121584983046E-4
81,945.066415074773,1.849730843507231E-6,1.534909466933377E-4
82,943.8291487144126,1.8553985176835387E-6,1.5534634521102125E-4
83,942.5816351318769,1.8606902377524112E-6,1.5720703544877366E-4
84,941.3248923662511,1.8616124865280224E-6,1.590686479353017E-4
85,940.0634649377981,1.8782311871233602E-6,1.6094687912242506E-4
86,938.7934292702591,1.871193029588253E-6,1.628180721520133E-4
87,937.5138754897741,1.8734392777932834E-6,1.6469151142980658E-4
88,936.2226198343571,1.8709505715575464E-6,1.6656246200136412E-4
89,934.920590335476,1.8781176680471994E-6,1.6844057966941133E-4
90,933.6091672688925,1.8781423083722117E-6,1.7031872197778355E-4
91,932.2863159437271,1.8792002572465454E-6,1.721979222350301E-4
92,930.9539521924984,1.8870479202793814E-6,1.7408497015530946E-4
93,929.6176210235783,1.8890157185412042E-6,1.7597398587385066E-4
94,928.2745813301029,1.8935564844780219E-6,1.7786754235832867E-4
95,926.9233195176873,1.8964559952658243E-6,1.797639983535945E-4
96,925.5573107892413,1.9014351450623264E-6,1.8166543349865683E-4
97,924.1846274426586,1.8986593129834247E-6,1.8356409281164026E-4
98,922.8031306364313,1.8936365428224535E-6,1.854577293544627E-4
99,921.4112211678284,1.8952603533835164E-6,1.8735298970784623E-4
100,920.0109015752781,1.8916296322070688E-6,1.892446193400533E-4
