#t,ESS,tempDiff,temp
0,999.9999999999848,0.0,0.0
1,999.989476319279,3.3073395080353757E-6,3.3073395080353757E-6
2,999.9578926501505,3.311783323100606E-6,6.619122831135981E-6
3,999.9051386774726,3.3230294977062594E-6,9.94215232884224E-6
4,999.8307867875995,3.3472356726839686E-6,1.328938800152621E-5
5,999.7345605551033,3.368938456200421E-6,1.665832645772663E-5
6,999.6176482074166,3.3595605703754168E-6,2.0017887028102047E-5
7,999.4799675663296,3.3758819727955193E-6,2.3393769000897565E-5
8,999.3218465518876,3.3860045735388343E-6,2.67797735744364E-5
9,999.1424585172211,3.3987254735894398E-6,3.017849904802584E-5
10,998.9451055992016,3.372466625539942E-6,3.355096567356578E-5
11,998.7283337137509,3.3727330636457886E-6,3.692369873721157E-5
12,998.4927042297124,3.3737355640480008E-6,4.029743430125957E-5
13,998.2377321934105,3.3727765688975918E-6,4.3670210870157165E-5
14,997.9635997819042,3.3552878315941427E-6,4.7025498701751306E-5
15,997.6715866764538,3.351217328600735E-6,5.037671603035204E-5
16,997.3592101472964,3.372524425313899E-6,5.374924045566594E-5
17,997.0294222861792,3.365419175622437E-6,5.7114659631288375E-5
18,996.680345683855,3.3769776224344046E-6,6.049163725372278E-5
19,996.3104808943713,3.380311463474142E-6,6.387194871719692E-5
20,995.9228722213616,3.3856219504848125E-6,6.725757066768174E-5
21,995.5181657747733,3.374261706078272E-6,7.063183237376001E-5
22,995.0955675006819,3.366852673362835E-6,7.399868504712285E-5
23,994.6556124620059,3.3728781546678475E-6,7.73715632017907E-5
24,994.1953520167066,3.4022371291781273E-6,8.077380033096882E-5
25,993.7202989612041,3.414300177444527E-6,8.418810050841335E-5
26,993.225348132096,3.430227591668274E-6,8.761832810008162E-5
27,992.7103772797676,3.4548424225019724E-6,9.107317052258359E-5
28,992.1782866706685,3.4743597319723446E-6,9.454753025455594E-5
29,991.625929208745,3.4815826206434023E-6,9.802911287519933E-5
30,991.0568622876237,3.48908877883266E-6,1.0151820165403199E-4
31,990.466016081449,3.5066396578027583E-6,1.0502484131183475E-4
32,989.8613051540987,3.5116625098946807E-6,1.0853650382172943E-4
33,989.2394253189254,3.4995955307900674E-6,1.120360993525195E-4
34,988.6074982429194,3.48911014338243E-6,1.1552520949590192E-4
35,987.958253717454,3.4827330649517353E-6,1.1900794256085366E-4
36,987.2895458506655,3.4783408998602217E-6,1.2248628346071388E-4
37,986.6113667203533,3.4627163151726273E-6,1.259489997758865E-4
38,985.9172134667205,3.470663680921057E-6,1.2941966345680756E-4
39,985.2144041754184,3.4522755581262626E-6,1.3287193901493383E-4
40,984.4927578245314,3.4582802074350775E-6,1.363302192223689E-4
41,983.7593310816028,3.441503900011459E-6,1.3977172312238035E-4
42,983.0083471959299,3.4496805012965527E-6,1.432214036236769E-4
43,982.243494651129,3.462354321094299E-6,1.466837579447712E-4
44,981.4613585451632,3.4737887882538355E-6,1.5015754673302503E-4
45,980.6671893721127,3.4681535760990375E-6,1.5362570030912407E-4
46,979.858868656761,3.4695039233771977E-6,1.5709520423250127E-4
47,979.0375924444429,3.473064619167191E-6,1.6056826885166845E-4
48,978.2026864548112,3.482958558134599E-6,1.6405122740980306E-4
49,977.3578955220071,3.480722287864622E-6,1.6753194969766768E-4
50,976.5055285916054,3.4737314237032813E-6,1.7100568112137095E-4
51,975.6403474568787,3.477617425052021E-6,1.7448329854642298E-4
52,974.7679400865829,3.4997747093277907E-6,1.7798307325575077E-4
53,973.8764378031435,3.5106828051187315E-6,1.814937560608695E-4
54,972.9712908101995,3.5052635451741944E-6,1.8499901960604369E-4
55,972.0501899467203,3.51191152737756E-6,1.8851093113342126E-4
56,971.1251049319758,3.4902175216123074E-6,1.9200114865503356E-4
57,970.1850938272328,3.505613538663851E-6,1.9550676219369742E-4
58,969.2281694059957,3.50562962514468E-6,1.990123918188421E-4
59,968.2603644722249,3.5230038109398818E-6,2.02535395629782E-4
60,967.2776685356977,3.5466228277864688E-6,2.0608201845756846E-4
61,966.2857859021043,3.5442226036967102E-6,2.0962624106126516E-4
62,965.2861138119258,3.523829861561739E-6,2.1315007092282691E-4
63,964.2832909203743,3.5306557933680515E-6,2.1668072671619497E-4
64,963.2646731201421,3.5389283251046863E-6,2.2021965504129964E-4
65,962.2314023610611,3.5375213878362665E-6,2.2375717642913591E-4
66,961.1884524430967,3.5322390226237573E-6,2.2728941545175968E-4
67,960.1240333871234,3.5420187776932414E-6,2.3083143422945293E-4
68,959.0459963748714,3.5358102692505684E-6,2.343672444987035E-4
69,957.9672226253068,3.5324119720148905E-6,2.378996564707184E-4
70,956.8633680329169,3.5521372385457167E-6,2.4145179370926411E-4
71,955.7449169089532,3.5500132341921713E-6,2.450018069434563E-4
72,954.6125193879543,3.5432856428342023E-6,2.485450925862905E-4
73,953.4686863892119,3.541887957196992E-6,2.520869805434875E-4
74,952.3199207390359,3.5245040965735124E-6,2.55611484640061E-4
75,951.1663853046205,3.515786201919666E-6,2.591272708419806E-4
76,949.9962238701005,3.4996205886865525E-6,2.626268914306672E-4
77,948.8210539910913,3.491465024332714E-6,2.6611835645499993E-4
78,947.6353858132252,3.4930209839322066E-6,2.6961137743893216E-4
79,946.4393524834371,3.5025310726242446E-6,2.731139085115564E-4
80,945.2355109912031,3.500662266462697E-6,2.766145707780191E-4
81,944.0166076583423,3.5080236911592653E-6,2.8012259446917836E-4
82,942.79494230811,3.482841795172165E-6,2.836054362643505E-4
83,941.5640267721197,3.4676562146637575E-6,2.870730924790143E-4
84,940.3315660047354,3.459255802927824E-6,2.905323482819421E-4
85,939.08712629318,3.454133185913763E-6,2.9398648146785586E-4
86,937.832319538588,3.448801148773613E-6,2.9743528261662945E-4
87,936.5748175103802,3.4396906961116415E-6,3.008749733127411E-4
88,935.3138604574585,3.4368327403535033E-6,3.043118060530946E-4
89,934.0469578264019,3.441827755622278E-6,3.0775363380871685E-4
90,932.7571898053902,3.4618851008830767E-6,3.112155189095999E-4
91,931.4608369871264,3.468050621160283E-6,3.146835695307602E-4
92,930.151555519098,3.4939631610263906E-6,3.1817753269178657E-4
93,928.8254259503535,3.5155326403185266E-6,3.216930653321051E-4
94,927.4784375528236,3.527375056527366E-6,3.2522044038863244E-4
95,926.1225263329275,3.5356408669895275E-6,3.2875608125562195E-4
