#t,ESS,tempDiff,temp
0,999.9999999999848,0.0,0.0
1,999.9894236381152,1.8983233439395213E-6,1.8983233439395213E-6
2,999.957613203475,1.904461124893587E-6,3.8027844688331084E-6
3,999.9046918988697,1.9060206569381752E-6,5.708805125771284E-6
4,999.8309682223519,1.9040601482436098E-6,7.612865274014894E-6
5,999.7367525669206,1.9015225144757156E-6,9.51438778849061E-6
6,999.6217731526614,1.9005816196432662E-6,1.1414969408133876E-5
7,999.4860967108087,1.901078680633548E-6,1.3316048088767424E-5
8,999.3294956368833,1.9059678870040727E-6,1.5222015975771496E-5
9,999.151591930625,1.913532815191832E-6,1.7135548790963327E-5
10,998.953144997008,1.912714961165566E-6,1.9048263752128893E-5
11,998.7339913567391,1.9160203725647962E-6,2.096428412469369E-5
12,998.4944272418751,1.909023471538666E-6,2.2873307596232356E-5
13,998.235299108636,1.9110398287500617E-6,2.4784347424982418E-5
14,997.9559630900362,1.9110634772521267E-6,2.6695410902234544E-5
15,997.655705583414,1.91280837924937E-6,2.8608219281483916E-5
16,997.334237038097,1.924319896474996E-6,3.053253917795891E-5
17,996.9913556999051,1.9307890025839876E-6,3.24633281805429E-5
18,996.6272563149021,1.9348985479769227E-6,3.439822672851982E-5
19,996.243677053197,1.9300896071296177E-6,3.6328316335649436E-5
20,995.8415193775725,1.9274604957766984E-6,3.8255776831426136E-5
21,995.4230709197503,1.917689523836849E-6,4.0173466355262983E-5
22,994.9893304511269,1.906224823018891E-6,4.2079691178281874E-5
23,994.5348743072726,1.909501149044774E-6,4.398919232732665E-5
24,994.0633634421563,1.9091923796294093E-6,4.5898384706956056E-5
25,993.5707286287692,1.915134393049425E-6,4.7813519100005484E-5
26,993.0637937971893,1.9107921542137014E-6,4.972431125421918E-5
27,992.5378249372388,1.9123192516761016E-6,5.163663050589529E-5
28,991.9978093365564,1.9011161634026386E-6,5.353774666929792E-5
29,991.4431236587292,1.9014008983834118E-6,5.543914756768134E-5
30,990.8721140912502,1.8935059460316961E-6,5.7332653513713033E-5
