#treeName,Method,NumericalLogZ,logZ
sim-1121221206.msf.Rep0,Adaptive,0.0,-29710.425103459023
sim-1121221206.msf.Rep0,Deterministic,0.0,-30107.202376439665
sim-1121221206.msf.Rep1,Adaptive,0.0,-30381.743663162724
sim-1121221206.msf.Rep1,Deterministic,0.0,-31242.325210897736
sim-1121221206.msf.Rep2,Adaptive,0.0,-30477.81326989061
sim-1121221206.msf.Rep2,Deterministic,0.0,-29369.56233743903
sim-1121221206.msf.Rep3,Adaptive,0.0,-29867.67036846343
sim-1121221206.msf.Rep3,Deterministic,0.0,-30172.200940656745
sim-1121221206.msf.Rep4,Adaptive,0.0,-30588.340210741866
sim-1121221206.msf.Rep4,Deterministic,0.0,-30102.555813716317
sim-1121221206.msf.Rep5,Adaptive,0.0,-30964.708216472784
sim-1121221206.msf.Rep5,Deterministic,0.0,-29713.8419001959
sim-1121221206.msf.Rep6,Adaptive,0.0,-30138.772065664132
sim-1121221206.msf.Rep6,Deterministic,0.0,-29610.47300875414
sim-1121221206.msf.Rep7,Adaptive,0.0,-30752.317334949745
sim-1121221206.msf.Rep7,Deterministic,0.0,-30017.45224259827
sim-1121221206.msf.Rep8,Adaptive,0.0,-30209.331061322056
sim-1121221206.msf.Rep8,Deterministic,0.0,-32018.777177340857
sim-1121221206.msf.Rep9,Adaptive,0.0,-31122.23135424822
sim-1121221206.msf.Rep9,Deterministic,0.0,-31247.411574942103
sim-1121221206.msf.Rep10,Adaptive,0.0,-30388.596431400274
sim-1121221206.msf.Rep10,Deterministic,0.0,-31006.293243190972
sim-1121221206.msf.Rep11,Adaptive,0.0,-30043.026852108935
sim-1121221206.msf.Rep11,Deterministic,0.0,-30642.72006317545
sim-1121221206.msf.Rep12,Adaptive,0.0,-32047.299574474026
sim-1121221206.msf.Rep12,Deterministic,0.0,-30136.222301725833
sim-1121221206.msf.Rep13,Adaptive,0.0,-29627.130171991605
sim-1121221206.msf.Rep13,Deterministic,0.0,-30970.126454922392
sim-1121221206.msf.Rep14,Adaptive,0.0,-29923.96086391987
sim-1121221206.msf.Rep14,Deterministic,0.0,-30327.29690430842
sim-1121221206.msf.Rep15,Adaptive,0.0,-29591.281452233423
sim-1121221206.msf.Rep15,Deterministic,0.0,-29818.22960758682
sim-1121221206.msf.Rep16,Adaptive,0.0,-30040.444331667873
sim-1121221206.msf.Rep16,Deterministic,0.0,-29695.018222520932
sim-1121221206.msf.Rep17,Adaptive,0.0,-30777.824613156776
sim-1121221206.msf.Rep17,Deterministic,0.0,-31462.758354353853
sim-1121221206.msf.Rep18,Adaptive,0.0,-30440.440580283863
sim-1121221206.msf.Rep18,Deterministic,0.0,-30462.661913126718
sim-1121221206.msf.Rep19,Adaptive,0.0,-30433.49654923731
sim-1121221206.msf.Rep19,Deterministic,0.0,-31338.38726901885
sim-1121221206.msf.Rep20,Adaptive,0.0,-31192.71046140934
sim-1121221206.msf.Rep20,Deterministic,0.0,-30757.60975663213
sim-1121221206.msf.Rep21,Adaptive,0.0,-30305.399634720277
sim-1121221206.msf.Rep21,Deterministic,0.0,-29620.81246155848
sim-1121221206.msf.Rep22,Adaptive,0.0,-31018.26566179879
sim-1121221206.msf.Rep22,Deterministic,0.0,-30836.7945478633
sim-1121221206.msf.Rep23,Adaptive,0.0,-30561.095948061036
sim-1121221206.msf.Rep23,Deterministic,0.0,-30112.410611701125
sim-1121221206.msf.Rep24,Adaptive,0.0,-30407.956885456097
sim-1121221206.msf.Rep24,Deterministic,0.0,-31090.09178244277
sim-1121221206.msf.Rep25,Adaptive,0.0,-30475.34798806854
sim-1121221206.msf.Rep25,Deterministic,0.0,-30477.02667304477
sim-1121221206.msf.Rep26,Adaptive,0.0,-29921.478343387353
sim-1121221206.msf.Rep26,Deterministic,0.0,-31867.38456503523
sim-1121221206.msf.Rep27,Adaptive,0.0,-30062.323456426566
sim-1121221206.msf.Rep27,Deterministic,0.0,-30849.059149896504
sim-1121221206.msf.Rep28,Adaptive,0.0,-30402.220361880874
sim-1121221206.msf.Rep28,Deterministic,0.0,-31165.68542761895
sim-1121221206.msf.Rep29,Adaptive,0.0,-30618.128119213194
sim-1121221206.msf.Rep29,Deterministic,0.0,-31075.026450167756
sim-1121221206.msf.Rep30,Adaptive,0.0,-29609.900914822734
sim-1121221206.msf.Rep30,Deterministic,0.0,-31673.001837147152
sim-1121221206.msf.Rep31,Adaptive,0.0,-31649.24585268184
sim-1121221206.msf.Rep31,Deterministic,0.0,-30857.89659593313
sim-1121221206.msf.Rep32,Adaptive,0.0,-32272.771101816874
sim-1121221206.msf.Rep32,Deterministic,0.0,-31492.28598034763
sim-1121221206.msf.Rep33,Adaptive,0.0,-30368.860515509783
sim-1121221206.msf.Rep33,Deterministic,0.0,-31457.55363234215
sim-1121221206.msf.Rep34,Adaptive,0.0,-29366.28195644662
sim-1121221206.msf.Rep34,Deterministic,0.0,-31321.805600540574
sim-1121221206.msf.Rep35,Adaptive,0.0,-31096.059486937014
sim-1121221206.msf.Rep35,Deterministic,0.0,-29744.513913054194
sim-1121221206.msf.Rep36,Adaptive,0.0,-31031.26875993837
sim-1121221206.msf.Rep36,Deterministic,0.0,-31743.39692844548
sim-1121221206.msf.Rep37,Adaptive,0.0,-31097.002976875177
sim-1121221206.msf.Rep37,Deterministic,0.0,-29951.64364278339
sim-1121221206.msf.Rep38,Adaptive,0.0,-31311.406963856916
sim-1121221206.msf.Rep38,Deterministic,0.0,-29779.77730284684
sim-1121221206.msf.Rep39,Adaptive,0.0,-30197.659828866697
sim-1121221206.msf.Rep39,Deterministic,0.0,-30084.475544455196
sim-1121221206.msf.Rep40,Adaptive,0.0,-30595.677495897424
sim-1121221206.msf.Rep40,Deterministic,0.0,-30698.323790363316
sim-1121221206.msf.Rep41,Adaptive,0.0,-31985.12187622981
sim-1121221206.msf.Rep41,Deterministic,0.0,-30744.703882946036
sim-1121221206.msf.Rep42,Adaptive,0.0,-29717.488299248907
sim-1121221206.msf.Rep42,Deterministic,0.0,-31741.75366536022
sim-1121221206.msf.Rep43,Adaptive,0.0,-30874.365019413657
sim-1121221206.msf.Rep43,Deterministic,0.0,-31691.96928861786
sim-1121221206.msf.Rep44,Adaptive,0.0,-30354.44337007898
