#t,ESS,tempDiff,temp
0,100.00000000000006,0.0,0.0
1,99.05814539044232,4.623382241034051E-5,4.623382241034051E-5
2,96.4129171571118,4.568383273177134E-5,9.191765514211185E-5
3,92.27151370081334,4.5557377757736886E-5,1.3747503289984872E-4
4,86.85883443670485,4.5583420407718885E-5,1.830584533075676E-4
5,80.5269684964639,4.523943100883737E-5,2.28297884316405E-4
6,74.15818494543404,4.127080186776948E-5,2.6956868618417445E-4
7,67.57368050965657,4.020389067220293E-5,3.097725768563774E-4
8,60.87664769641012,3.89164820666441E-5,3.4868905892302147E-4
9,54.629069677195766,3.652944753425103E-5,3.852185064572725E-4
10,48.82212565410577,3.628287103557356E-5,4.21501377492846E-4
11,99.4771425900435,3.497185167355803E-5,4.5647322916640405E-4
12,97.99321639868938,3.3759907554314116E-5,4.902331367207182E-4
13,95.67608094126216,3.2896445577835254E-5,5.231295822985534E-4
14,92.6478375541918,3.246723510051839E-5,5.555968173990718E-4
15,89.04836604445998,3.198261751221056E-5,5.875794349112824E-4
16,84.90110419175409,3.2282424732700894E-5,6.198618596439833E-4
17,80.32565464240204,3.276705265374675E-5,6.5262891229773E-4
18,75.75019843589511,3.2188977915528677E-5,6.848178902132587E-4
19,70.84507372875738,3.290742750332182E-5,7.177253177165805E-4
20,65.84734169291737,3.393357538472567E-5,7.516588931013061E-4
21,60.58194010043273,3.592129802622295E-5,7.87580191127529E-4
22,55.166082234669304,3.8365558894649585E-5,8.259457500221786E-4
23,49.856564145189054,3.995722474465815E-5,8.659029747668368E-4
24,99.27958392188535,4.290598550000533E-5,9.088089602668422E-4
25,96.98690658775699,4.658496376473483E-5,9.55393924031577E-4
26,93.19202770808307,5.00854689805928E-5,0.0010054793930121698
27,88.13136814367289,5.392800986884954E-5,0.0010594074028810194
28,81.99234585225317,5.928227202305329E-5,0.0011186896749040727
29,75.29188375651445,6.373678475525626E-5,0.001182426459659329
30,65.50048762706899,9.657647646462243E-5,0.0012790029361239514
31,56.88286503313984,9.71261929427343E-5,0.0013761291290666857
32,49.49240931200283,9.698728538600758E-5,0.0014731164144526933
33,98.7989668213184,9.827869732960413E-5,0.0015713951117822973
34,95.86671074235011,1.0050875755796115E-4,0.0016719038693402584
35,91.76624722535009,1.0394595992311183E-4,0.0017758498292633701
36,86.80312049859045,1.064560394674706E-4,0.0018823058687308407
37,81.51168493418652,1.0586342668172841E-4,0.001988169295412569
38,75.45496277542603,1.1578919355536222E-4,0.002103958488967931
39,69.47143261664554,1.1723639842470363E-4,0.0022211948873926348
40,63.62591850854686,1.2099609845042792E-4,0.0023421909858430626
41,58.22984663474806,1.2027806782893351E-4,0.0024624690536719962
42,53.193782631327196,1.2302468787292933E-4,0.0025854937415449256
43,48.746325386129236,1.2013630426148481E-4,0.0027056300458064104
44,99.3267225446854,1.2208949424389153E-4,0.002827719540050302
45,97.62360069571771,1.2652419543699142E-4,0.0029542437354872935
46,95.28991937526926,1.277472005545427E-4,0.0030819909360418362
47,92.38305779436679,1.2876196718205417E-4,0.0032107529032238905
48,89.07985961739394,1.2949381186013438E-4,0.003340246715084025
49,85.45954390834459,1.2911108018231115E-4,0.003469357795266336
50,81.33577911678621,1.3647299488111903E-4,0.0036058307901474553
51,77.03117012991108,1.406160933647137E-4,0.003746446883512169
52,72.30535748664339,1.4532042367660386E-4,0.0038917673071887727
53,67.76788345528982,1.4632879908382375E-4,0.004038096106272596
54,62.572976288213944,1.5166373222260776E-4,0.004189759838495204
55,57.21073855034598,1.5166231077245776E-4,0.004341422149267662
56,50.824589580681135,1.700811943566582E-4,0.00451150334362432
57,44.095043799973574,1.753926863654232E-4,0.004686896029989744
58,98.41629154259576,1.8062087502514806E-4,0.004867516905014892
59,93.5839814973589,1.879214537435564E-4,0.005055438358758448
60,84.54561727853509,2.1310008504586906E-4,0.005268538443804317
61,73.06957068536,2.1976240488332598E-4,0.0054883008486876425
62,60.362565036616274,2.2592806704808559E-4,0.005714228915735728
63,48.555391220076764,2.2817396459071551E-4,0.005942402880326443
64,97.89047661384762,2.1618481894243496E-4,0.006158587699268878
65,91.76121087128696,2.2418478847359435E-4,0.006382772487742472
66,83.13352963325657,2.2784759933599112E-4,0.006610620087078464
67,73.90588652871756,2.2605354144487942E-4,0.006836673628523343
68,65.4427275699608,2.2072825726670827E-4,0.007057401885790052
69,57.55509575210619,2.1661009336196432E-4,0.007274011979152017
70,49.85832002744671,2.2634507854355876E-4,0.007500357057695576
71,96.57153362201605,2.301333955429275E-4,0.007730490453238504
72,84.28856470695511,2.3609743472596147E-4,0.007966587887964465
73,63.954634762874015,2.3160804813031295E-4,0.008198195936094778
74,42.46494433035281,2.3431447320791145E-4,0.00843251040930269
75,93.27688953346109,2.4139957072290532E-4,0.008673909980025594
76,77.74329429203554,2.427033752884521E-4,0.008916613355314046
77,62.16212613716304,2.4740984207332456E-4,0.00916402319738737
78,49.93480909996479,2.6508397095895446E-4,0.009429107168346326
79,97.32873065901993,2.737272494096567E-4,0.009702834417755983
80,92.20749892629628,2.8878746686410536E-4,0.009991621884620088
81,87.71280810087607,2.600947729315667E-4,0.010251716657551655
82,83.2477065736168,2.700918932797064E-4,0.010521808550831362
83,78.36291321684521,2.8041716366439436E-4,0.010802225714495756
84,72.7967560740479,2.8359980625862794E-4,0.011085825520754385
85,65.85771309885668,2.9610167351913635E-4,0.011381927194273521
86,59.22959327221374,2.4864883056990346E-4,0.011630576024843424
87,52.35495267065204,2.3614403472948067E-4,0.011866720059572905
88,45.916482529569045,2.2564515841063963E-4,0.012092365217983543
89,99.2749137109572,2.1294657874356465E-4,0.012305311796727107
90,97.13516725606934,2.0357665214567445E-4,0.012508888448872782
91,93.55747374191385,2.0927467803692347E-4,0.012718163126909706
92,88.9619762420909,2.0333407442742123E-4,0.012921497201337128
93,83.6491300965715,1.972072110156341E-4,0.013118704412352761
94,78.16685933256981,1.8947896547950722E-4,0.013308183377832268
95,72.71059220642906,1.7720423982758106E-4,0.01348538761765985
96,67.36801694354683,1.7413401485619418E-4,0.013659521632516044
97,62.322185125005554,1.6967403330462965E-4,0.013829195665820674
98,57.653883805314386,1.6770568467980334E-4,0.013996901350500477
99,53.3889085431366,1.6811630657974518E-4,0.014165017657080222
100,49.36706757835532,1.7150454688758166E-4,0.014336522203967804
101,99.44721630909751,1.6861606473715223E-4,0.014505138268704957
102,97.80915443043725,1.702412722584299E-4,0.014675379540963386
103,95.13785683270213,1.7361753356625817E-4,0.014848997074529644
104,91.66041955819757,1.8078166102090785E-4,0.015029778735550552
105,87.54863114564124,1.8638731851997577E-4,0.015216166054070527
106,82.87963711925372,1.9812528341908966E-4,0.015414291337489616
107,77.98315348384321,2.0870046853306657E-4,0.015622991806022684
108,72.90801788576958,2.2091663112208567E-4,0.01584390843714477
109,67.56057206711198,2.416193397426988E-4,0.016085527776887466
110,61.70902664064962,2.6893956460787873E-4,0.016354467341495343
111,55.526508943914834,2.941085902547469E-4,0.01664857593175009
112,48.964815944586704,3.2791142249325816E-4,0.01697648735424335
113,98.6003209154649,3.576944917194253E-4,0.017334181845962773
114,94.33314022457951,4.035863284173568E-4,0.01773776817438013
115,87.55233549200577,4.523199143204902E-4,0.01819008808870062
116,79.30984010468784,4.784663885375938E-4,0.018668554477238215
117,72.4698361374188,3.758376462708069E-4,0.019044392123509023
118,66.66003264171549,3.3827352060451316E-4,0.019382665644113537
119,61.42007972724151,3.202286081361459E-4,0.01970289425224968
120,56.905342395233944,3.071288670046834E-4,0.020010023119254365
121,52.91206334912376,2.936103622626019E-4,0.020303633481516967
122,48.93491874301521,3.21590050181625E-4,0.020625223531698593
123,99.46140809864723,3.125740828727722E-4,0.020937797614571364
124,97.97768091096037,3.0808865470007734E-4,0.02124588626927144
125,95.76318053175841,2.939854806952933E-4,0.021539871749966733
126,93.08790861726109,2.8111049846432174E-4,0.021820982248431056
127,90.03766700426254,2.7477933771155794E-4,0.022095761586142616
128,86.68107204194229,2.7059310704130373E-4,0.022366354693183918
129,83.06504082812478,2.71716913074901E-4,0.02263807160625882
130,78.86072482777011,2.846360761394302E-4,0.02292270768239825
131,74.65194242159157,2.7929775308833395E-4,0.023202005435486582
132,70.41470450536771,2.694785929446724E-4,0.023471484028431255
133,66.01381055868046,2.712003171890078E-4,0.02374268434562026
134,61.511312748809054,2.738864167312915E-4,0.024016570762351554
135,56.59528005369495,2.809599168461079E-4,0.02429753067919766
136,51.47388196131014,2.9474191934879024E-4,0.02459227259854645
137,46.4702683303453,3.0138274015782294E-4,0.024893655338704274
138,99.38955987277555,3.148652059024142E-4,0.025208520544606688
139,97.41845438386547,3.347171172965079E-4,0.025543237661903195
140,93.7903309805044,3.7866884870140795E-4,0.025921906510604602
141,88.69555920834362,4.028894348246788E-4,0.02632479594542928
142,81.85395327582548,4.45122789032153E-4,0.026769918734461433
143,73.91111619893846,4.842538114347303E-4,0.02725417254589616
144,65.44093798969746,5.252840772239643E-4,0.027779456623120126
145,56.01606367162747,5.536410907875918E-4,0.02833309771390772
146,47.27289546320941,5.280781344852318E-4,0.028861175848392952
147,97.7350212091454,5.361425620343466E-4,0.0293973184104273
148,91.06722666485497,5.23733539355493E-4,0.02992105194978279
149,81.59986367643357,4.8035656687469457E-4,0.030401408516657485
150,70.37645060105454,4.643493104103517E-4,0.03086575782706784
151,59.23834774539673,4.3947963513021155E-4,0.03130523746219805
152,49.28689348317495,4.2245752698507136E-4,0.031727694989183125
153,98.54785180405459,4.0314650606533743E-4,0.03213084149524846
154,94.5046431791176,3.968608996611191E-4,0.03252770239490958
155,88.549585687051,3.9449071127330436E-4,0.032922193106182884
156,81.73589653353612,3.917515232916861E-4,0.03331394462947457
157,74.74818022607106,3.980576344687188E-4,0.03371200226394329
158,68.12612320143018,3.9558441178626073E-4,0.03410758667572955
159,61.955006542961,4.0043814102253065E-4,0.03450802481675208
160,56.153524330347544,4.2007643459419626E-4,0.03492810125134628
161,50.99796089834057,4.392922452839642E-4,0.03536739349663025
162,46.46877455153419,4.523244132652473E-4,0.03581971790989549
163,99.3338916432118,4.753352469611005E-4,0.03629505315685659
164,97.616321758464,4.742845981935987E-4,0.03676933775505019
165,95.20030685794028,4.938080603449953E-4,0.037263145815395186
