#Method,Adaptive,AdaptiveType,T,IterScale,Repeat,Metric,Value,TreeName,Time
ANNEALING,true,0,754,100.0,0,ConsensusLogLL,-28939.010538846393,sim-1121221206.msf,87935
ANNEALING,true,0,754,100.0,0,BestSampledLogLL,-28984.652043162663,sim-1121221206.msf,87935
ANNEALING,true,0,754,100.0,0,PartitionMetric,2.0,sim-1121221206.msf,87935
ANNEALING,true,0,754,100.0,0,RobinsonFouldsMetric,2.5360641758175504,sim-1121221206.msf,87935
ANNEALING,true,0,754,100.0,0,KuhnerFelsenstein,0.4504073021870816,sim-1121221206.msf,87935
ANNEALING,false,0,754,100.0,0,ConsensusLogLL,-29751.067604005802,sim-1121221206.msf,85773
ANNEALING,false,0,754,100.0,0,BestSampledLogLL,-29776.899315270268,sim-1121221206.msf,85773
ANNEALING,false,0,754,100.0,0,PartitionMetric,12.0,sim-1121221206.msf,85773
ANNEALING,false,0,754,100.0,0,RobinsonFouldsMetric,3.616847897549346,sim-1121221206.msf,85773
ANNEALING,false,0,754,100.0,0,KuhnerFelsenstein,1.1689178830018037,sim-1121221206.msf,85773
ANNEALING,true,0,660,100.0,1,ConsensusLogLL,-29895.17917502831,sim-1121221206.msf,75069
ANNEALING,true,0,660,100.0,1,BestSampledLogLL,-29908.693042150444,sim-1121221206.msf,75069
ANNEALING,true,0,660,100.0,1,PartitionMetric,26.0,sim-1121221206.msf,75069
ANNEALING,true,0,660,100.0,1,RobinsonFouldsMetric,3.876055539113134,sim-1121221206.msf,75069
ANNEALING,true,0,660,100.0,1,KuhnerFelsenstein,0.764173293090878,sim-1121221206.msf,75069
ANNEALING,false,0,660,100.0,1,ConsensusLogLL,-29339.501872061497,sim-1121221206.msf,74626
ANNEALING,false,0,660,100.0,1,BestSampledLogLL,-29344.46566038639,sim-1121221206.msf,74626
ANNEALING,false,0,660,100.0,1,PartitionMetric,18.0,sim-1121221206.msf,74626
ANNEALING,false,0,660,100.0,1,RobinsonFouldsMetric,3.554531458509461,sim-1121221206.msf,74626
ANNEALING,false,0,660,100.0,1,KuhnerFelsenstein,0.68537319465947,sim-1121221206.msf,74626
ANNEALING,true,0,742,100.0,2,ConsensusLogLL,-29046.497922599876,sim-1121221206.msf,84622
ANNEALING,true,0,742,100.0,2,BestSampledLogLL,-29141.113388584527,sim-1121221206.msf,84622
ANNEALING,true,0,742,100.0,2,PartitionMetric,30.0,sim-1121221206.msf,84622
ANNEALING,true,0,742,100.0,2,RobinsonFouldsMetric,4.036694093127939,sim-1121221206.msf,84622
ANNEALING,true,0,742,100.0,2,KuhnerFelsenstein,0.7707321525065874,sim-1121221206.msf,84622
ANNEALING,false,0,742,100.0,2,ConsensusLogLL,-28278.163542032038,sim-1121221206.msf,83647
ANNEALING,false,0,742,100.0,2,BestSampledLogLL,-28296.565655248378,sim-1121221206.msf,83647
ANNEALING,false,0,742,100.0,2,PartitionMetric,0.0,sim-1121221206.msf,83647
ANNEALING,false,0,742,100.0,2,RobinsonFouldsMetric,1.335478560170246,sim-1121221206.msf,83647
ANNEALING,false,0,742,100.0,2,KuhnerFelsenstein,0.10619136720734179,sim-1121221206.msf,83647
ANNEALING,true,0,688,100.0,3,ConsensusLogLL,-29391.683351810476,sim-1121221206.msf,78400
ANNEALING,true,0,688,100.0,3,BestSampledLogLL,-29372.555972525864,sim-1121221206.msf,78400
ANNEALING,true,0,688,100.0,3,PartitionMetric,18.0,sim-1121221206.msf,78400
ANNEALING,true,0,688,100.0,3,RobinsonFouldsMetric,3.241056448531464,sim-1121221206.msf,78400
ANNEALING,true,0,688,100.0,3,KuhnerFelsenstein,0.549407544762082,sim-1121221206.msf,78400
ANNEALING,false,0,688,100.0,3,ConsensusLogLL,-28535.42072224977,sim-1121221206.msf,77821
ANNEALING,false,0,688,100.0,3,BestSampledLogLL,-28514.91719460654,sim-1121221206.msf,77821
ANNEALING,false,0,688,100.0,3,PartitionMetric,8.0,sim-1121221206.msf,77821
ANNEALING,false,0,688,100.0,3,RobinsonFouldsMetric,1.8253283496116388,sim-1121221206.msf,77821
ANNEALING,false,0,688,100.0,3,KuhnerFelsenstein,0.15325215723690733,sim-1121221206.msf,77821
ANNEALING,true,0,638,100.0,4,ConsensusLogLL,-29310.37700261864,sim-1121221206.msf,72644
ANNEALING,true,0,638,100.0,4,BestSampledLogLL,-29318.644431048524,sim-1121221206.msf,72644
