#t,ESS,tempDiff,temp
0,100.00000000000006,0.0,0.0
1,99.07188214197056,5.01462070428229E-5,5.01462070428229E-5
2,96.44948006179752,5.084308990013417E-5,1.0098929694295707E-4
3,92.45820405653174,5.0906179238207E-5,1.518954761811641E-4
4,87.21860115462545,5.265995583852428E-5,2.0455543201968837E-4
5,81.18288512574571,5.345255930128687E-5,2.5800799132097527E-4
6,75.11123098087508,5.33117387271161E-5,3.113197300480914E-4
7,69.0288853326351,5.284230907044195E-5,3.641620391185333E-4
8,63.03645858344266,5.2749496403501494E-5,4.1691153552203476E-4
9,57.36662470500004,5.300696058006594E-5,4.699184961021007E-4
10,52.42589601069324,5.020617955627993E-5,5.201246756583807E-4
11,47.79388755003766,5.0188426829711015E-5,5.703131024880917E-4
12,99.47337828624632,5.019574723882098E-5,6.205088497269127E-4
13,97.99380118291927,5.08131512378227E-5,6.713220009647355E-4
14,95.74861161493529,5.091658018829978E-5,7.222385811530352E-4
15,92.8942048792726,5.193776395445543E-5,7.741763451074907E-4
16,89.66335373315837,5.222970549427447E-5,8.264060506017651E-4
17,86.02994186988933,5.33144196846435E-5,8.797204702864086E-4
18,82.02736286749999,5.503529964957807E-5,9.347557699359867E-4
19,77.79591121471242,5.719046903035811E-5,9.919462389663448E-4
20,73.42660121550837,5.944211951231798E-5,0.0010513883584786629
21,68.85515251671566,6.246018825472013E-5,0.001113848546733383
22,64.2554462322877,6.606557654423039E-5,0.0011799141232776134
23,59.323032730426284,7.187001650966836E-5,0.0012517841397872817
24,54.377932249919795,7.666559058130753E-5,0.0013284497303685892
25,49.507573356271834,8.39064678277064E-5,0.0014123561981962956
26,99.29178513380738,8.887894648742903E-5,0.0015012351446837245
27,97.14913928563024,9.440920673560315E-5,0.0015956443514193277
28,93.67671367885343,9.945412307186138E-5,0.001695098474491189
29,89.08572601551631,1.0364193048688331E-4,0.0017987404049780724
30,83.30404790564305,1.0984351726465781E-4,0.0019085839222427303
31,76.79141976921609,1.1536337883265715E-4,0.0020239473010753876
32,70.60955760262036,1.1104403858419053E-4,0.002134991339659578
33,64.36356374339078,1.1826076226409014E-4,0.002253252101923668
34,58.20363810900665,1.2332622954450796E-4,0.002376578331468176
35,52.13806849542239,1.2848416011522834E-4,0.0025050624915834044
36,46.03301459097096,1.3777615942540044E-4,0.002642838651008805
37,98.79435871038405,1.47372947427779E-4,0.0027902115984365836
38,95.39867078171523,1.5608953402821194E-4,0.0029463011324647953
39,90.53983652476138,1.6343324904649593E-4,0.003109734381511291
40,84.81648460174625,1.6933993503970342E-4,0.0032790743165509945
41,78.54860375146956,1.746552028109912E-4,0.0034537295193619857
42,71.88401239288216,1.7410231626249423E-4,0.00362783183562448
43,65.17434376784907,1.7693030803323794E-4,0.003804762143657718
44,59.12099051589067,1.7122888791513998E-4,0.003975991031572858
45,53.52131121735031,1.7157012550264431E-4,0.004147561157075502
46,48.683950425601644,1.6452547117857475E-4,0.004312086628254077
47,99.29240376107845,1.6753247201118244E-4,0.004479619100265259
48,97.3260376909905,1.7549054545844338E-4,0.004655109645723703
49,94.33996225114527,1.7617556354550368E-4,0.004831285209269206
50,90.44546652865152,1.812195419433897E-4,0.005012504751212596
51,85.69352507817418,1.8999708794972697E-4,0.005202501839162323
52,80.29832202437345,1.894957989133778E-4,0.005391997638075701
53,74.02373119059581,1.9832420842453145E-4,0.005590321846500232
54,66.06359992662799,2.2174388033287487E-4,0.0058120657268331075
55,58.386996237958456,2.0370199346746902E-4,0.006015767720300576
56,51.374902422385134,2.0069466037743076E-4,0.006216462380678007
57,44.955313651167884,1.9694353373396034E-4,0.006413405914411968
58,98.23564630663026,1.8519257169465986E-4,0.006598598486106628
59,93.468343610178,1.845253426429517E-4,0.00678312382874958
60,86.38945574537817,1.847574075771284E-4,0.006967881236326708
61,77.54258369791945,1.8495213357766044E-4,0.007152833369904368
62,67.73142283026446,1.814495263188119E-4,0.00733428289622318
63,57.51258417266749,1.8751315930311128E-4,0.007521796055526291
64,47.31079562809983,1.9358067689130475E-4,0.007715376732417596
65,98.37492307463644,1.8691813291230375E-4,0.007902294865329899
66,93.82753290813402,1.8431023130509737E-4,0.008086605096634995
67,86.97387825636234,1.8444414614818437E-4,0.00827104924278318
68,78.50178584207158,1.8330784271695762E-4,0.008454357085500137
69,69.95779043270156,1.7471739846120767E-4,0.008629074483961345
70,62.21641707069356,1.5707120886900347E-4,0.008786145692830349
71,54.34653986151055,1.5230900031719716E-4,0.008938454693147546
72,46.82016060541691,1.5370776063405563E-4,0.009092162453781602
73,98.7881428965779,1.4939397947975235E-4,0.009241556433261354
74,95.62008880940884,1.4243151776325753E-4,0.009383987951024611
75,91.38914191482716,1.3263662085917803E-4,0.00951662457188379
76,86.49174069680235,1.3048086419650953E-4,0.0096471054360803
77,81.1941350011278,1.2859392597433283E-4,0.009775699362054633
78,75.7015907738703,1.2792811861176158E-4,0.009903627480666395
79,70.5076131524717,1.2318181816297542E-4,0.01002680929882937
80,65.61991732539255,1.23489137338632E-4,0.010150298436168003
81,60.601115150937176,1.3204599540432642E-4,0.010282344431572329
82,55.99148767602682,1.3240960028149226E-4,0.010414754031853822
83,51.70659090551869,1.3518199512284833E-4,0.01054993602697667
84,47.64288652525911,1.3707707976680266E-4,0.010687013106743472
85,99.44539073290423,1.410007236300564E-4,0.010828013830373528
86,97.8643031038015,1.463713023341842E-4,0.010974385132707713
87,95.39615292451185,1.5261582660671368E-4,0.011127000959314426
88,92.25627555576482,1.5831966243611017E-4,0.011285320621750536
89,88.60601950597834,1.6218088009641244E-4,0.011447501501846948
90,84.4678290848392,1.696325522972599E-4,0.011617134054144208
91,79.9400372961969,1.755352696668029E-4,0.011792669323811011
92,75.42809879846435,1.7166868796926707E-4,0.011964338011780278
93,70.82984955521142,1.7449016431169204E-4,0.01213882817609197
94,66.29880966566168,1.800584986019764E-4,0.012318886674693946
95,61.84495483663189,1.85778477658963E-4,0.01250466515235291
96,57.47622315738351,1.9416762383087048E-4,0.01269883277618378
97,53.20660868538661,1.9888642022741342E-4,0.012897719196411195
98,49.15977270092274,2.028943082717068E-4,0.013100613504682902
99,99.55412083609262,2.0779708736772285E-4,0.013308410592050625
100,98.20499226248333,2.1178097342281873E-4,0.013520191565473443
101,96.08595695969565,2.1539046712376484E-4,0.013735582032597208
102,93.45014203183138,2.0364701089839817E-4,0.013939229043495606
103,90.2347068631996,2.0838123178249743E-4,0.014147610275278104
104,86.41718404482052,2.1124794884193378E-4,0.014358858224120037
105,82.1892617556585,2.091357840918942E-4,0.014567994008211932
106,77.64260882844968,2.0768658649421092E-4,0.014775680594706143
107,72.82476316748203,2.1493353670603E-4,0.014990614131412174
108,68.02474672920526,2.0909400132878252E-4,0.015199708132740956
109,63.06449272048868,2.1449602290888256E-4,0.01541420415564984
110,58.05001378085995,2.1991461944400107E-4,0.01563411877509384
111,53.045237637521765,2.2695585388931444E-4,0.015861074628983153
112,48.24484435643109,2.302784816855356E-4,0.01609135311066869
113,99.28618475080759,2.2363349784189528E-4,0.016314986608510582
114,97.17414344957093,2.236793783785465E-4,0.01653866598688913
115,93.94642931604255,2.171699535458902E-4,0.01675583594043502
116,89.91419655288544,2.146139586018025E-4,0.016970449899036823
117,85.39542234577934,2.1268214077679856E-4,0.01718313203981362
118,80.68924130609437,2.0732190988027006E-4,0.017390453949693893
119,76.02124225475299,2.0474169270839505E-4,0.01759519564240229
120,71.49732713040966,2.0341291604879523E-4,0.017798608558451084
121,67.18397567265822,1.9472744972867987E-4,0.017993336008179765
122,63.01108633309572,1.9779370093743546E-4,0.0181911297091172
123,59.01197884093362,1.9849812211811827E-4,0.01838962783123532
124,54.47494688416107,2.0419593536821906E-4,0.018593823766603537
125,49.563476609585415,2.062370719741826E-4,0.018800060838577718
126,99.38624696024725,2.1155665323922942E-4,0.019011617491816946
127,97.40395007613712,2.129480743653697E-4,0.019224565566182315
128,93.80895723307677,2.2568896132347223E-4,0.01945025452750579
129,88.47207637078552,2.376819176025095E-4,0.019687936445108297
130,80.9614779930666,2.5843764236792413E-4,0.01994637408747622
131,71.60472971461301,2.7051943858328925E-4,0.020216893526059508
132,61.441116817973864,2.785465788956124E-4,0.02049544010495512
133,50.82813302905299,3.010222585193079E-4,0.02079646236347443
134,41.24144537443439,3.0862175930487486E-4,0.021105084122779304
135,98.26151163820117,3.205338375127484E-4,0.02142561796029205
136,93.25599951514135,3.363686635102891E-4,0.02176198662380234
137,86.27734684563922,3.36212789547669E-4,0.02209819941335001
138,78.26225383531697,3.4540706271169504E-4,0.022443606476061705
139,70.32877054883191,3.4863562015491226E-4,0.02279224209621662
140,62.65650655254953,3.358211497838729E-4,0.02312806324600049
141,55.536020920104995,3.352049028523587E-4,0.02346326814885285
142,48.79640224298561,3.4376979261324463E-4,0.023807037941466092
143,99.1579343394965,3.1226853378846985E-4,0.02411930647525456
