#Method,Adaptive,AdaptiveType,T,IterScale,Repeat,Metric,Value,TreeName,Time
ANNEALING,true,0,757,100.0,0,ConsensusLogLL,-29520.704830048177,sim-1121221206.msf,121171
ANNEALING,true,0,757,100.0,0,BestSampledLogLL,-29501.963744822962,sim-1121221206.msf,121171
ANNEALING,true,0,757,100.0,0,PartitionMetric,22.0,sim-1121221206.msf,121171
ANNEALING,true,0,757,100.0,0,RobinsonFouldsMetric,5.725257552851227,sim-1121221206.msf,121171
ANNEALING,true,0,757,100.0,0,KuhnerFelsenstein,3.0613197378901242,sim-1121221206.msf,121171
ANNEALING,false,0,757,100.0,0,ConsensusLogLL,-30199.483959410994,sim-1121221206.msf,119221
ANNEALING,false,0,757,100.0,0,BestSampledLogLL,-30195.457518618343,sim-1121221206.msf,119221
ANNEALING,false,0,757,100.0,0,PartitionMetric,26.0,sim-1121221206.msf,119221
ANNEALING,false,0,757,100.0,0,RobinsonFouldsMetric,5.614209174830364,sim-1121221206.msf,119221
ANNEALING,false,0,757,100.0,0,KuhnerFelsenstein,2.4109612577243205,sim-1121221206.msf,119221
ANNEALING,true,0,711,100.0,1,ConsensusLogLL,-28845.699585059912,sim-1121221206.msf,102199
ANNEALING,true,0,711,100.0,1,BestSampledLogLL,-28857.397394382504,sim-1121221206.msf,102199
ANNEALING,true,0,711,100.0,1,PartitionMetric,10.0,sim-1121221206.msf,102199
ANNEALING,true,0,711,100.0,1,RobinsonFouldsMetric,2.805349175912112,sim-1121221206.msf,102199
ANNEALING,true,0,711,100.0,1,KuhnerFelsenstein,0.501102132639638,sim-1121221206.msf,102199
ANNEALING,false,0,711,100.0,1,ConsensusLogLL,-29171.727786750256,sim-1121221206.msf,100057
ANNEALING,false,0,711,100.0,1,BestSampledLogLL,-29291.81330663627,sim-1121221206.msf,100057
ANNEALING,false,0,711,100.0,1,PartitionMetric,12.0,sim-1121221206.msf,100057
ANNEALING,false,0,711,100.0,1,RobinsonFouldsMetric,2.670358171283945,sim-1121221206.msf,100057
ANNEALING,false,0,711,100.0,1,KuhnerFelsenstein,0.28134467877464764,sim-1121221206.msf,100057
ANNEALING,true,0,610,100.0,2,ConsensusLogLL,-29029.07443476582,sim-1121221206.msf,86233
ANNEALING,true,0,610,100.0,2,BestSampledLogLL,-29028.914891456574,sim-1121221206.msf,86233
ANNEALING,true,0,610,100.0,2,PartitionMetric,24.0,sim-1121221206.msf,86233
ANNEALING,true,0,610,100.0,2,RobinsonFouldsMetric,2.948326295717233,sim-1121221206.msf,86233
ANNEALING,true,0,610,100.0,2,KuhnerFelsenstein,0.5278889652319276,sim-1121221206.msf,86233
ANNEALING,false,0,610,100.0,2,ConsensusLogLL,-28797.993545858597,sim-1121221206.msf,89930
ANNEALING,false,0,610,100.0,2,BestSampledLogLL,-28763.88081834154,sim-1121221206.msf,89930
ANNEALING,false,0,610,100.0,2,PartitionMetric,8.0,sim-1121221206.msf,89930
ANNEALING,false,0,610,100.0,2,RobinsonFouldsMetric,2.047564736315966,sim-1121221206.msf,89930
ANNEALING,false,0,610,100.0,2,KuhnerFelsenstein,0.14577361444140044,sim-1121221206.msf,89930
ANNEALING,true,0,627,100.0,3,ConsensusLogLL,-29301.34413421341,sim-1121221206.msf,94742
ANNEALING,true,0,627,100.0,3,BestSampledLogLL,-29340.7528939041,sim-1121221206.msf,94742
ANNEALING,true,0,627,100.0,3,PartitionMetric,18.0,sim-1121221206.msf,94742
ANNEALING,true,0,627,100.0,3,RobinsonFouldsMetric,3.734668602968365,sim-1121221206.msf,94742
ANNEALING,true,0,627,100.0,3,KuhnerFelsenstein,0.7244759982136338,sim-1121221206.msf,94742
ANNEALING,false,0,627,100.0,3,ConsensusLogLL,-30239.64979606445,sim-1121221206.msf,93956
ANNEALING,false,0,627,100.0,3,BestSampledLogLL,-30227.533046855984,sim-1121221206.msf,93956
ANNEALING,false,0,627,100.0,3,PartitionMetric,22.0,sim-1121221206.msf,93956
ANNEALING,false,0,627,100.0,3,RobinsonFouldsMetric,4.196179217033694,sim-1121221206.msf,93956
ANNEALING,false,0,627,100.0,3,KuhnerFelsenstein,1.1433673344226376,sim-1121221206.msf,93956
ANNEALING,true,0,723,100.0,4,ConsensusLogLL,-28792.519646984154,sim-1121221206.msf,105177
ANNEALING,true,0,723,100.0,4,BestSampledLogLL,-28807.373000772575,sim-1121221206.msf,105177
ANNEALING,true,0,723,100.0,4,PartitionMetric,24.0,sim-1121221206.msf,105177
ANNEALING,true,0,723,100.0,4,RobinsonFouldsMetric,2.89886879833074,sim-1121221206.msf,105177
ANNEALING,true,0,723,100.0,4,KuhnerFelsenstein,0.3992043018739998,sim-1121221206.msf,105177
ANNEALING,false,0,723,100.0,4,ConsensusLogLL,-29542.332968115938,sim-1121221206.msf,99566
ANNEALING,false,0,723,100.0,4,BestSampledLogLL,-29523.00476725991,sim-1121221206.msf,99566
ANNEALING,false,0,723,100.0,4,PartitionMetric,26.0,sim-1121221206.msf,99566
ANNEALING,false,0,723,100.0,4,RobinsonFouldsMetric,4.612795028351566,sim-1121221206.msf,99566
ANNEALING,false,0,723,100.0,4,KuhnerFelsenstein,1.0757795109173558,sim-1121221206.msf,99566
ANNEALING,true,0,697,100.0,5,ConsensusLogLL,-28432.90366407806,sim-1121221206.msf,95998
ANNEALING,true,0,697,100.0,5,BestSampledLogLL,-28421.488271004077,sim-1121221206.msf,95998
ANNEALING,true,0,697,100.0,5,PartitionMetric,4.0,sim-1121221206.msf,95998
ANNEALING,true,0,697,100.0,5,RobinsonFouldsMetric,1.4059327259855454,sim-1121221206.msf,95998
ANNEALING,true,0,697,100.0,5,KuhnerFelsenstein,0.08688647846989675,sim-1121221206.msf,95998
ANNEALING,false,0,697,100.0,5,ConsensusLogLL,-29249.316115091853,sim-1121221206.msf,96827
ANNEALING,false,0,697,100.0,5,BestSampledLogLL,-29239.804723249712,sim-1121221206.msf,96827
ANNEALING,false,0,697,100.0,5,PartitionMetric,20.0,sim-1121221206.msf,96827
ANNEALING,false,0,697,100.0,5,RobinsonFouldsMetric,3.249580294739097,sim-1121221206.msf,96827
ANNEALING,false,0,697,100.0,5,KuhnerFelsenstein,0.8804280807318176,sim-1121221206.msf,96827
ANNEALING,true,0,665,100.0,6,ConsensusLogLL,-29082.57346998457,sim-1121221206.msf,92455
ANNEALING,true,0,665,100.0,6,BestSampledLogLL,-29093.3596587242,sim-1121221206.msf,92455
ANNEALING,true,0,665,100.0,6,PartitionMetric,16.0,sim-1121221206.msf,92455
ANNEALING,true,0,665,100.0,6,RobinsonFouldsMetric,3.212984723590179,sim-1121221206.msf,92455
ANNEALING,true,0,665,100.0,6,KuhnerFelsenstein,0.7828563044845046,sim-1121221206.msf,92455
ANNEALING,false,0,665,100.0,6,ConsensusLogLL,-28752.5434627308,sim-1121221206.msf,91432
ANNEALING,false,0,665,100.0,6,BestSampledLogLL,-28750.43363954701,sim-1121221206.msf,91432
ANNEALING,false,0,665,100.0,6,PartitionMetric,16.0,sim-1121221206.msf,91432
ANNEALING,false,0,665,100.0,6,RobinsonFouldsMetric,2.95257559999194,sim-1121221206.msf,91432
ANNEALING,false,0,665,100.0,6,KuhnerFelsenstein,0.4792538516907723,sim-1121221206.msf,91432
ANNEALING,true,0,716,100.0,7,ConsensusLogLL,-30528.610517148256,sim-1121221206.msf,99141
ANNEALING,true,0,716,100.0,7,BestSampledLogLL,-30507.288009371463,sim-1121221206.msf,99141
ANNEALING,true,0,716,100.0,7,PartitionMetric,22.0,sim-1121221206.msf,99141
ANNEALING,true,0,716,100.0,7,RobinsonFouldsMetric,4.56653054752907,sim-1121221206.msf,99141
ANNEALING,true,0,716,100.0,7,KuhnerFelsenstein,1.625673051665951,sim-1121221206.msf,99141
ANNEALING,false,0,716,100.0,7,ConsensusLogLL,-29852.42738879518,sim-1121221206.msf,98800
ANNEALING,false,0,716,100.0,7,BestSampledLogLL,-29823.26145784821,sim-1121221206.msf,98800
ANNEALING,false,0,716,100.0,7,PartitionMetric,22.0,sim-1121221206.msf,98800
ANNEALING,false,0,716,100.0,7,RobinsonFouldsMetric,3.970267754484635,sim-1121221206.msf,98800
ANNEALING,false,0,716,100.0,7,KuhnerFelsenstein,0.792912013905438,sim-1121221206.msf,98800
ANNEALING,true,0,694,100.0,8,ConsensusLogLL,-28707.949732117428,sim-1121221206.msf,96196
ANNEALING,true,0,694,100.0,8,BestSampledLogLL,-28728.356874616875,sim-1121221206.msf,96196
ANNEALING,true,0,694,100.0,8,PartitionMetric,22.0,sim-1121221206.msf,96196
ANNEALING,true,0,694,100.0,8,RobinsonFouldsMetric,3.0693316230814798,sim-1121221206.msf,96196
ANNEALING,true,0,694,100.0,8,KuhnerFelsenstein,0.43178477012280003,sim-1121221206.msf,96196
ANNEALING,false,0,694,100.0,8,ConsensusLogLL,-29639.90884766292,sim-1121221206.msf,101435
ANNEALING,false,0,694,100.0,8,BestSampledLogLL,-29635.893432907804,sim-1121221206.msf,101435
ANNEALING,false,0,694,100.0,8,PartitionMetric,20.0,sim-1121221206.msf,101435
ANNEALING,false,0,694,100.0,8,RobinsonFouldsMetric,3.9667664552655317,sim-1121221206.msf,101435
ANNEALING,false,0,694,100.0,8,KuhnerFelsenstein,0.7464242663250894,sim-1121221206.msf,101435
ANNEALING,true,0,760,100.0,9,ConsensusLogLL,-28474.6909062871,sim-1121221206.msf,111360
ANNEALING,true,0,760,100.0,9,BestSampledLogLL,-28481.628200785744,sim-1121221206.msf,111360
ANNEALING,true,0,760,100.0,9,PartitionMetric,6.0,sim-1121221206.msf,111360
ANNEALING,true,0,760,100.0,9,RobinsonFouldsMetric,1.7345266776197383,sim-1121221206.msf,111360
ANNEALING,true,0,760,100.0,9,KuhnerFelsenstein,0.11436971640685874,sim-1121221206.msf,111360
ANNEALING,false,0,760,100.0,9,ConsensusLogLL,-30382.43413462882,sim-1121221206.msf,105789
ANNEALING,false,0,760,100.0,9,BestSampledLogLL,-30377.551674392038,sim-1121221206.msf,105789
ANNEALING,false,0,760,100.0,9,PartitionMetric,26.0,sim-1121221206.msf,105789
ANNEALING,false,0,760,100.0,9,RobinsonFouldsMetric,6.511720854563688,sim-1121221206.msf,105789
ANNEALING,false,0,760,100.0,9,KuhnerFelsenstein,3.005143021205925,sim-1121221206.msf,105789
ANNEALING,true,0,626,100.0,10,ConsensusLogLL,-29108.673096219114,sim-1121221206.msf,86638
ANNEALING,true,0,626,100.0,10,BestSampledLogLL,-29101.22312463766,sim-1121221206.msf,86638
ANNEALING,true,0,626,100.0,10,PartitionMetric,14.0,sim-1121221206.msf,86638
