#treeName,Method,NumericalLogZ,logZ
sim--2142322983.msf.Rep0,Adaptive,0.0,-832.5716410775785
sim--2142322983.msf.Rep0,Deterministic,0.0,-832.4750165269204
sim--2142322983.msf.Rep0,MCMC,NA,0.0
sim--2142322983.msf.Rep0,LIS,NA,-832.5320321596554
sim--2142322983.msf.Rep0,SS,NA,-832.4138263994427
sim--2142322983.msf.Rep1,Adaptive,0.0,-831.5302111854467
sim--2142322983.msf.Rep1,Deterministic,0.0,-833.7019899681144
sim--2142322983.msf.Rep1,MCMC,NA,0.0
sim--2142322983.msf.Rep1,LIS,NA,-831.8983040956945
sim--2142322983.msf.Rep1,SS,NA,-832.0082012342821
sim--2142322983.msf.Rep2,Adaptive,0.0,-832.691557224115
sim--2142322983.msf.Rep2,Deterministic,0.0,-833.040115269299
sim--2142322983.msf.Rep2,MCMC,NA,0.0
sim--2142322983.msf.Rep2,LIS,NA,-831.895963448883
sim--2142322983.msf.Rep2,SS,NA,-833.9523707664212
sim--2142322983.msf.Rep3,Adaptive,0.0,-832.0734718738729
sim--2142322983.msf.Rep3,Deterministic,0.0,-830.7252609691523
sim--2142322983.msf.Rep3,MCMC,NA,0.0
sim--2142322983.msf.Rep3,LIS,NA,-831.6577803916567
sim--2142322983.msf.Rep3,SS,NA,-832.9597343920658
sim--2142322983.msf.Rep4,Adaptive,0.0,-833.528108383773
sim--2142322983.msf.Rep4,Deterministic,0.0,-831.0346160445463
sim--2142322983.msf.Rep4,MCMC,NA,0.0
sim--2142322983.msf.Rep4,LIS,NA,-834.1015824383296
sim--2142322983.msf.Rep4,SS,NA,-832.5323709723641
sim--2142322983.msf.Rep5,Adaptive,0.0,-832.5128624826594
sim--2142322983.msf.Rep5,Deterministic,0.0,-831.6242268766948
sim--2142322983.msf.Rep5,MCMC,NA,0.0
sim--2142322983.msf.Rep5,LIS,NA,-832.7876306508018
sim--2142322983.msf.Rep5,SS,NA,-832.234458089076
sim--2142322983.msf.Rep6,Adaptive,0.0,-832.565343604058
sim--2142322983.msf.Rep6,Deterministic,0.0,-832.2855871007501
sim--2142322983.msf.Rep6,MCMC,NA,0.0
sim--2142322983.msf.Rep6,LIS,NA,-832.2846599530327
sim--2142322983.msf.Rep6,SS,NA,-833.0534198959051
sim--2142322983.msf.Rep7,Adaptive,0.0,-832.2985108681742
sim--2142322983.msf.Rep7,Deterministic,0.0,-831.2571674951157
sim--2142322983.msf.Rep7,MCMC,NA,0.0
sim--2142322983.msf.Rep7,LIS,NA,-832.5565973862075
sim--2142322983.msf.Rep7,SS,NA,-832.9629228940611
sim--2142322983.msf.Rep8,Adaptive,0.0,-832.1443904289213
sim--2142322983.msf.Rep8,Deterministic,0.0,-830.8304098182215
sim--2142322983.msf.Rep8,MCMC,NA,0.0
sim--2142322983.msf.Rep8,LIS,NA,-832.5518865205429
sim--2142322983.msf.Rep8,SS,NA,-833.1495106202035
sim--2142322983.msf.Rep9,Adaptive,0.0,-831.9956532399465
sim--2142322983.msf.Rep9,Deterministic,0.0,-831.5937049087572
sim--2142322983.msf.Rep9,MCMC,NA,0.0
sim--2142322983.msf.Rep9,LIS,NA,-832.786736609939
sim--2142322983.msf.Rep9,SS,NA,-834.0250131785549
sim--2142322983.msf.Rep10,Adaptive,0.0,-831.4867889718042
sim--2142322983.msf.Rep10,Deterministic,0.0,-832.9466235096601
sim--2142322983.msf.Rep10,MCMC,NA,0.0
sim--2142322983.msf.Rep10,LIS,NA,-833.0485414260636
sim--2142322983.msf.Rep10,SS,NA,-833.3311732932665
sim--2142322983.msf.Rep11,Adaptive,0.0,-831.915473139131
sim--2142322983.msf.Rep11,Deterministic,0.0,-832.0282966222014
sim--2142322983.msf.Rep11,MCMC,NA,0.0
sim--2142322983.msf.Rep11,LIS,NA,-832.117851808006
sim--2142322983.msf.Rep11,SS,NA,-832.5590351521172
sim--2142322983.msf.Rep12,Adaptive,0.0,-833.2030591061947
sim--2142322983.msf.Rep12,Deterministic,0.0,-832.1652263778617
sim--2142322983.msf.Rep12,MCMC,NA,0.0
sim--2142322983.msf.Rep12,LIS,NA,-833.4910374196033
sim--2142322983.msf.Rep12,SS,NA,-833.3998974527553
sim--2142322983.msf.Rep13,Adaptive,0.0,-832.1031350945598
sim--2142322983.msf.Rep13,Deterministic,0.0,-832.3627284971062
sim--2142322983.msf.Rep13,MCMC,NA,0.0
sim--2142322983.msf.Rep13,LIS,NA,-832.5063533159248
sim--2142322983.msf.Rep13,SS,NA,-833.2111237400062
sim--2142322983.msf.Rep14,Adaptive,0.0,-832.8062706274723
sim--2142322983.msf.Rep14,Deterministic,0.0,-832.070245712269
sim--2142322983.msf.Rep14,MCMC,NA,0.0
sim--2142322983.msf.Rep14,LIS,NA,-831.951417155862
sim--2142322983.msf.Rep14,SS,NA,-832.3795996243662
sim--2142322983.msf.Rep15,Adaptive,0.0,-831.6813001356477
sim--2142322983.msf.Rep15,Deterministic,0.0,-832.2847068132079
sim--2142322983.msf.Rep15,MCMC,NA,0.0
sim--2142322983.msf.Rep15,LIS,NA,-832.9047956086642
sim--2142322983.msf.Rep15,SS,NA,-833.6254127885362
sim--2142322983.msf.Rep16,Adaptive,0.0,-832.1632025868242
sim--2142322983.msf.Rep16,Deterministic,0.0,-831.6281920622457
sim--2142322983.msf.Rep16,MCMC,NA,0.0
sim--2142322983.msf.Rep16,LIS,NA,-833.0741799264983
sim--2142322983.msf.Rep16,SS,NA,-832.7534208336037
sim--2142322983.msf.Rep17,Adaptive,0.0,-833.0558973909011
sim--2142322983.msf.Rep17,Deterministic,0.0,-831.4584719177051
sim--2142322983.msf.Rep17,MCMC,NA,0.0
sim--2142322983.msf.Rep17,LIS,NA,-832.2980558818581
sim--2142322983.msf.Rep17,SS,NA,-832.1575172146971
sim--2142322983.msf.Rep18,Adaptive,0.0,-831.7757114000813
sim--2142322983.msf.Rep18,Deterministic,0.0,-831.9149268516092
sim--2142322983.msf.Rep18,MCMC,NA,0.0
sim--2142322983.msf.Rep18,LIS,NA,-832.2990320939906
sim--2142322983.msf.Rep18,SS,NA,-832.4573503919164
sim--2142322983.msf.Rep19,Adaptive,0.0,-831.9704354744059
sim--2142322983.msf.Rep19,Deterministic,0.0,-830.8520777110522
sim--2142322983.msf.Rep19,MCMC,NA,0.0
sim--2142322983.msf.Rep19,LIS,NA,-831.4337380864253
sim--2142322983.msf.Rep19,SS,NA,-832.9622885332412
