#Method,Adaptive,AdaptiveType,T,IterScale,Repeat,Metric,Value,TreeName,Time
ANNEALING,true,0,1083,100.0,0,ConsensusLogLL,-796.696273425302,sim--2142322983.msf,45008
ANNEALING,true,0,1083,100.0,0,BestSampledLogLL,-798.3181060449215,sim--2142322983.msf,45008
ANNEALING,true,0,1083,100.0,0,PartitionMetric,2.0,sim--2142322983.msf,45008
ANNEALING,true,0,1083,100.0,0,RobinsonFouldsMetric,0.43366508409840127,sim--2142322983.msf,45008
ANNEALING,true,0,1083,100.0,0,KuhnerFelsenstein,0.020251089419507373,sim--2142322983.msf,45008
ANNEALING,false,0,1083,100.0,0,ConsensusLogLL,-796.5022892032946,sim--2142322983.msf,14147
ANNEALING,false,0,1083,100.0,0,BestSampledLogLL,-799.0313858462862,sim--2142322983.msf,14147
ANNEALING,false,0,1083,100.0,0,PartitionMetric,2.0,sim--2142322983.msf,14147
ANNEALING,false,0,1083,100.0,0,RobinsonFouldsMetric,0.5271688903016352,sim--2142322983.msf,14147
ANNEALING,false,0,1083,100.0,0,KuhnerFelsenstein,0.02884219643643235,sim--2142322983.msf,14147
MCMC,,,,108300.0,0,ConsensusLogLL,-797.3317522786382,sim--2142322983.msf,86063
MCMC,,,,108300.0,0,BestSampledLogLL,-Infinity,sim--2142322983.msf,86063
MCMC,,,,108300.0,0,PartitionMetric,4.0,sim--2142322983.msf,86063
MCMC,,,,108300.0,0,RobinsonFouldsMetric,0.6078984653906365,sim--2142322983.msf,86063
MCMC,,,,108300.0,0,KuhnerFelsenstein,0.033249204097509075,sim--2142322983.msf,86063
ANNEALING,true,0,1126,100.0,1,ConsensusLogLL,-795.9553683534054,sim--2142322983.msf,14447
ANNEALING,true,0,1126,100.0,1,BestSampledLogLL,-798.0654488783189,sim--2142322983.msf,14447
ANNEALING,true,0,1126,100.0,1,PartitionMetric,4.0,sim--2142322983.msf,14447
ANNEALING,true,0,1126,100.0,1,RobinsonFouldsMetric,0.525917308282564,sim--2142322983.msf,14447
ANNEALING,true,0,1126,100.0,1,KuhnerFelsenstein,0.02940345816535852,sim--2142322983.msf,14447
ANNEALING,false,0,1126,100.0,1,ConsensusLogLL,-796.2531331040569,sim--2142322983.msf,15912
ANNEALING,false,0,1126,100.0,1,BestSampledLogLL,-799.8869633213911,sim--2142322983.msf,15912
ANNEALING,false,0,1126,100.0,1,PartitionMetric,2.0,sim--2142322983.msf,15912
