#t,ESS,tempDiff,temp
0,499.9999999999944,0.0,0.0
1,499.99499999999915,2.8194131474701448E-5,2.8194131474701448E-5
2,499.9802271234571,2.8608511367468733E-5,5.680264284217018E-5
3,499.9558259624709,2.8364668472867844E-5,8.516731131503802E-5
4,499.92194902041695,2.8060920017889104E-5,1.1322823133292712E-4
5,499.8788134462307,2.817010074401964E-5,1.4139833207694677E-4
6,499.82649552790826,2.8181256858580775E-5,1.6957958893552754E-4
7,499.76596385778276,2.7866473666917786E-5,1.9744606260244533E-4
8,499.696844536977,2.775707952395679E-5,2.252031421264021E-4
9,499.61905055390525,2.7668132211219298E-5,2.528712743376214E-4
10,499.53374535207075,2.7581672821415246E-5,2.804529471590367E-4
11,499.4398962385299,2.753420819251881E-5,3.079871553515555E-4
12,499.33789809478736,2.738766790973869E-5,3.3537482326129414E-4
13,499.2281955100238,2.741615667192229E-5,3.6279097993321643E-4
14,499.1106965737074,2.8034278437026605E-5,3.9082525837024303E-4
15,498.98605927865253,2.7924067713138216E-5,4.1874932608338127E-4
16,498.85440325414504,2.780666105051546E-5,4.465559871338967E-4
17,498.7161417371573,2.816384061273898E-5,4.747198277466357E-4
18,498.5721063932668,2.766350778072779E-5,5.023833355273635E-4
19,498.42124872125385,2.8029233423139815E-5,5.304125689505033E-4
20,498.26422415778774,2.780085564362693E-5,5.582134245941303E-4
21,498.100313235356,2.7423722788874618E-5,5.856371473830049E-4
22,497.92916149456227,2.7197032460582274E-5,6.128341798435871E-4
23,497.75210185677685,2.738080807117325E-5,6.402149879147604E-4
24,497.5685269311686,2.735939529555691E-5,6.675743832103173E-4
25,497.3770512984694,2.76449804902252E-5,6.952193637005425E-4
26,497.1786060160159,2.7670967325201454E-5,7.228903310257439E-4
27,496.97179701935755,2.73683986688153E-5,7.502587296945593E-4
28,496.76018383720844,2.749818218048261E-5,7.777569118750419E-4
29,496.54076670241705,2.7587171254466986E-5,8.05344083129509E-4
30,496.3143659805203,2.7510451593034163E-5,8.328545347225431E-4
31,496.08171791557464,2.71570684488145E-5,8.600116031713576E-4
32,495.8420552716293,2.707677659309791E-5,8.870883797644555E-4
33,495.5983941228818,2.7263018267636237E-5,9.143513980320918E-4
34,495.34652443004256,2.703453772480011E-5,9.413859357568919E-4
35,495.09068096523646,2.68656354586003E-5,9.682515712154922E-4
36,494.8310772412877,2.6362841592167567E-5,9.946144128076598E-4
37,494.56489351770466,2.6000992743550616E-5,0.0010206154055512103
38,494.294639846826,2.6435070081223258E-5,0.0010470504756324335
39,494.0182453950006,2.6192411500726437E-5,0.00107324288713316
40,493.7353994882357,2.5699318322581336E-5,0.0010989422054557413
41,493.4434075041032,2.5696572734222183E-5,0.0011246387781899635
42,493.1460754192327,2.5634797006888647E-5,0.0011502735751968522
43,492.84540408005796,2.554422812234483E-5,0.001175817803319197
44,492.5392577881218,2.5578523876724266E-5,0.0012013963271959212
45,492.22725296003074,2.571696904242985E-5,0.001227113296238351
46,491.9103219190798,2.5379660926779555E-5,0.0012524929571651306
47,491.58824261660885,2.5378045700565436E-5,0.001277871002865696
48,491.26328791586104,2.5045255327202955E-5,0.001302916258192899
49,490.9329845264103,2.4902543772271785E-5,0.0013278188019651708
50,490.59781322866377,2.4970818530083834E-5,0.0013527896204952546
51,490.25701683848524,2.514978152746709E-5,0.0013779394020227217
52,489.91088389851467,2.4929224385558634E-5,0.0014028686264082803
53,489.56189022565167,2.4973677457074447E-5,0.0014278423038653547
54,489.20658460647513,2.504847323825615E-5,0.0014528907771036107
55,488.8468861440972,2.49663005524935E-5,0.0014778570776561042
56,488.4841598914559,2.505802791808111E-5,0.0015029151055741853
57,488.1174159874155,2.497861732453944E-5,0.0015278937228987248
58,487.7434363634769,2.504108570648595E-5,0.0015529348086052107
59,487.36738754532456,2.553994852889652E-5,0.0015784747571341072
60,486.98835510676474,2.5670305494356916E-5,0.0016041450626284642
61,486.6072857552427,2.580155819412735E-5,0.0016299466208225916
62,486.22588196792657,2.6294648922976514E-5,0.0016562412697455682
63,485.8402110692347,2.663656557292566E-5,0.001682877835318494
64,485.4500758262673,2.6700646486480673E-5,0.0017095784818049746
65,485.0599090088774,2.708602653870523E-5,0.0017366645083436798
66,484.66637448200794,2.7149427252193044E-5,0.0017638139355958728
67,484.27214501161325,2.7123391902337515E-5,0.0017909373274982104
68,483.87432302756434,2.6536664011167077E-5,0.0018174739915093774
69,483.47252798243267,2.6352382579681752E-5,0.0018438263740890592
70,483.0642524377354,2.6549159709577275E-5,0.0018703755337986364
71,482.65046805237796,2.649611211106711E-5,0.0018968716459097036
72,482.2297342137256,2.5998995047825807E-5,0.0019228706409575294
73,481.80327447412196,2.6102419176240727E-5,0.00194897306013377
74,481.37581057807455,2.58145236652135E-5,0.0019747875837989835
75,480.9411293529509,2.5644659284785097E-5,0.0020004322430837687
76,480.5008936866741,2.5750938156942603E-5,0.0020261831812407112
77,480.05667087139597,2.5790090877133755E-5,0.002051973272117845
78,479.6108653318953,2.561168913637278E-5,0.0020775849612542177
79,479.1609688267526,2.5814180291949095E-5,0.002103399141546167
80,478.7047079750725,2.617086839923473E-5,0.0021295700099454016
81,478.2448681092085,2.6167432135335808E-5,0.0021557374420807375
82,477.78069779066203,2.601190312100132E-5,0.002181749345201739
83,477.31495436902986,2.5822771534075307E-5,0.0022075721167358143
84,476.8499611777066,2.618878641308576E-5,0.0022337609031489
85,476.38176140468926,2.648686310574371E-5,0.0022602477662546435
86,475.908387099776,2.645913018250553E-5,0.002286706896437149
87,475.4238067995525,2.663914929285641E-5,0.0023133460457300053
88,474.9433955166165,2.688851970165034E-5,0.0023402345654316556
89,474.46252030094735,2.6688832591570262E-5,0.002366923398023226
90,473.9846790297688,2.6671560363607346E-5,0.002393594958386833
91,473.50681255437587,2.6302699762952058E-5,0.0024198976581497854
92,473.0254788098705,2.6002348374205513E-5,0.002445900006523991
93,472.53159695663356,2.6202683323305675E-5,0.002472102689847297
94,472.03918315718806,2.5735960306508013E-5,0.002497838650153805
