#treeName,Method,NumericalLogZ,logZ
sim-1121221206.msf.Rep0,Adaptive,0.0,-1255.7472749275655
sim-1121221206.msf.Rep0,Deterministic,0.0,-1255.6323829693254
sim-1121221206.msf.Rep0,MCMC,NA,0.0
sim-1121221206.msf.Rep0,LIS,NA,-1255.9718562657567
sim-1121221206.msf.Rep0,SS,NA,-1256.0203474442455
sim-1121221206.msf.Rep1,Adaptive,0.0,-1255.376687950262
sim-1121221206.msf.Rep1,Deterministic,0.0,-1255.7776170479071
sim-1121221206.msf.Rep1,MCMC,NA,0.0
sim-1121221206.msf.Rep1,LIS,NA,-1255.8149040986445
sim-1121221206.msf.Rep1,SS,NA,-1255.941663707484
sim-1121221206.msf.Rep2,Adaptive,0.0,-1255.817216762713
sim-1121221206.msf.Rep2,Deterministic,0.0,-1255.129206138103
sim-1121221206.msf.Rep2,MCMC,NA,0.0
sim-1121221206.msf.Rep2,LIS,NA,-1256.426891078575
sim-1121221206.msf.Rep2,SS,NA,-1255.6426012872994
sim-1121221206.msf.Rep3,Adaptive,0.0,-1255.926110047011
sim-1121221206.msf.Rep3,Deterministic,0.0,-1255.291275462029
sim-1121221206.msf.Rep3,MCMC,NA,0.0
sim-1121221206.msf.Rep3,LIS,NA,-1256.2120889974583
sim-1121221206.msf.Rep3,SS,NA,-1256.0995346086563
sim-1121221206.msf.Rep4,Adaptive,0.0,-1256.1675024006558
sim-1121221206.msf.Rep4,Deterministic,0.0,-1256.0687191822908
sim-1121221206.msf.Rep4,MCMC,NA,0.0
sim-1121221206.msf.Rep4,LIS,NA,-1256.0310540394808
sim-1121221206.msf.Rep4,SS,NA,-1256.0127425496235
sim-1121221206.msf.Rep5,Adaptive,0.0,-1255.634360653528
sim-1121221206.msf.Rep5,Deterministic,0.0,-1255.663889913689
sim-1121221206.msf.Rep5,MCMC,NA,0.0
sim-1121221206.msf.Rep5,LIS,NA,-1255.7655705467469
sim-1121221206.msf.Rep5,SS,NA,-1256.072834358818
sim-1121221206.msf.Rep6,Adaptive,0.0,-1255.5629256684106
sim-1121221206.msf.Rep6,Deterministic,0.0,-1255.6191775831946
sim-1121221206.msf.Rep6,MCMC,NA,0.0
sim-1121221206.msf.Rep6,LIS,NA,-1256.0261840285912
sim-1121221206.msf.Rep6,SS,NA,-1256.2263998354697
sim-1121221206.msf.Rep7,Adaptive,0.0,-1255.9160765618196
sim-1121221206.msf.Rep7,Deterministic,0.0,-1255.336175301539
sim-1121221206.msf.Rep7,MCMC,NA,0.0
sim-1121221206.msf.Rep7,LIS,NA,-1255.7980725569714
sim-1121221206.msf.Rep7,SS,NA,-1255.4914277189948
sim-1121221206.msf.Rep8,Adaptive,0.0,-1255.8194629033658
