#Method,Adaptive,AdaptiveType,T,IterScale,Repeat,Metric,Value,TreeName,Time
ANNEALING,true,0,5156,500.0,0,ConsensusLogLL,-1189.8099356753994,sim-1121221206.msf,499039
ANNEALING,true,0,5156,500.0,0,BestSampledLogLL,-1194.2361418620417,sim-1121221206.msf,499039
ANNEALING,true,0,5156,500.0,0,PartitionMetric,2.0,sim-1121221206.msf,499039
ANNEALING,true,0,5156,500.0,0,RobinsonFouldsMetric,0.9602042846277263,sim-1121221206.msf,499039
ANNEALING,true,0,5156,500.0,0,KuhnerFelsenstein,0.06042693569547632,sim-1121221206.msf,499039
ANNEALING,false,0,5156,500.0,0,ConsensusLogLL,-1189.2317667096686,sim-1121221206.msf,490120
ANNEALING,false,0,5156,500.0,0,BestSampledLogLL,-1192.3550175286266,sim-1121221206.msf,490120
ANNEALING,false,0,5156,500.0,0,PartitionMetric,2.0,sim-1121221206.msf,490120
ANNEALING,false,0,5156,500.0,0,RobinsonFouldsMetric,0.8864242846277264,sim-1121221206.msf,490120
ANNEALING,false,0,5156,500.0,0,KuhnerFelsenstein,0.05692387991419486,sim-1121221206.msf,490120
MCMC,,,,2578000.0,0,ConsensusLogLL,-1191.6131225064496,sim-1121221206.msf,2943681
MCMC,,,,2578000.0,0,BestSampledLogLL,-Infinity,sim-1121221206.msf,2943681
MCMC,,,,2578000.0,0,PartitionMetric,2.0,sim-1121221206.msf,2943681
MCMC,,,,2578000.0,0,RobinsonFouldsMetric,1.2610604853153347,sim-1121221206.msf,2943681
MCMC,,,,2578000.0,0,KuhnerFelsenstein,0.10112433927409697,sim-1121221206.msf,2943681
ANNEALING,true,0,5165,500.0,1,ConsensusLogLL,-1189.6095950584145,sim-1121221206.msf,495171
ANNEALING,true,0,5165,500.0,1,BestSampledLogLL,-1191.7697174237958,sim-1121221206.msf,495171
ANNEALING,true,0,5165,500.0,1,PartitionMetric,2.0,sim-1121221206.msf,495171
ANNEALING,true,0,5165,500.0,1,RobinsonFouldsMetric,0.907384284627726,sim-1121221206.msf,495171
ANNEALING,true,0,5165,500.0,1,KuhnerFelsenstein,0.05787418796770041,sim-1121221206.msf,495171
ANNEALING,false,0,5165,500.0,1,ConsensusLogLL,-1189.771656180857,sim-1121221206.msf,488209
ANNEALING,false,0,5165,500.0,1,BestSampledLogLL,-1193.9022871964748,sim-1121221206.msf,488209
ANNEALING,false,0,5165,500.0,1,PartitionMetric,2.0,sim-1121221206.msf,488209
ANNEALING,false,0,5165,500.0,1,RobinsonFouldsMetric,0.9143442846277263,sim-1121221206.msf,488209
ANNEALING,false,0,5165,500.0,1,KuhnerFelsenstein,0.0589225534875667,sim-1121221206.msf,488209
MCMC,,,,2582500.0,1,ConsensusLogLL,-1191.708950172984,sim-1121221206.msf,2931837
MCMC,,,,2582500.0,1,BestSampledLogLL,-Infinity,sim-1121221206.msf,2931837
MCMC,,,,2582500.0,1,PartitionMetric,2.0,sim-1121221206.msf,2931837
MCMC,,,,2582500.0,1,RobinsonFouldsMetric,1.2617504853153343,sim-1121221206.msf,2931837
MCMC,,,,2582500.0,1,KuhnerFelsenstein,0.10140684618470383,sim-1121221206.msf,2931837
ANNEALING,true,0,5153,500.0,2,ConsensusLogLL,-1189.9018938746265,sim-1121221206.msf,502176
ANNEALING,true,0,5153,500.0,2,BestSampledLogLL,-1195.1277172637626,sim-1121221206.msf,502176
ANNEALING,true,0,5153,500.0,2,PartitionMetric,2.0,sim-1121221206.msf,502176
ANNEALING,true,0,5153,500.0,2,RobinsonFouldsMetric,0.9606542846277262,sim-1121221206.msf,502176
ANNEALING,true,0,5153,500.0,2,KuhnerFelsenstein,0.06525558806919526,sim-1121221206.msf,502176
ANNEALING,false,0,5153,500.0,2,ConsensusLogLL,-1189.3325094778393,sim-1121221206.msf,500120
ANNEALING,false,0,5153,500.0,2,BestSampledLogLL,-1194.1290775524533,sim-1121221206.msf,500120
ANNEALING,false,0,5153,500.0,2,PartitionMetric,2.0,sim-1121221206.msf,500120
ANNEALING,false,0,5153,500.0,2,RobinsonFouldsMetric,0.8901842846277265,sim-1121221206.msf,500120
ANNEALING,false,0,5153,500.0,2,KuhnerFelsenstein,0.05820674962288513,sim-1121221206.msf,500120
MCMC,,,,2576500.0,2,ConsensusLogLL,-1191.7428951476998,sim-1121221206.msf,2931079
MCMC,,,,2576500.0,2,BestSampledLogLL,-Infinity,sim-1121221206.msf,2931079
MCMC,,,,2576500.0,2,PartitionMetric,2.0,sim-1121221206.msf,2931079
MCMC,,,,2576500.0,2,RobinsonFouldsMetric,1.2618304853153344,sim-1121221206.msf,2931079
MCMC,,,,2576500.0,2,KuhnerFelsenstein,0.10300591934861725,sim-1121221206.msf,2931079
ANNEALING,true,0,5169,500.0,3,ConsensusLogLL,-1189.6632279800529,sim-1121221206.msf,499415
ANNEALING,true,0,5169,500.0,3,BestSampledLogLL,-1192.8174994879946,sim-1121221206.msf,499415
ANNEALING,true,0,5169,500.0,3,PartitionMetric,2.0,sim-1121221206.msf,499415
ANNEALING,true,0,5169,500.0,3,RobinsonFouldsMetric,0.9315242846277264,sim-1121221206.msf,499415
