"","X.Method","Adaptive","AdaptiveType","T","IterScale","Repeat","Metric","Value","TreeName","Time","SMCSamplerExperiments.mainRand","SMCSamplerExperiments.alphaSMCSampler","gen.rand","gen.treeRate","SMCSamplerExperiments.iterScalings","gen.useNonclock","Method"
"1","ANNEALING","ANNEALING TRUE",0,5225,100,0,"ConsensusLogLL",-3949.3460897024,"sim--1486544792.msf",175895,111,0.99999,7001,10,"100 200000","true"," ASMC"
"3","ANNEALING","ANNEALING TRUE",0,5225,100,0,"PartitionMetric",0,"sim--1486544792.msf",175895,111,0.99999,7001,10,"100 200000","true"," ASMC"
"4","ANNEALING","ANNEALING TRUE",0,5225,100,0,"RobinsonFouldsMetric",0.223580249633488,"sim--1486544792.msf",175895,111,0.99999,7001,10,"100 200000","true"," ASMC"
"5","ANNEALING","ANNEALING TRUE",0,5225,100,0,"KuhnerFelsenstein",0.00507110714191394,"sim--1486544792.msf",175895,111,0.99999,7001,10,"100 200000","true"," ASMC"
"6","ANNEALING","ANNEALING FALSE",0,5225,100,0,"ConsensusLogLL",-3948.9696323493,"sim--1486544792.msf",116483,111,0.99999,7001,10,"100 200000","true"," DASMC"
"8","ANNEALING","ANNEALING FALSE",0,5225,100,0,"PartitionMetric",0,"sim--1486544792.msf",116483,111,0.99999,7001,10,"100 200000","true"," DASMC"
"9","ANNEALING","ANNEALING FALSE",0,5225,100,0,"RobinsonFouldsMetric",0.208059314486179,"sim--1486544792.msf",116483,111,0.99999,7001,10,"100 200000","true"," DASMC"
"10","ANNEALING","ANNEALING FALSE",0,5225,100,0,"KuhnerFelsenstein",0.00413536020216887,"sim--1486544792.msf",116483,111,0.99999,7001,10,"100 200000","true"," DASMC"
"11","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"ConsensusLogLL",-3983.50149491717,"sim--1486544792.msf",175357,111,0.99999,7001,10,"100 200000","true","CSMC-Nonclock"
"13","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"PartitionMetric",4,"sim--1486544792.msf",175357,111,0.99999,7001,10,"100 200000","true","CSMC-Nonclock"
"14","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"RobinsonFouldsMetric",0.57316433745984,"sim--1486544792.msf",175357,111,0.99999,7001,10,"100 200000","true","CSMC-Nonclock"
"15","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"KuhnerFelsenstein",0.0294341653649211,"sim--1486544792.msf",175357,111,0.99999,7001,10,"100 200000","true","CSMC-Nonclock"
"16","ANNEALING","ANNEALING TRUE",0,5190,100,0,"ConsensusLogLL",-4088.49669538592,"sim--1601328191.msf",110699,111,0.99999,7001,10,"100 200000","true"," ASMC"
"18","ANNEALING","ANNEALING TRUE",0,5190,100,0,"PartitionMetric",2,"sim--1601328191.msf",110699,111,0.99999,7001,10,"100 200000","true"," ASMC"
"19","ANNEALING","ANNEALING TRUE",0,5190,100,0,"RobinsonFouldsMetric",0.204794630890625,"sim--1601328191.msf",110699,111,0.99999,7001,10,"100 200000","true"," ASMC"
"20","ANNEALING","ANNEALING TRUE",0,5190,100,0,"KuhnerFelsenstein",0.00403935342534718,"sim--1601328191.msf",110699,111,0.99999,7001,10,"100 200000","true"," ASMC"
"21","ANNEALING","ANNEALING FALSE",0,5190,100,0,"ConsensusLogLL",-4088.69426046682,"sim--1601328191.msf",124524,111,0.99999,7001,10,"100 200000","true"," DASMC"
"23","ANNEALING","ANNEALING FALSE",0,5190,100,0,"PartitionMetric",2,"sim--1601328191.msf",124524,111,0.99999,7001,10,"100 200000","true"," DASMC"
"24","ANNEALING","ANNEALING FALSE",0,5190,100,0,"RobinsonFouldsMetric",0.241443472218479,"sim--1601328191.msf",124524,111,0.99999,7001,10,"100 200000","true"," DASMC"
"25","ANNEALING","ANNEALING FALSE",0,5190,100,0,"KuhnerFelsenstein",0.00557699950576748,"sim--1601328191.msf",124524,111,0.99999,7001,10,"100 200000","true"," DASMC"
"26","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"ConsensusLogLL",-4109.7482078714,"sim--1601328191.msf",161134,111,0.99999,7001,10,"100 200000","true","CSMC-Nonclock"
"28","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"PartitionMetric",4,"sim--1601328191.msf",161134,111,0.99999,7001,10,"100 200000","true","CSMC-Nonclock"
"29","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"RobinsonFouldsMetric",0.364489098803341,"sim--1601328191.msf",161134,111,0.99999,7001,10,"100 200000","true","CSMC-Nonclock"
"30","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"KuhnerFelsenstein",0.0140246047523466,"sim--1601328191.msf",161134,111,0.99999,7001,10,"100 200000","true","CSMC-Nonclock"
"31","ANNEALING","ANNEALING TRUE",0,4908,100,0,"ConsensusLogLL",-3366.06439735156,"sim-1332897368.msf",137907,111,0.99999,7001,10,"100 200000","true"," ASMC"
"33","ANNEALING","ANNEALING TRUE",0,4908,100,0,"PartitionMetric",0,"sim-1332897368.msf",137907,111,0.99999,7001,10,"100 200000","true"," ASMC"
"34","ANNEALING","ANNEALING TRUE",0,4908,100,0,"RobinsonFouldsMetric",0.14100841425775,"sim-1332897368.msf",137907,111,0.99999,7001,10,"100 200000","true"," ASMC"
"35","ANNEALING","ANNEALING TRUE",0,4908,100,0,"KuhnerFelsenstein",0.00241213305391842,"sim-1332897368.msf",137907,111,0.99999,7001,10,"100 200000","true"," ASMC"
"36","ANNEALING","ANNEALING FALSE",0,4908,100,0,"ConsensusLogLL",-3365.90867391672,"sim-1332897368.msf",175281,111,0.99999,7001,10,"100 200000","true"," DASMC"
"38","ANNEALING","ANNEALING FALSE",0,4908,100,0,"PartitionMetric",0,"sim-1332897368.msf",175281,111,0.99999,7001,10,"100 200000","true"," DASMC"
"39","ANNEALING","ANNEALING FALSE",0,4908,100,0,"RobinsonFouldsMetric",0.14464086463264,"sim-1332897368.msf",175281,111,0.99999,7001,10,"100 200000","true"," DASMC"
"40","ANNEALING","ANNEALING FALSE",0,4908,100,0,"KuhnerFelsenstein",0.00196226456813035,"sim-1332897368.msf",175281,111,0.99999,7001,10,"100 200000","true"," DASMC"
"41","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"ConsensusLogLL",-3714.04088442522,"sim-1332897368.msf",184430,111,0.99999,7001,10,"100 200000","true","CSMC-Nonclock"
"43","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"PartitionMetric",12,"sim-1332897368.msf",184430,111,0.99999,7001,10,"100 200000","true","CSMC-Nonclock"
"44","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"RobinsonFouldsMetric",1.36866045757898,"sim-1332897368.msf",184430,111,0.99999,7001,10,"100 200000","true","CSMC-Nonclock"
"45","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"KuhnerFelsenstein",0.159177300862495,"sim-1332897368.msf",184430,111,0.99999,7001,10,"100 200000","true","CSMC-Nonclock"
"46","ANNEALING","ANNEALING TRUE",0,5096,100,0,"ConsensusLogLL",-3871.82897424004,"sim--1939888376.msf",125271,111,0.99999,9001,10,"100 200000","true"," ASMC"
"48","ANNEALING","ANNEALING TRUE",0,5096,100,0,"PartitionMetric",0,"sim--1939888376.msf",125271,111,0.99999,9001,10,"100 200000","true"," ASMC"
"49","ANNEALING","ANNEALING TRUE",0,5096,100,0,"RobinsonFouldsMetric",0.180857540630691,"sim--1939888376.msf",125271,111,0.99999,9001,10,"100 200000","true"," ASMC"
"50","ANNEALING","ANNEALING TRUE",0,5096,100,0,"KuhnerFelsenstein",0.00347398522099458,"sim--1939888376.msf",125271,111,0.99999,9001,10,"100 200000","true"," ASMC"
"51","ANNEALING","ANNEALING FALSE",0,5096,100,0,"ConsensusLogLL",-3871.85940725118,"sim--1939888376.msf",103121,111,0.99999,9001,10,"100 200000","true"," DASMC"
"53","ANNEALING","ANNEALING FALSE",0,5096,100,0,"PartitionMetric",0,"sim--1939888376.msf",103121,111,0.99999,9001,10,"100 200000","true"," DASMC"
"54","ANNEALING","ANNEALING FALSE",0,5096,100,0,"RobinsonFouldsMetric",0.179054007523122,"sim--1939888376.msf",103121,111,0.99999,9001,10,"100 200000","true"," DASMC"
"55","ANNEALING","ANNEALING FALSE",0,5096,100,0,"KuhnerFelsenstein",0.0046661862559012,"sim--1939888376.msf",103121,111,0.99999,9001,10,"100 200000","true"," DASMC"
"56","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"ConsensusLogLL",-3899.7485446106,"sim--1939888376.msf",140931,111,0.99999,9001,10,"100 200000","true","CSMC-Nonclock"
"58","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"PartitionMetric",4,"sim--1939888376.msf",140931,111,0.99999,9001,10,"100 200000","true","CSMC-Nonclock"
"59","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"RobinsonFouldsMetric",0.461879746735627,"sim--1939888376.msf",140931,111,0.99999,9001,10,"100 200000","true","CSMC-Nonclock"
"60","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"KuhnerFelsenstein",0.0267127990328492,"sim--1939888376.msf",140931,111,0.99999,9001,10,"100 200000","true","CSMC-Nonclock"
"61","ANNEALING","ANNEALING TRUE",0,4912,100,0,"ConsensusLogLL",-3274.96816244754,"sim--2134957723.msf",145269,111,0.99999,9001,10,"100 200000","true"," ASMC"
"63","ANNEALING","ANNEALING TRUE",0,4912,100,0,"PartitionMetric",2,"sim--2134957723.msf",145269,111,0.99999,9001,10,"100 200000","true"," ASMC"
"64","ANNEALING","ANNEALING TRUE",0,4912,100,0,"RobinsonFouldsMetric",0.171088255807372,"sim--2134957723.msf",145269,111,0.99999,9001,10,"100 200000","true"," ASMC"
"65","ANNEALING","ANNEALING TRUE",0,4912,100,0,"KuhnerFelsenstein",0.0030544810021895,"sim--2134957723.msf",145269,111,0.99999,9001,10,"100 200000","true"," ASMC"
"66","ANNEALING","ANNEALING FALSE",0,4912,100,0,"ConsensusLogLL",-3275.26346945048,"sim--2134957723.msf",156762,111,0.99999,9001,10,"100 200000","true"," DASMC"
"68","ANNEALING","ANNEALING FALSE",0,4912,100,0,"PartitionMetric",2,"sim--2134957723.msf",156762,111,0.99999,9001,10,"100 200000","true"," DASMC"
"69","ANNEALING","ANNEALING FALSE",0,4912,100,0,"RobinsonFouldsMetric",0.189848255807372,"sim--2134957723.msf",156762,111,0.99999,9001,10,"100 200000","true"," DASMC"
"70","ANNEALING","ANNEALING FALSE",0,4912,100,0,"KuhnerFelsenstein",0.0033352551943015,"sim--2134957723.msf",156762,111,0.99999,9001,10,"100 200000","true"," DASMC"
