"","X.Method","Adaptive","AdaptiveType","T","IterScale","Repeat","Metric","Value","TreeName","Time","SMCSamplerExperiments.mainRand","SMCSamplerExperiments.alphaSMCSampler","gen.rand","gen.treeRate","SMCSamplerExperiments.iterScalings","gen.useNonclock","Method"
"1","ANNEALING","ANNEALING TRUE",0,5117,100,0,"ConsensusLogLL",-1941.72026972669,"sim--1097876307.msf",341909,111,0.99999,1001,10,"100 200000","true"," ASMC"
"3","ANNEALING","ANNEALING TRUE",0,5117,100,0,"PartitionMetric",2,"sim--1097876307.msf",341909,111,0.99999,1001,10,"100 200000","true"," ASMC"
"4","ANNEALING","ANNEALING TRUE",0,5117,100,0,"RobinsonFouldsMetric",0.122015453838938,"sim--1097876307.msf",341909,111,0.99999,1001,10,"100 200000","true"," ASMC"
"5","ANNEALING","ANNEALING TRUE",0,5117,100,0,"KuhnerFelsenstein",0.00112955409865617,"sim--1097876307.msf",341909,111,0.99999,1001,10,"100 200000","true"," ASMC"
"6","ANNEALING","ANNEALING FALSE",0,5117,100,0,"ConsensusLogLL",-1941.85197076786,"sim--1097876307.msf",137331,111,0.99999,1001,10,"100 200000","true"," DASMC"
"8","ANNEALING","ANNEALING FALSE",0,5117,100,0,"PartitionMetric",2,"sim--1097876307.msf",137331,111,0.99999,1001,10,"100 200000","true"," DASMC"
"9","ANNEALING","ANNEALING FALSE",0,5117,100,0,"RobinsonFouldsMetric",0.126592991572232,"sim--1097876307.msf",137331,111,0.99999,1001,10,"100 200000","true"," DASMC"
"10","ANNEALING","ANNEALING FALSE",0,5117,100,0,"KuhnerFelsenstein",0.00125916516190141,"sim--1097876307.msf",137331,111,0.99999,1001,10,"100 200000","true"," DASMC"
"11","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"ConsensusLogLL",-1943.88586649656,"sim--1097876307.msf",177431,111,0.99999,1001,10,"100 200000","true","CSMC-Nonclock"
"13","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"PartitionMetric",0,"sim--1097876307.msf",177431,111,0.99999,1001,10,"100 200000","true","CSMC-Nonclock"
"14","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"RobinsonFouldsMetric",0.102832991572232,"sim--1097876307.msf",177431,111,0.99999,1001,10,"100 200000","true","CSMC-Nonclock"
"15","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"KuhnerFelsenstein",0.000820344988792619,"sim--1097876307.msf",177431,111,0.99999,1001,10,"100 200000","true","CSMC-Nonclock"
"16","ANNEALING","ANNEALING TRUE",0,4747,100,0,"ConsensusLogLL",-1360.76498781787,"sim--1290527867.msf",234066,111,0.99999,1001,10,"100 200000","true"," ASMC"
"18","ANNEALING","ANNEALING TRUE",0,4747,100,0,"PartitionMetric",2,"sim--1290527867.msf",234066,111,0.99999,1001,10,"100 200000","true"," ASMC"
"19","ANNEALING","ANNEALING TRUE",0,4747,100,0,"RobinsonFouldsMetric",0.0621663632062604,"sim--1290527867.msf",234066,111,0.99999,1001,10,"100 200000","true"," ASMC"
"20","ANNEALING","ANNEALING TRUE",0,4747,100,0,"KuhnerFelsenstein",0.000451184130538161,"sim--1290527867.msf",234066,111,0.99999,1001,10,"100 200000","true"," ASMC"
"21","ANNEALING","ANNEALING FALSE",0,4747,100,0,"ConsensusLogLL",-1360.59463350497,"sim--1290527867.msf",273456,111,0.99999,1001,10,"100 200000","true"," DASMC"
"23","ANNEALING","ANNEALING FALSE",0,4747,100,0,"PartitionMetric",0,"sim--1290527867.msf",273456,111,0.99999,1001,10,"100 200000","true"," DASMC"
"24","ANNEALING","ANNEALING FALSE",0,4747,100,0,"RobinsonFouldsMetric",0.0640831217596942,"sim--1290527867.msf",273456,111,0.99999,1001,10,"100 200000","true"," DASMC"
"25","ANNEALING","ANNEALING FALSE",0,4747,100,0,"KuhnerFelsenstein",0.000445530977812879,"sim--1290527867.msf",273456,111,0.99999,1001,10,"100 200000","true"," DASMC"
"26","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"ConsensusLogLL",-1361.51040490123,"sim--1290527867.msf",167982,111,0.99999,1001,10,"100 200000","true","CSMC-Nonclock"
"28","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"PartitionMetric",2,"sim--1290527867.msf",167982,111,0.99999,1001,10,"100 200000","true","CSMC-Nonclock"
"29","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"RobinsonFouldsMetric",0.0645603376527395,"sim--1290527867.msf",167982,111,0.99999,1001,10,"100 200000","true","CSMC-Nonclock"
"30","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"KuhnerFelsenstein",0.000446835063608408,"sim--1290527867.msf",167982,111,0.99999,1001,10,"100 200000","true","CSMC-Nonclock"
"31","ANNEALING","ANNEALING TRUE",0,4816,100,0,"ConsensusLogLL",-1841.17349979604,"sim-1407959047.msf",109982,111,0.99999,1001,10,"100 200000","true"," ASMC"
"33","ANNEALING","ANNEALING TRUE",0,4816,100,0,"PartitionMetric",2,"sim-1407959047.msf",109982,111,0.99999,1001,10,"100 200000","true"," ASMC"
"34","ANNEALING","ANNEALING TRUE",0,4816,100,0,"RobinsonFouldsMetric",0.0924298069666429,"sim-1407959047.msf",109982,111,0.99999,1001,10,"100 200000","true"," ASMC"
"35","ANNEALING","ANNEALING TRUE",0,4816,100,0,"KuhnerFelsenstein",0.000771272609983272,"sim-1407959047.msf",109982,111,0.99999,1001,10,"100 200000","true"," ASMC"
"36","ANNEALING","ANNEALING FALSE",0,4816,100,0,"ConsensusLogLL",-1841.59947550346,"sim-1407959047.msf",203482,111,0.99999,1001,10,"100 200000","true"," DASMC"
"38","ANNEALING","ANNEALING FALSE",0,4816,100,0,"PartitionMetric",2,"sim-1407959047.msf",203482,111,0.99999,1001,10,"100 200000","true"," DASMC"
"39","ANNEALING","ANNEALING FALSE",0,4816,100,0,"RobinsonFouldsMetric",0.0797924995233068,"sim-1407959047.msf",203482,111,0.99999,1001,10,"100 200000","true"," DASMC"
"40","ANNEALING","ANNEALING FALSE",0,4816,100,0,"KuhnerFelsenstein",0.000652285590256172,"sim-1407959047.msf",203482,111,0.99999,1001,10,"100 200000","true"," DASMC"
"41","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"ConsensusLogLL",-1841.52364977181,"sim-1407959047.msf",207070,111,0.99999,1001,10,"100 200000","true","CSMC-Nonclock"
"43","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"PartitionMetric",0,"sim-1407959047.msf",207070,111,0.99999,1001,10,"100 200000","true","CSMC-Nonclock"
"44","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"RobinsonFouldsMetric",0.0927276769135032,"sim-1407959047.msf",207070,111,0.99999,1001,10,"100 200000","true","CSMC-Nonclock"
"45","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"KuhnerFelsenstein",0.000902032272039077,"sim-1407959047.msf",207070,111,0.99999,1001,10,"100 200000","true","CSMC-Nonclock"
"46","ANNEALING","ANNEALING TRUE",0,5079,100,0,"ConsensusLogLL",-2068.47215738614,"sim--1601328191.msf",237820,222,0.99999,7001,10,"100 200000","true"," ASMC"
"48","ANNEALING","ANNEALING TRUE",0,5079,100,0,"PartitionMetric",0,"sim--1601328191.msf",237820,222,0.99999,7001,10,"100 200000","true"," ASMC"
"49","ANNEALING","ANNEALING TRUE",0,5079,100,0,"RobinsonFouldsMetric",0.129277523050788,"sim--1601328191.msf",237820,222,0.99999,7001,10,"100 200000","true"," ASMC"
"50","ANNEALING","ANNEALING TRUE",0,5079,100,0,"KuhnerFelsenstein",0.00224888975509813,"sim--1601328191.msf",237820,222,0.99999,7001,10,"100 200000","true"," ASMC"
"51","ANNEALING","ANNEALING FALSE",0,5079,100,0,"ConsensusLogLL",-2068.60454206244,"sim--1601328191.msf",287536,222,0.99999,7001,10,"100 200000","true"," DASMC"
"53","ANNEALING","ANNEALING FALSE",0,5079,100,0,"PartitionMetric",0,"sim--1601328191.msf",287536,222,0.99999,7001,10,"100 200000","true"," DASMC"
"54","ANNEALING","ANNEALING FALSE",0,5079,100,0,"RobinsonFouldsMetric",0.137874489418456,"sim--1601328191.msf",287536,222,0.99999,7001,10,"100 200000","true"," DASMC"
"55","ANNEALING","ANNEALING FALSE",0,5079,100,0,"KuhnerFelsenstein",0.00240110819591436,"sim--1601328191.msf",287536,222,0.99999,7001,10,"100 200000","true"," DASMC"
"56","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"ConsensusLogLL",-2069.04146915972,"sim--1601328191.msf",156808,222,0.99999,7001,10,"100 200000","true","CSMC-Nonclock"
"58","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"PartitionMetric",0,"sim--1601328191.msf",156808,222,0.99999,7001,10,"100 200000","true","CSMC-Nonclock"
"59","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"RobinsonFouldsMetric",0.137367645263322,"sim--1601328191.msf",156808,222,0.99999,7001,10,"100 200000","true","CSMC-Nonclock"
"60","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"KuhnerFelsenstein",0.0022532700903175,"sim--1601328191.msf",156808,222,0.99999,7001,10,"100 200000","true","CSMC-Nonclock"
"61","ANNEALING","ANNEALING TRUE",0,4871,100,0,"ConsensusLogLL",-1918.02948065701,"sim--1928626229.msf",288685,222,0.99999,7001,10,"100 200000","true"," ASMC"
"63","ANNEALING","ANNEALING TRUE",0,4871,100,0,"PartitionMetric",0,"sim--1928626229.msf",288685,222,0.99999,7001,10,"100 200000","true"," ASMC"
"64","ANNEALING","ANNEALING TRUE",0,4871,100,0,"RobinsonFouldsMetric",0.104073891115381,"sim--1928626229.msf",288685,222,0.99999,7001,10,"100 200000","true"," ASMC"
"65","ANNEALING","ANNEALING TRUE",0,4871,100,0,"KuhnerFelsenstein",0.00109901476247313,"sim--1928626229.msf",288685,222,0.99999,7001,10,"100 200000","true"," ASMC"
"66","ANNEALING","ANNEALING FALSE",0,4871,100,0,"ConsensusLogLL",-1918.28165659773,"sim--1928626229.msf",147548,222,0.99999,7001,10,"100 200000","true"," DASMC"
"68","ANNEALING","ANNEALING FALSE",0,4871,100,0,"PartitionMetric",0,"sim--1928626229.msf",147548,222,0.99999,7001,10,"100 200000","true"," DASMC"
"69","ANNEALING","ANNEALING FALSE",0,4871,100,0,"RobinsonFouldsMetric",0.0958038911153806,"sim--1928626229.msf",147548,222,0.99999,7001,10,"100 200000","true"," DASMC"
"70","ANNEALING","ANNEALING FALSE",0,4871,100,0,"KuhnerFelsenstein",0.00093673540695739,"sim--1928626229.msf",147548,222,0.99999,7001,10,"100 200000","true"," DASMC"
"71","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"ConsensusLogLL",-1927.85587876642,"sim--1928626229.msf",204937,222,0.99999,7001,10,"100 200000","true","CSMC-Nonclock"
"73","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"PartitionMetric",4,"sim--1928626229.msf",204937,222,0.99999,7001,10,"100 200000","true","CSMC-Nonclock"
"74","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"RobinsonFouldsMetric",0.136919763864294,"sim--1928626229.msf",204937,222,0.99999,7001,10,"100 200000","true","CSMC-Nonclock"
"75","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"KuhnerFelsenstein",0.00166689880322866,"sim--1928626229.msf",204937,222,0.99999,7001,10,"100 200000","true","CSMC-Nonclock"
"76","ANNEALING","ANNEALING TRUE",0,5305,100,0,"ConsensusLogLL",-2324.87083639149,"sim-1659456014.msf",177216,222,0.99999,7001,10,"100 200000","true"," ASMC"
"78","ANNEALING","ANNEALING TRUE",0,5305,100,0,"PartitionMetric",0,"sim-1659456014.msf",177216,222,0.99999,7001,10,"100 200000","true"," ASMC"
"79","ANNEALING","ANNEALING TRUE",0,5305,100,0,"RobinsonFouldsMetric",0.16875528337035,"sim-1659456014.msf",177216,222,0.99999,7001,10,"100 200000","true"," ASMC"
"80","ANNEALING","ANNEALING TRUE",0,5305,100,0,"KuhnerFelsenstein",0.00371437643174801,"sim-1659456014.msf",177216,222,0.99999,7001,10,"100 200000","true"," ASMC"
"81","ANNEALING","ANNEALING FALSE",0,5305,100,0,"ConsensusLogLL",-2324.71729434516,"sim-1659456014.msf",314356,222,0.99999,7001,10,"100 200000","true"," DASMC"
"83","ANNEALING","ANNEALING FALSE",0,5305,100,0,"PartitionMetric",0,"sim-1659456014.msf",314356,222,0.99999,7001,10,"100 200000","true"," DASMC"
"84","ANNEALING","ANNEALING FALSE",0,5305,100,0,"RobinsonFouldsMetric",0.190181216960342,"sim-1659456014.msf",314356,222,0.99999,7001,10,"100 200000","true"," DASMC"
"85","ANNEALING","ANNEALING FALSE",0,5305,100,0,"KuhnerFelsenstein",0.00435654432892448,"sim-1659456014.msf",314356,222,0.99999,7001,10,"100 200000","true"," DASMC"
"86","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"ConsensusLogLL",-2325.23026409821,"sim-1659456014.msf",142955,222,0.99999,7001,10,"100 200000","true","CSMC-Nonclock"
"88","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"PartitionMetric",0,"sim-1659456014.msf",142955,222,0.99999,7001,10,"100 200000","true","CSMC-Nonclock"
"89","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"RobinsonFouldsMetric",0.191205305371815,"sim-1659456014.msf",142955,222,0.99999,7001,10,"100 200000","true","CSMC-Nonclock"
"90","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"KuhnerFelsenstein",0.00443001415657676,"sim-1659456014.msf",142955,222,0.99999,7001,10,"100 200000","true","CSMC-Nonclock"
"91","ANNEALING","ANNEALING TRUE",0,5199,100,0,"ConsensusLogLL",-1941.52952802208,"sim--1097876307.msf",190564,333,0.99999,1001,10,"100 200000","true"," ASMC"
"93","ANNEALING","ANNEALING TRUE",0,5199,100,0,"PartitionMetric",2,"sim--1097876307.msf",190564,333,0.99999,1001,10,"100 200000","true"," ASMC"
"94","ANNEALING","ANNEALING TRUE",0,5199,100,0,"RobinsonFouldsMetric",0.123762991572232,"sim--1097876307.msf",190564,333,0.99999,1001,10,"100 200000","true"," ASMC"
"95","ANNEALING","ANNEALING TRUE",0,5199,100,0,"KuhnerFelsenstein",0.00109028713642936,"sim--1097876307.msf",190564,333,0.99999,1001,10,"100 200000","true"," ASMC"
"96","ANNEALING","ANNEALING FALSE",0,5199,100,0,"ConsensusLogLL",-1941.8577244365,"sim--1097876307.msf",138270,333,0.99999,1001,10,"100 200000","true"," DASMC"
"98","ANNEALING","ANNEALING FALSE",0,5199,100,0,"PartitionMetric",2,"sim--1097876307.msf",138270,333,0.99999,1001,10,"100 200000","true"," DASMC"
"99","ANNEALING","ANNEALING FALSE",0,5199,100,0,"RobinsonFouldsMetric",0.125422991572232,"sim--1097876307.msf",138270,333,0.99999,1001,10,"100 200000","true"," DASMC"
"100","ANNEALING","ANNEALING FALSE",0,5199,100,0,"KuhnerFelsenstein",0.00110439325098279,"sim--1097876307.msf",138270,333,0.99999,1001,10,"100 200000","true"," DASMC"
