"","X.Method","Adaptive","AdaptiveType","T","IterScale","Repeat","Metric","Value","TreeName","Time","SMCSamplerExperiments.mainRand","SMCSamplerExperiments.alphaSMCSampler","gen.rand","gen.treeRate","SMCSamplerExperiments.iterScalings","gen.useNonclock","Method"
"1","ANNEALING","ANNEALING TRUE",0,4716,100,0,"ConsensusLogLL",-1466.81414142199,"sim--1196897566.msf",78598,222,0.99999,7001,10,"100 200000","false"," ASMC"
"3","ANNEALING","ANNEALING TRUE",0,4716,100,0,"PartitionMetric",0,"sim--1196897566.msf",78598,222,0.99999,7001,10,"100 200000","false"," ASMC"
"4","ANNEALING","ANNEALING TRUE",0,4716,100,0,"RobinsonFouldsMetric",0.0966898622548067,"sim--1196897566.msf",78598,222,0.99999,7001,10,"100 200000","false"," ASMC"
"5","ANNEALING","ANNEALING TRUE",0,4716,100,0,"KuhnerFelsenstein",0.00105329124549584,"sim--1196897566.msf",78598,222,0.99999,7001,10,"100 200000","false"," ASMC"
"6","ANNEALING","ANNEALING FALSE",0,4716,100,0,"ConsensusLogLL",-1466.90631095891,"sim--1196897566.msf",130146,222,0.99999,7001,10,"100 200000","false"," DASMC"
"8","ANNEALING","ANNEALING FALSE",0,4716,100,0,"PartitionMetric",0,"sim--1196897566.msf",130146,222,0.99999,7001,10,"100 200000","false"," DASMC"
"9","ANNEALING","ANNEALING FALSE",0,4716,100,0,"RobinsonFouldsMetric",0.0915322035496035,"sim--1196897566.msf",130146,222,0.99999,7001,10,"100 200000","false"," DASMC"
"10","ANNEALING","ANNEALING FALSE",0,4716,100,0,"KuhnerFelsenstein",0.00105177785512837,"sim--1196897566.msf",130146,222,0.99999,7001,10,"100 200000","false"," DASMC"
"11","CSMC","CSMC NA",NA,NA,2e+05,0,"ConsensusLogLL",-1472.94481460023,"sim--1196897566.msf",373722,222,0.99999,7001,10,"100 200000","false","CSMC-Clock"
"13","CSMC","CSMC NA",NA,NA,2e+05,0,"PartitionMetric",0,"sim--1196897566.msf",373722,222,0.99999,7001,10,"100 200000","false","CSMC-Clock"
"14","CSMC","CSMC NA",NA,NA,2e+05,0,"RobinsonFouldsMetric",0.0799944319277345,"sim--1196897566.msf",373722,222,0.99999,7001,10,"100 200000","false","CSMC-Clock"
"15","CSMC","CSMC NA",NA,NA,2e+05,0,"KuhnerFelsenstein",0.00056195413041886,"sim--1196897566.msf",373722,222,0.99999,7001,10,"100 200000","false","CSMC-Clock"
"16","ANNEALING","ANNEALING TRUE",0,5181,100,0,"ConsensusLogLL",-1957.73742507301,"sim--1601328191.msf",186761,222,0.99999,7001,10,"100 200000","false"," ASMC"
"18","ANNEALING","ANNEALING TRUE",0,5181,100,0,"PartitionMetric",0,"sim--1601328191.msf",186761,222,0.99999,7001,10,"100 200000","false"," ASMC"
"19","ANNEALING","ANNEALING TRUE",0,5181,100,0,"RobinsonFouldsMetric",0.110576161402622,"sim--1601328191.msf",186761,222,0.99999,7001,10,"100 200000","false"," ASMC"
"20","ANNEALING","ANNEALING TRUE",0,5181,100,0,"KuhnerFelsenstein",0.00106436842694539,"sim--1601328191.msf",186761,222,0.99999,7001,10,"100 200000","false"," ASMC"
"21","ANNEALING","ANNEALING FALSE",0,5181,100,0,"ConsensusLogLL",-1957.12520039309,"sim--1601328191.msf",68590,222,0.99999,7001,10,"100 200000","false"," DASMC"
"23","ANNEALING","ANNEALING FALSE",0,5181,100,0,"PartitionMetric",0,"sim--1601328191.msf",68590,222,0.99999,7001,10,"100 200000","false"," DASMC"
"24","ANNEALING","ANNEALING FALSE",0,5181,100,0,"RobinsonFouldsMetric",0.105022279966328,"sim--1601328191.msf",68590,222,0.99999,7001,10,"100 200000","false"," DASMC"
"25","ANNEALING","ANNEALING FALSE",0,5181,100,0,"KuhnerFelsenstein",0.00104732250725636,"sim--1601328191.msf",68590,222,0.99999,7001,10,"100 200000","false"," DASMC"
"26","CSMC","CSMC NA",NA,NA,2e+05,0,"ConsensusLogLL",-1958.07386743849,"sim--1601328191.msf",408113,222,0.99999,7001,10,"100 200000","false","CSMC-Clock"
"28","CSMC","CSMC NA",NA,NA,2e+05,0,"PartitionMetric",0,"sim--1601328191.msf",408113,222,0.99999,7001,10,"100 200000","false","CSMC-Clock"
"29","CSMC","CSMC NA",NA,NA,2e+05,0,"RobinsonFouldsMetric",0.0686786458221318,"sim--1601328191.msf",408113,222,0.99999,7001,10,"100 200000","false","CSMC-Clock"
"30","CSMC","CSMC NA",NA,NA,2e+05,0,"KuhnerFelsenstein",0.000631485850859516,"sim--1601328191.msf",408113,222,0.99999,7001,10,"100 200000","false","CSMC-Clock"
"31","ANNEALING","ANNEALING TRUE",0,4939,100,0,"ConsensusLogLL",-1385.00308078894,"sim-1574218767.msf",86962,222,0.99999,7001,10,"100 200000","false"," ASMC"
"33","ANNEALING","ANNEALING TRUE",0,4939,100,0,"PartitionMetric",10,"sim-1574218767.msf",86962,222,0.99999,7001,10,"100 200000","false"," ASMC"
"34","ANNEALING","ANNEALING TRUE",0,4939,100,0,"RobinsonFouldsMetric",0.057944388143856,"sim-1574218767.msf",86962,222,0.99999,7001,10,"100 200000","false"," ASMC"
"35","ANNEALING","ANNEALING TRUE",0,4939,100,0,"KuhnerFelsenstein",0.00036815414838003,"sim-1574218767.msf",86962,222,0.99999,7001,10,"100 200000","false"," ASMC"
"36","ANNEALING","ANNEALING FALSE",0,4939,100,0,"ConsensusLogLL",-1385.69885547806,"sim-1574218767.msf",70200,222,0.99999,7001,10,"100 200000","false"," DASMC"
"38","ANNEALING","ANNEALING FALSE",0,4939,100,0,"PartitionMetric",10,"sim-1574218767.msf",70200,222,0.99999,7001,10,"100 200000","false"," DASMC"
"39","ANNEALING","ANNEALING FALSE",0,4939,100,0,"RobinsonFouldsMetric",0.0630834489539754,"sim-1574218767.msf",70200,222,0.99999,7001,10,"100 200000","false"," DASMC"
"40","ANNEALING","ANNEALING FALSE",0,4939,100,0,"KuhnerFelsenstein",0.000395442742796363,"sim-1574218767.msf",70200,222,0.99999,7001,10,"100 200000","false"," DASMC"
"41","CSMC","CSMC NA",NA,NA,2e+05,0,"ConsensusLogLL",-1388.29470065308,"sim-1574218767.msf",410885,222,0.99999,7001,10,"100 200000","false","CSMC-Clock"
"43","CSMC","CSMC NA",NA,NA,2e+05,0,"PartitionMetric",6,"sim-1574218767.msf",410885,222,0.99999,7001,10,"100 200000","false","CSMC-Clock"
"44","CSMC","CSMC NA",NA,NA,2e+05,0,"RobinsonFouldsMetric",0.0369194454911964,"sim-1574218767.msf",410885,222,0.99999,7001,10,"100 200000","false","CSMC-Clock"
"45","CSMC","CSMC NA",NA,NA,2e+05,0,"KuhnerFelsenstein",0.000124994046038777,"sim-1574218767.msf",410885,222,0.99999,7001,10,"100 200000","false","CSMC-Clock"
"46","ANNEALING","ANNEALING TRUE",0,4935,100,0,"ConsensusLogLL",-1493.28384752276,"sim--1138139450.msf",338585,111,0.99999,2001,10,"100 200000","false"," ASMC"
"48","ANNEALING","ANNEALING TRUE",0,4935,100,0,"PartitionMetric",0,"sim--1138139450.msf",338585,111,0.99999,2001,10,"100 200000","false"," ASMC"
"49","ANNEALING","ANNEALING TRUE",0,4935,100,0,"RobinsonFouldsMetric",0.0497534166599265,"sim--1138139450.msf",338585,111,0.99999,2001,10,"100 200000","false"," ASMC"
"50","ANNEALING","ANNEALING TRUE",0,4935,100,0,"KuhnerFelsenstein",0.000233961097197212,"sim--1138139450.msf",338585,111,0.99999,2001,10,"100 200000","false"," ASMC"
"51","ANNEALING","ANNEALING FALSE",0,4935,100,0,"ConsensusLogLL",-1493.16008843705,"sim--1138139450.msf",233365,111,0.99999,2001,10,"100 200000","false"," DASMC"
