"","#treeName","Method","logZ","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"1","sim--1814680554.msf.Rep0","ANNEALINGEvolK2P",-6728.71511532303,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"2","sim--1814680554.msf.Rep0","SSEvolK2P",-6718.78157823014,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"3","sim--1814680554.msf.Rep0","ANNEALINGJC",-6720.5173637647,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"4","sim--1814680554.msf.Rep0","SSJC",-6718.36113811907,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"5","sim--1814680554.msf.Rep0","ANNEALINGEvolGTR",-6451.2394720482,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"6","sim--1814680554.msf.Rep0","SSEvolGTR",-6464.81895434963,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"7","sim--1814680554.msf.Rep0","ANNEALINGEvolK2P",-6734.43761361589,22,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"8","sim--1814680554.msf.Rep0","SSEvolK2P",-6723.85346999015,22,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"9","sim--1814680554.msf.Rep0","ANNEALINGJC",-6721.81546568378,22,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"10","sim--1814680554.msf.Rep0","SSJC",-6718.84221722767,22,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"11","sim--1814680554.msf.Rep0","ANNEALINGEvolGTR",-6454.97532221878,22,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"12","sim--1814680554.msf.Rep0","SSEvolGTR",-6455.40008351098,22,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"13","sim--1037831270.msf.Rep0","ANNEALINGEvolK2P",-7485.89498949188,22,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"14","sim--1037831270.msf.Rep0","SSEvolK2P",-7477.99703185728,22,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"15","sim--1037831270.msf.Rep0","ANNEALINGJC",-7486.05313240276,22,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
