"","#Method","Adaptive","AdaptiveType","T","IterScale","Repeat","Metric","Value","TreeName","Time","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"1","ANNEALINGEvolK2P",TRUE,0,620,500,0,"ConsensusLogLL",-6754.59036462509,"sim--1814680554.msf",669677,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"2","ANNEALINGEvolK2P",TRUE,0,620,500,0,"BestSampledLogLL",-6662.79490515058,"sim--1814680554.msf",669677,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"3","ANNEALINGEvolK2P",TRUE,0,620,500,0,"PartitionMetric",0,"sim--1814680554.msf",669677,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"4","ANNEALINGEvolK2P",TRUE,0,620,500,0,"RobinsonFouldsMetric",0.126545663678658,"sim--1814680554.msf",669677,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"5","ANNEALINGEvolK2P",TRUE,0,620,500,0,"KuhnerFelsenstein",0.00177948566967395,"sim--1814680554.msf",669677,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"6","SSEvolK2P",NA,NA,NA,310000,0,NA,NA,"sim--1814680554.msf",555622,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"7","ANNEALINGJC",TRUE,0,552,500,0,"ConsensusLogLL",-6664.69523518999,"sim--1814680554.msf",238679,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"8","ANNEALINGJC",TRUE,0,552,500,0,"BestSampledLogLL",-6669.07218067174,"sim--1814680554.msf",238679,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"9","ANNEALINGJC",TRUE,0,552,500,0,"PartitionMetric",0,"sim--1814680554.msf",238679,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"10","ANNEALINGJC",TRUE,0,552,500,0,"RobinsonFouldsMetric",0.166689794065727,"sim--1814680554.msf",238679,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"11","ANNEALINGJC",TRUE,0,552,500,0,"KuhnerFelsenstein",0.00278067624406559,"sim--1814680554.msf",238679,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"12","SSJC",NA,NA,NA,276000,0,NA,NA,"sim--1814680554.msf",242850,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"13","ANNEALINGEvolGTR",TRUE,0,683,500,0,"ConsensusLogLL",-6700.859202835,"sim--1814680554.msf",741430,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"14","ANNEALINGEvolGTR",TRUE,0,683,500,0,"BestSampledLogLL",-6375.97443788176,"sim--1814680554.msf",741430,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"15","ANNEALINGEvolGTR",TRUE,0,683,500,0,"PartitionMetric",0,"sim--1814680554.msf",741430,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"16","ANNEALINGEvolGTR",TRUE,0,683,500,0,"RobinsonFouldsMetric",0.132226748860508,"sim--1814680554.msf",741430,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"17","ANNEALINGEvolGTR",TRUE,0,683,500,0,"KuhnerFelsenstein",0.00196164259069402,"sim--1814680554.msf",741430,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"18","SSEvolGTR",NA,NA,NA,341500,0,NA,NA,"sim--1814680554.msf",681209,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"19","ANNEALINGEvolK2P",TRUE,0,624,500,0,"ConsensusLogLL",-6690.4797398749,"sim--1814680554.msf",676373,44,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
