"","#treeName","Method","logZ","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"1","sim--1814680554.msf.Rep0","ANNEALINGEvolK2P",-3232.37123707844,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"2","sim--1814680554.msf.Rep0","SSEvolK2P",-3235.21548247829,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"3","sim--1814680554.msf.Rep0","ANNEALINGJC",-3228.21225010759,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"4","sim--1814680554.msf.Rep0","SSJC",-3228.88777467474,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"5","sim--1814680554.msf.Rep0","ANNEALINGEvolGTR",-3116.16510911527,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"6","sim--1814680554.msf.Rep0","SSEvolGTR",-3124.86032411777,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"7","sim--1037831270.msf.Rep0","ANNEALINGEvolK2P",-3851.22955869554,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"8","sim--1037831270.msf.Rep0","SSEvolK2P",-3856.70132608898,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"9","sim--1037831270.msf.Rep0","ANNEALINGJC",-3863.65529626286,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"10","sim--1037831270.msf.Rep0","SSJC",-3863.3075805007,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"11","sim--1037831270.msf.Rep0","ANNEALINGEvolGTR",-3842.70145036358,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"12","sim--1037831270.msf.Rep0","SSEvolGTR",-3850.47333905714,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"13","sim--1361242449.msf.Rep0","ANNEALINGEvolK2P",-4121.19403470851,111,0.9999,500,10,310,10,"1000 100000 1000 100000 1000 100000"
"14","sim--1361242449.msf.Rep0","SSEvolK2P",-4127.79448440374,111,0.9999,500,10,310,10,"1000 100000 1000 100000 1000 100000"
"15","sim--1361242449.msf.Rep0","ANNEALINGJC",-4115.31928786388,111,0.9999,500,10,310,10,"1000 100000 1000 100000 1000 100000"
"16","sim--1361242449.msf.Rep0","SSJC",-4115.9159693039,111,0.9999,500,10,310,10,"1000 100000 1000 100000 1000 100000"
"17","sim--1361242449.msf.Rep0","ANNEALINGEvolGTR",-4060.14134383742,111,0.9999,500,10,310,10,"1000 100000 1000 100000 1000 100000"
"18","sim--1361242449.msf.Rep0","SSEvolGTR",-4068.35145620304,111,0.9999,500,10,310,10,"1000 100000 1000 100000 1000 100000"
"19","sim--1684653628.msf.Rep0","ANNEALINGEvolK2P",-3881.27479557465,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"20","sim--1684653628.msf.Rep0","SSEvolK2P",-3882.96473497419,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"21","sim--1684653628.msf.Rep0","ANNEALINGJC",-3875.00409169332,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"22","sim--1684653628.msf.Rep0","SSJC",-3875.86300967332,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"23","sim--1684653628.msf.Rep0","ANNEALINGEvolGTR",-3848.63008927473,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"24","sim--1684653628.msf.Rep0","SSEvolGTR",-3863.94097700245,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"25","sim--669109106.msf.Rep0","ANNEALINGEvolK2P",-3044.21218369736,111,0.9999,500,10,319,10,"1000 100000 1000 100000 1000 100000"
"26","sim--669109106.msf.Rep0","SSEvolK2P",-3049.80911315658,111,0.9999,500,10,319,10,"1000 100000 1000 100000 1000 100000"
"27","sim--669109106.msf.Rep0","ANNEALINGJC",-3047.14425477034,111,0.9999,500,10,319,10,"1000 100000 1000 100000 1000 100000"
"28","sim--669109106.msf.Rep0","SSJC",-3047.7169875498,111,0.9999,500,10,319,10,"1000 100000 1000 100000 1000 100000"
"29","sim--669109106.msf.Rep0","ANNEALINGEvolGTR",-3043.26356664558,111,0.9999,500,10,319,10,"1000 100000 1000 100000 1000 100000"
"30","sim--669109106.msf.Rep0","SSEvolGTR",-3052.20964940688,111,0.9999,500,10,319,10,"1000 100000 1000 100000 1000 100000"
"31","sim-1316668952.msf.Rep0","ANNEALINGEvolK2P",-3261.92074924155,111,0.9999,500,10,316,10,"1000 100000 1000 100000 1000 100000"
"32","sim-1316668952.msf.Rep0","SSEvolK2P",-3261.98559412674,111,0.9999,500,10,316,10,"1000 100000 1000 100000 1000 100000"
"33","sim-1316668952.msf.Rep0","ANNEALINGJC",-3258.75475240741,111,0.9999,500,10,316,10,"1000 100000 1000 100000 1000 100000"
"34","sim-1316668952.msf.Rep0","SSJC",-3258.71095765604,111,0.9999,500,10,316,10,"1000 100000 1000 100000 1000 100000"
"35","sim-1316668952.msf.Rep0","ANNEALINGEvolGTR",-3255.36514570593,111,0.9999,500,10,316,10,"1000 100000 1000 100000 1000 100000"
"36","sim-1316668952.msf.Rep0","SSEvolGTR",-3262.45535529648,111,0.9999,500,10,316,10,"1000 100000 1000 100000 1000 100000"
"37","sim--947209301.msf.Rep0","ANNEALINGEvolK2P",-3802.88388581944,111,0.9999,500,10,302,10,"1000 100000 1000 100000 1000 100000"
"38","sim--947209301.msf.Rep0","SSEvolK2P",-3802.81366327405,111,0.9999,500,10,302,10,"1000 100000 1000 100000 1000 100000"
"39","sim--947209301.msf.Rep0","ANNEALINGJC",-3796.86467864949,111,0.9999,500,10,302,10,"1000 100000 1000 100000 1000 100000"
"40","sim--947209301.msf.Rep0","SSJC",-3797.44648855091,111,0.9999,500,10,302,10,"1000 100000 1000 100000 1000 100000"
"41","sim--947209301.msf.Rep0","ANNEALINGEvolGTR",-3751.08997554661,111,0.9999,500,10,302,10,"1000 100000 1000 100000 1000 100000"
"42","sim--947209301.msf.Rep0","SSEvolGTR",-3758.68002637784,111,0.9999,500,10,302,10,"1000 100000 1000 100000 1000 100000"
"43","sim--992520285.msf.Rep0","ANNEALINGEvolK2P",-3984.02828207801,111,0.9999,500,10,317,10,"1000 100000 1000 100000 1000 100000"
"44","sim--992520285.msf.Rep0","SSEvolK2P",-3984.35872572409,111,0.9999,500,10,317,10,"1000 100000 1000 100000 1000 100000"
"45","sim--992520285.msf.Rep0","ANNEALINGJC",-3977.43154060251,111,0.9999,500,10,317,10,"1000 100000 1000 100000 1000 100000"
"46","sim--992520285.msf.Rep0","SSJC",-3978.32607967684,111,0.9999,500,10,317,10,"1000 100000 1000 100000 1000 100000"
"47","sim--992520285.msf.Rep0","ANNEALINGEvolGTR",-3964.46959505401,111,0.9999,500,10,317,10,"1000 100000 1000 100000 1000 100000"
"48","sim--992520285.msf.Rep0","SSEvolGTR",-3973.44564539211,111,0.9999,500,10,317,10,"1000 100000 1000 100000 1000 100000"
"49","sim-1271357968.msf.Rep0","ANNEALINGEvolK2P",-4002.83505435607,111,0.9999,500,10,307,10,"1000 100000 1000 100000 1000 100000"
"50","sim-1271357968.msf.Rep0","SSEvolK2P",-4004.51695422862,111,0.9999,500,10,307,10,"1000 100000 1000 100000 1000 100000"
"51","sim-1271357968.msf.Rep0","ANNEALINGJC",-3996.93615660452,111,0.9999,500,10,307,10,"1000 100000 1000 100000 1000 100000"
"52","sim-1271357968.msf.Rep0","SSJC",-3997.20016540707,111,0.9999,500,10,307,10,"1000 100000 1000 100000 1000 100000"
"53","sim-1271357968.msf.Rep0","ANNEALINGEvolGTR",-3934.99970735123,111,0.9999,500,10,307,10,"1000 100000 1000 100000 1000 100000"
"54","sim-1271357968.msf.Rep0","SSEvolGTR",-3942.99096179554,111,0.9999,500,10,307,10,"1000 100000 1000 100000 1000 100000"
