"","#Method","Adaptive","AdaptiveType","T","IterScale","Repeat","Metric","Value","TreeName","Time","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"1","ANNEALINGEvolK2P",TRUE,0,1684,1000,0,"ConsensusLogLL",-3222.7857514187,"sim--1814680554.msf",1727610,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"2","ANNEALINGEvolK2P",TRUE,0,1684,1000,0,"BestSampledLogLL",-3180.79409325853,"sim--1814680554.msf",1727610,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"3","ANNEALINGEvolK2P",TRUE,0,1684,1000,0,"PartitionMetric",0,"sim--1814680554.msf",1727610,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"4","ANNEALINGEvolK2P",TRUE,0,1684,1000,0,"RobinsonFouldsMetric",0.230705034842657,"sim--1814680554.msf",1727610,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"5","ANNEALINGEvolK2P",TRUE,0,1684,1000,0,"KuhnerFelsenstein",0.00589763300258585,"sim--1814680554.msf",1727610,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"6","SSEvolK2P",NA,NA,NA,1684000,0,NA,NA,"sim--1814680554.msf",1444225,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"7","ANNEALINGJC",TRUE,0,1562,1000,0,"ConsensusLogLL",-3181.07959618677,"sim--1814680554.msf",653039,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"8","ANNEALINGJC",TRUE,0,1562,1000,0,"BestSampledLogLL",-3183.529317268,"sim--1814680554.msf",653039,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"9","ANNEALINGJC",TRUE,0,1562,1000,0,"PartitionMetric",0,"sim--1814680554.msf",653039,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"10","ANNEALINGJC",TRUE,0,1562,1000,0,"RobinsonFouldsMetric",0.232775034842657,"sim--1814680554.msf",653039,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"11","ANNEALINGJC",TRUE,0,1562,1000,0,"KuhnerFelsenstein",0.00619795158336233,"sim--1814680554.msf",653039,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"12","SSJC",NA,NA,NA,1562000,0,NA,NA,"sim--1814680554.msf",629532,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"13","ANNEALINGEvolGTR",TRUE,0,2056,1000,0,"ConsensusLogLL",-3192.93763552238,"sim--1814680554.msf",2186417,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"14","ANNEALINGEvolGTR",TRUE,0,2056,1000,0,"BestSampledLogLL",-3047.11563754134,"sim--1814680554.msf",2186417,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"15","ANNEALINGEvolGTR",TRUE,0,2056,1000,0,"PartitionMetric",0,"sim--1814680554.msf",2186417,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"16","ANNEALINGEvolGTR",TRUE,0,2056,1000,0,"RobinsonFouldsMetric",0.206278946566788,"sim--1814680554.msf",2186417,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"17","ANNEALINGEvolGTR",TRUE,0,2056,1000,0,"KuhnerFelsenstein",0.00354067620768841,"sim--1814680554.msf",2186417,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"18","SSEvolGTR",NA,NA,NA,2056000,0,NA,NA,"sim--1814680554.msf",1921006,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"19","ANNEALINGEvolK2P",TRUE,0,1735,1000,0,"ConsensusLogLL",-3800.04912223031,"sim--1037831270.msf",1810850,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"20","ANNEALINGEvolK2P",TRUE,0,1735,1000,0,"BestSampledLogLL",-3798.12282096539,"sim--1037831270.msf",1810850,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"21","ANNEALINGEvolK2P",TRUE,0,1735,1000,0,"PartitionMetric",2,"sim--1037831270.msf",1810850,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"22","ANNEALINGEvolK2P",TRUE,0,1735,1000,0,"RobinsonFouldsMetric",0.253908096239652,"sim--1037831270.msf",1810850,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"23","ANNEALINGEvolK2P",TRUE,0,1735,1000,0,"KuhnerFelsenstein",0.0101235361668063,"sim--1037831270.msf",1810850,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
