"","treeName","modelByASMC","modelBySS"
"1","sim--1814680554.msf.Rep0","ANNEALINGEvolGTR","SSEvolGTR"
"2","sim--1037831270.msf.Rep0","ANNEALINGEvolGTR","SSEvolGTR"
"3","sim--1361242449.msf.Rep0","ANNEALINGEvolGTR","SSEvolGTR"
"4","sim--1684653628.msf.Rep0","ANNEALINGEvolGTR","SSEvolGTR"
"5","sim--669109106.msf.Rep0","ANNEALINGEvolGTR","SSJC"
"6","sim-1316668952.msf.Rep0","ANNEALINGEvolGTR","SSJC"
"7","sim--947209301.msf.Rep0","ANNEALINGEvolGTR","SSEvolGTR"
"8","sim--992520285.msf.Rep0","ANNEALINGEvolGTR","SSEvolGTR"
"9","sim-1271357968.msf.Rep0","ANNEALINGEvolGTR","SSEvolGTR"
"10","sim--209764974.msf.Rep0","ANNEALINGEvolGTR","SSEvolGTR"
"11","sim--345697927.msf.Rep0","ANNEALINGEvolGTR","SSEvolGTR"
"12","sim--714420091.msf.Rep0","ANNEALINGEvolGTR","SSJC"
"13","sim-1963491310.msf.Rep0","ANNEALINGEvolGTR","SSEvolGTR"
"14","sim-1640080131.msf.Rep0","ANNEALINGJC","SSJC"
"15","sim-1038568758.msf.Rep0","ANNEALINGEvolGTR","SSEvolGTR"
"16","sim-301124431.msf.Rep0","ANNEALINGEvolGTR","SSEvolGTR"
"17","sim--22286748.msf.Rep0","ANNEALINGEvolGTR","SSEvolGTR"
"18","sim-624535610.msf.Rep0","ANNEALINGEvolGTR","SSEvolGTR"
"19","sim-559442320.msf.Rep0","ANNEALINGEvolGTR","SSEvolGTR"
"20","sim-947946789.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
