"","#treeName","Method","logZ","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"1","sim--968354913.msf.Rep0","ANNEALINGEvolK2P",-737.09099563553,100,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"2","sim--968354913.msf.Rep0","SSEvolK2P",-738.005720752972,100,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"3","sim--968354913.msf.Rep0","ANNEALINGJC",-740.851794737882,100,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"4","sim--968354913.msf.Rep0","SSJC",-741.096951231227,100,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"5","sim--968354913.msf.Rep0","ANNEALINGEvolGTR",-736.545745398596,100,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"6","sim--968354913.msf.Rep0","SSEvolGTR",-740.606977835959,100,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"7","sim--968354913.msf.Rep0","ANNEALINGEvolK2P",-747.865993439807,77,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"8","sim--968354913.msf.Rep0","SSEvolK2P",-746.044288191151,77,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"9","sim--968354913.msf.Rep0","ANNEALINGJC",-745.790849598793,77,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"10","sim--968354913.msf.Rep0","SSJC",-745.84304433292,77,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"11","sim--968354913.msf.Rep0","ANNEALINGEvolGTR",-745.342866964055,77,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"12","sim--968354913.msf.Rep0","SSEvolGTR",-749.497298702563,77,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"13","sim--968354913.msf.Rep0","ANNEALINGEvolK2P",-753.449531724718,22,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"14","sim--968354913.msf.Rep0","SSEvolK2P",-752.926531468715,22,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"15","sim--968354913.msf.Rep0","ANNEALINGJC",-750.244134444775,22,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"16","sim--968354913.msf.Rep0","SSJC",-750.502681395841,22,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"17","sim--968354913.msf.Rep0","ANNEALINGEvolGTR",-747.206958775958,22,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"18","sim--968354913.msf.Rep0","SSEvolGTR",-750.529603323427,22,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"19","sim--968354913.msf.Rep0","ANNEALINGEvolK2P",-736.400173396912,44,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"20","sim--968354913.msf.Rep0","SSEvolK2P",-738.530500990772,44,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"21","sim--968354913.msf.Rep0","ANNEALINGJC",-738.290550476194,44,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"22","sim--968354913.msf.Rep0","SSJC",-738.401560184646,44,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"23","sim--968354913.msf.Rep0","ANNEALINGEvolGTR",-740.854843287866,44,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"24","sim--968354913.msf.Rep0","SSEvolGTR",-744.114596114068,44,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"25","sim--968354913.msf.Rep0","ANNEALINGEvolK2P",-732.242189920586,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"26","sim--968354913.msf.Rep0","SSEvolK2P",-732.790194736011,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"27","sim--968354913.msf.Rep0","ANNEALINGJC",-735.717791981579,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"28","sim--968354913.msf.Rep0","SSJC",-735.805311233799,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"29","sim--968354913.msf.Rep0","ANNEALINGEvolGTR",-728.984200564401,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"30","sim--968354913.msf.Rep0","SSEvolGTR",-733.090726744578,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"31","sim--968354913.msf.Rep0","ANNEALINGEvolK2P",-744.560478521173,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"32","sim--968354913.msf.Rep0","SSEvolK2P",-746.352816913615,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"33","sim--968354913.msf.Rep0","ANNEALINGJC",-743.783125218524,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"34","sim--968354913.msf.Rep0","SSJC",-744.245829365237,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"35","sim--968354913.msf.Rep0","ANNEALINGEvolGTR",-742.526120159234,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"36","sim--968354913.msf.Rep0","SSEvolGTR",-747.141235103935,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"37","sim--968354913.msf.Rep0","ANNEALINGEvolK2P",-738.773465131223,99,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"38","sim--968354913.msf.Rep0","SSEvolK2P",-738.442323102769,99,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"39","sim--968354913.msf.Rep0","ANNEALINGJC",-740.907329184341,99,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"40","sim--968354913.msf.Rep0","SSJC",-741.264386262723,99,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"41","sim--968354913.msf.Rep0","ANNEALINGEvolGTR",-736.924924607064,99,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"42","sim--968354913.msf.Rep0","SSEvolGTR",-741.016139598766,99,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"43","sim--968354913.msf.Rep0","ANNEALINGEvolK2P",-748.413055830185,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"44","sim--968354913.msf.Rep0","SSEvolK2P",-750.237285475958,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"45","sim--968354913.msf.Rep0","ANNEALINGJC",-747.828554008948,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"46","sim--968354913.msf.Rep0","SSJC",-748.030189152613,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"47","sim--968354913.msf.Rep0","ANNEALINGEvolGTR",-747.565275455672,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"48","sim--968354913.msf.Rep0","SSEvolGTR",-751.558355922095,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"49","sim--968354913.msf.Rep0","ANNEALINGEvolK2P",-655.439423893816,11,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"50","sim--968354913.msf.Rep0","SSEvolK2P",-656.027451099123,11,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"51","sim--968354913.msf.Rep0","ANNEALINGJC",-653.749065156921,11,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"52","sim--968354913.msf.Rep0","SSJC",-653.878676473151,11,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"53","sim--968354913.msf.Rep0","ANNEALINGEvolGTR",-648.797973622348,11,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"54","sim--968354913.msf.Rep0","SSEvolGTR",-653.42839465093,11,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"55","sim--968354913.msf.Rep0","ANNEALINGEvolK2P",-740.893421021824,88,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"56","sim--968354913.msf.Rep0","SSEvolK2P",-739.999939902442,88,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"57","sim--968354913.msf.Rep0","ANNEALINGJC",-737.821329500059,88,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"58","sim--968354913.msf.Rep0","SSJC",-737.863804628216,88,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"59","sim--968354913.msf.Rep0","ANNEALINGEvolGTR",-738.810294346369,88,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"60","sim--968354913.msf.Rep0","SSEvolGTR",-743.004866840774,88,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
