"","#Method","Adaptive","AdaptiveType","T","IterScale","Repeat","Metric","Value","TreeName","Time","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"1","ANNEALINGEvolK2P",TRUE,0,3832,1000,0,"ConsensusLogLL",-717.744704776313,"sim--968354913.msf",2329347,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"2","ANNEALINGEvolK2P",TRUE,0,3832,1000,0,"BestSampledLogLL",-695.436472708744,"sim--968354913.msf",2329347,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"3","ANNEALINGEvolK2P",TRUE,0,3832,1000,0,"PartitionMetric",0,"sim--968354913.msf",2329347,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"4","ANNEALINGEvolK2P",TRUE,0,3832,1000,0,"RobinsonFouldsMetric",0.477500743505591,"sim--968354913.msf",2329347,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"5","ANNEALINGEvolK2P",TRUE,0,3832,1000,0,"KuhnerFelsenstein",0.0244225580989645,"sim--968354913.msf",2329347,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"6","SSEvolK2P",NA,NA,NA,3832000,0,NA,NA,"sim--968354913.msf",2050371,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"7","ANNEALINGJC",TRUE,0,3636,1000,0,"ConsensusLogLL",-699.790966230365,"sim--968354913.msf",1331254,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"8","ANNEALINGJC",TRUE,0,3636,1000,0,"BestSampledLogLL",-701.642326992294,"sim--968354913.msf",1331254,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"9","ANNEALINGJC",TRUE,0,3636,1000,0,"PartitionMetric",2,"sim--968354913.msf",1331254,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"10","ANNEALINGJC",TRUE,0,3636,1000,0,"RobinsonFouldsMetric",0.478291203425093,"sim--968354913.msf",1331254,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"11","ANNEALINGJC",TRUE,0,3636,1000,0,"KuhnerFelsenstein",0.0244465667825541,"sim--968354913.msf",1331254,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"12","SSJC",NA,NA,NA,3636000,0,NA,NA,"sim--968354913.msf",1209569,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"13","ANNEALINGEvolGTR",TRUE,0,5226,1000,0,"ConsensusLogLL",-703.229995026667,"sim--968354913.msf",4622093,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"14","ANNEALINGEvolGTR",TRUE,0,5226,1000,0,"BestSampledLogLL",-671.856864269349,"sim--968354913.msf",4622093,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"15","ANNEALINGEvolGTR",TRUE,0,5226,1000,0,"PartitionMetric",0,"sim--968354913.msf",4622093,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"16","ANNEALINGEvolGTR",TRUE,0,5226,1000,0,"RobinsonFouldsMetric",0.503650743505591,"sim--968354913.msf",4622093,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"17","ANNEALINGEvolGTR",TRUE,0,5226,1000,0,"KuhnerFelsenstein",0.0236010617073082,"sim--968354913.msf",4622093,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"18","SSEvolGTR",NA,NA,NA,5226000,0,NA,NA,"sim--968354913.msf",4284233,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"19","ANNEALINGEvolK2P",TRUE,0,3856,1000,0,"ConsensusLogLL",-713.859495236359,"sim--968354913.msf",2253807,88,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"20","ANNEALINGEvolK2P",TRUE,0,3856,1000,0,"BestSampledLogLL",-703.60028826412,"sim--968354913.msf",2253807,88,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"21","ANNEALINGEvolK2P",TRUE,0,3856,1000,0,"PartitionMetric",2,"sim--968354913.msf",2253807,88,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"22","ANNEALINGEvolK2P",TRUE,0,3856,1000,0,"RobinsonFouldsMetric",0.639853179247212,"sim--968354913.msf",2253807,88,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"23","ANNEALINGEvolK2P",TRUE,0,3856,1000,0,"KuhnerFelsenstein",0.0471402129870157,"sim--968354913.msf",2253807,88,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"24","SSEvolK2P",NA,NA,NA,3856000,0,NA,NA,"sim--968354913.msf",2036261,88,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"25","ANNEALINGJC",TRUE,0,3630,1000,0,"ConsensusLogLL",-702.50416117672,"sim--968354913.msf",1298939,88,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"26","ANNEALINGJC",TRUE,0,3630,1000,0,"BestSampledLogLL",-703.72836419838,"sim--968354913.msf",1298939,88,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"27","ANNEALINGJC",TRUE,0,3630,1000,0,"PartitionMetric",2,"sim--968354913.msf",1298939,88,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"28","ANNEALINGJC",TRUE,0,3630,1000,0,"RobinsonFouldsMetric",0.627962517152249,"sim--968354913.msf",1298939,88,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"29","ANNEALINGJC",TRUE,0,3630,1000,0,"KuhnerFelsenstein",0.0467144379324078,"sim--968354913.msf",1298939,88,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"30","SSJC",NA,NA,NA,3630000,0,NA,NA,"sim--968354913.msf",1199703,88,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"31","ANNEALINGEvolGTR",TRUE,0,5206,1000,0,"ConsensusLogLL",-709.090323716245,"sim--968354913.msf",4463228,88,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"32","ANNEALINGEvolGTR",TRUE,0,5206,1000,0,"BestSampledLogLL",-682.086177056066,"sim--968354913.msf",4463228,88,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
