"","#treeName","Method","logZ","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"1","sim--1037831270.msf.Rep0","ANNEALINGEvolK2P",-7830.66906557386,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"2","sim--1037831270.msf.Rep0","SSEvolK2P",-7821.75531746839,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"3","sim--1037831270.msf.Rep0","ANNEALINGJC",-7817.94938443782,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"4","sim--1037831270.msf.Rep0","SSJC",-7812.54915286971,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"5","sim--1037831270.msf.Rep0","ANNEALINGEvolGTR",-7842.45907022075,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"6","sim--1037831270.msf.Rep0","SSEvolGTR",-7854.21342035956,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"7","sim--1037831270.msf.Rep0","ANNEALINGEvolK2P",-7823.06996982373,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"8","sim--1037831270.msf.Rep0","SSEvolK2P",-7818.4606474225,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"9","sim--1037831270.msf.Rep0","ANNEALINGJC",-7811.17128010079,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"10","sim--1037831270.msf.Rep0","SSJC",-7812.98223844874,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"11","sim--1037831270.msf.Rep0","ANNEALINGEvolGTR",-7839.07597289359,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"12","sim--1037831270.msf.Rep0","SSEvolGTR",-7852.02302718254,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"13","sim--1814680554.msf.Rep0","ANNEALINGEvolK2P",-7023.97631675622,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"14","sim--1814680554.msf.Rep0","SSEvolK2P",-7023.00809012883,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"15","sim--1814680554.msf.Rep0","ANNEALINGJC",-7016.93672299543,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"16","sim--1814680554.msf.Rep0","SSJC",-7013.38472534279,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"17","sim--1814680554.msf.Rep0","ANNEALINGEvolGTR",-7045.72379490626,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"18","sim--1814680554.msf.Rep0","SSEvolGTR",-7064.57977604732,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"19","sim--1814680554.msf.Rep0","ANNEALINGEvolK2P",-7027.82769356684,44,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"20","sim--1814680554.msf.Rep0","SSEvolK2P",-7030.83936018372,44,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"21","sim--1814680554.msf.Rep0","ANNEALINGJC",-7017.8656919845,44,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"22","sim--1814680554.msf.Rep0","SSJC",-7016.02756086855,44,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"23","sim--1814680554.msf.Rep0","ANNEALINGEvolGTR",-7036.98659076533,44,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"24","sim--1814680554.msf.Rep0","SSEvolGTR",-7054.71908729253,44,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"25","sim--1037831270.msf.Rep0","ANNEALINGEvolK2P",-7825.67266933914,22,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"26","sim--1037831270.msf.Rep0","SSEvolK2P",-7820.10711898758,22,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"27","sim--1037831270.msf.Rep0","ANNEALINGJC",-7814.32074600706,22,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"28","sim--1037831270.msf.Rep0","SSJC",-7813.1481792523,22,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"29","sim--1037831270.msf.Rep0","ANNEALINGEvolGTR",-7845.64544802117,22,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"30","sim--1037831270.msf.Rep0","SSEvolGTR",-7850.983446157,22,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"31","sim--1037831270.msf.Rep0","ANNEALINGEvolK2P",-7825.34817212756,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"32","sim--1037831270.msf.Rep0","SSEvolK2P",-7821.08842057875,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"33","sim--1037831270.msf.Rep0","ANNEALINGJC",-7812.23521833601,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"34","sim--1037831270.msf.Rep0","SSJC",-7811.33414345019,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"35","sim--1037831270.msf.Rep0","ANNEALINGEvolGTR",-7846.61246583973,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"36","sim--1037831270.msf.Rep0","SSEvolGTR",-7854.75479367096,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"37","sim--1814680554.msf.Rep0","ANNEALINGEvolK2P",-7029.88349163757,22,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"38","sim--1814680554.msf.Rep0","SSEvolK2P",-7018.92116437322,22,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"39","sim--1814680554.msf.Rep0","ANNEALINGJC",-7013.70479720312,22,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"40","sim--1814680554.msf.Rep0","SSJC",-7014.05215367588,22,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"41","sim--1814680554.msf.Rep0","ANNEALINGEvolGTR",-7048.54351320838,22,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"42","sim--1814680554.msf.Rep0","SSEvolGTR",-7063.00979522296,22,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"43","sim--1814680554.msf.Rep0","ANNEALINGEvolK2P",-7028.40120392477,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"44","sim--1814680554.msf.Rep0","SSEvolK2P",-7019.51111179066,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"45","sim--1814680554.msf.Rep0","ANNEALINGJC",-7014.99855136906,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"46","sim--1814680554.msf.Rep0","SSJC",-7014.1035239093,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"47","sim--1814680554.msf.Rep0","ANNEALINGEvolGTR",-7041.71630457667,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"48","sim--1814680554.msf.Rep0","SSEvolGTR",-7055.8374969284,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"49","sim--947209301.msf.Rep0","ANNEALINGEvolK2P",-7558.79289158219,22,0.999,1000,10,302,10,"500 100000 500 100000 500 100000"
"50","sim--947209301.msf.Rep0","SSEvolK2P",-7550.26616569178,22,0.999,1000,10,302,10,"500 100000 500 100000 500 100000"
"51","sim--947209301.msf.Rep0","ANNEALINGJC",-7535.61749900458,22,0.999,1000,10,302,10,"500 100000 500 100000 500 100000"
"52","sim--947209301.msf.Rep0","SSJC",-7539.47357014128,22,0.999,1000,10,302,10,"500 100000 500 100000 500 100000"
"53","sim--947209301.msf.Rep0","ANNEALINGEvolGTR",-7580.69505457553,22,0.999,1000,10,302,10,"500 100000 500 100000 500 100000"
"54","sim--947209301.msf.Rep0","SSEvolGTR",-7587.63831458799,22,0.999,1000,10,302,10,"500 100000 500 100000 500 100000"
"55","sim--947209301.msf.Rep0","ANNEALINGEvolK2P",-7549.54451533085,11,0.999,1000,10,302,10,"500 100000 500 100000 500 100000"
"56","sim--947209301.msf.Rep0","SSEvolK2P",-7547.46756552796,11,0.999,1000,10,302,10,"500 100000 500 100000 500 100000"
"57","sim--947209301.msf.Rep0","ANNEALINGJC",-7540.79930606725,11,0.999,1000,10,302,10,"500 100000 500 100000 500 100000"
"58","sim--947209301.msf.Rep0","SSJC",-7539.74865873095,11,0.999,1000,10,302,10,"500 100000 500 100000 500 100000"
"59","sim--947209301.msf.Rep0","ANNEALINGEvolGTR",-7572.47932845719,11,0.999,1000,10,302,10,"500 100000 500 100000 500 100000"
"60","sim--947209301.msf.Rep0","SSEvolGTR",-7607.06713819547,11,0.999,1000,10,302,10,"500 100000 500 100000 500 100000"
"61","sim-1038568758.msf.Rep0","ANNEALINGEvolK2P",-7520.87005633354,44,0.999,1000,10,303,10,"500 100000 500 100000 500 100000"
"62","sim-1038568758.msf.Rep0","SSEvolK2P",-7519.21719819969,44,0.999,1000,10,303,10,"500 100000 500 100000 500 100000"
"63","sim-1038568758.msf.Rep0","ANNEALINGJC",-7512.96497978763,44,0.999,1000,10,303,10,"500 100000 500 100000 500 100000"
"64","sim-1038568758.msf.Rep0","SSJC",-7513.04031046708,44,0.999,1000,10,303,10,"500 100000 500 100000 500 100000"
"65","sim-1038568758.msf.Rep0","ANNEALINGEvolGTR",-7541.74001285213,44,0.999,1000,10,303,10,"500 100000 500 100000 500 100000"
"66","sim-1038568758.msf.Rep0","SSEvolGTR",-7566.68551432092,44,0.999,1000,10,303,10,"500 100000 500 100000 500 100000"
"67","sim-1038568758.msf.Rep0","ANNEALINGEvolK2P",-7521.23551606583,11,0.999,1000,10,303,10,"500 100000 500 100000 500 100000"
"68","sim-1038568758.msf.Rep0","SSEvolK2P",-7520.51321594517,11,0.999,1000,10,303,10,"500 100000 500 100000 500 100000"
