"","#Method","Adaptive","AdaptiveType","T","IterScale","Repeat","Metric","Value","TreeName","Time","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"1","ANNEALINGEvolK2P",TRUE,0,626,500,0,"ConsensusLogLL",-7032.07706251555,"sim--1814680554.msf",725365,44,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"2","ANNEALINGEvolK2P",TRUE,0,626,500,0,"BestSampledLogLL",-6962.61422289403,"sim--1814680554.msf",725365,44,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"3","ANNEALINGEvolK2P",TRUE,0,626,500,0,"PartitionMetric",2,"sim--1814680554.msf",725365,44,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"4","ANNEALINGEvolK2P",TRUE,0,626,500,0,"RobinsonFouldsMetric",0.156418046872842,"sim--1814680554.msf",725365,44,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"5","ANNEALINGEvolK2P",TRUE,0,626,500,0,"KuhnerFelsenstein",0.00331714080002853,"sim--1814680554.msf",725365,44,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"6","SSEvolK2P",NA,NA,NA,313000,0,NA,NA,"sim--1814680554.msf",588356,44,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"7","ANNEALINGJC",TRUE,0,570,500,0,"ConsensusLogLL",-6959.50481969621,"sim--1814680554.msf",254610,44,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"8","ANNEALINGJC",TRUE,0,570,500,0,"BestSampledLogLL",-6961.88511588995,"sim--1814680554.msf",254610,44,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"9","ANNEALINGJC",TRUE,0,570,500,0,"PartitionMetric",2,"sim--1814680554.msf",254610,44,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"10","ANNEALINGJC",TRUE,0,570,500,0,"RobinsonFouldsMetric",0.152877508461542,"sim--1814680554.msf",254610,44,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"11","ANNEALINGJC",TRUE,0,570,500,0,"KuhnerFelsenstein",0.00433864403947441,"sim--1814680554.msf",254610,44,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"12","SSJC",NA,NA,NA,285000,0,NA,NA,"sim--1814680554.msf",264254,44,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"13","ANNEALINGEvolGTR",TRUE,0,672,500,0,"ConsensusLogLL",-7012.14244819316,"sim--1814680554.msf",801354,44,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"14","ANNEALINGEvolGTR",TRUE,0,672,500,0,"BestSampledLogLL",-6967.20369461936,"sim--1814680554.msf",801354,44,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"15","ANNEALINGEvolGTR",TRUE,0,672,500,0,"PartitionMetric",2,"sim--1814680554.msf",801354,44,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"16","ANNEALINGEvolGTR",TRUE,0,672,500,0,"RobinsonFouldsMetric",0.154860423161883,"sim--1814680554.msf",801354,44,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"17","ANNEALINGEvolGTR",TRUE,0,672,500,0,"KuhnerFelsenstein",0.00334734650132023,"sim--1814680554.msf",801354,44,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"18","SSEvolGTR",NA,NA,NA,336000,0,NA,NA,"sim--1814680554.msf",712233,44,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"19","ANNEALINGEvolK2P",TRUE,0,622,500,0,"ConsensusLogLL",-7032.22708780106,"sim--1814680554.msf",746830,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"20","ANNEALINGEvolK2P",TRUE,0,622,500,0,"BestSampledLogLL",-6962.03266872727,"sim--1814680554.msf",746830,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"21","ANNEALINGEvolK2P",TRUE,0,622,500,0,"PartitionMetric",2,"sim--1814680554.msf",746830,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"22","ANNEALINGEvolK2P",TRUE,0,622,500,0,"RobinsonFouldsMetric",0.172219126619726,"sim--1814680554.msf",746830,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"23","ANNEALINGEvolK2P",TRUE,0,622,500,0,"KuhnerFelsenstein",0.00348165133414012,"sim--1814680554.msf",746830,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"24","SSEvolK2P",NA,NA,NA,311000,0,NA,NA,"sim--1814680554.msf",613061,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"25","ANNEALINGJC",TRUE,0,565,500,0,"ConsensusLogLL",-6959.62688866577,"sim--1814680554.msf",272984,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"26","ANNEALINGJC",TRUE,0,565,500,0,"BestSampledLogLL",-6961.60696426826,"sim--1814680554.msf",272984,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"27","ANNEALINGJC",TRUE,0,565,500,0,"PartitionMetric",2,"sim--1814680554.msf",272984,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"28","ANNEALINGJC",TRUE,0,565,500,0,"RobinsonFouldsMetric",0.119742516990528,"sim--1814680554.msf",272984,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"29","ANNEALINGJC",TRUE,0,565,500,0,"KuhnerFelsenstein",0.00278594818841525,"sim--1814680554.msf",272984,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"30","SSJC",NA,NA,NA,282500,0,NA,NA,"sim--1814680554.msf",305086,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"31","ANNEALINGEvolGTR",TRUE,0,670,500,0,"ConsensusLogLL",-7016.08585459436,"sim--1814680554.msf",808490,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"32","ANNEALINGEvolGTR",TRUE,0,670,500,0,"BestSampledLogLL",-6973.77689555833,"sim--1814680554.msf",808490,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"33","ANNEALINGEvolGTR",TRUE,0,670,500,0,"PartitionMetric",2,"sim--1814680554.msf",808490,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"34","ANNEALINGEvolGTR",TRUE,0,670,500,0,"RobinsonFouldsMetric",0.170190494284553,"sim--1814680554.msf",808490,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"35","ANNEALINGEvolGTR",TRUE,0,670,500,0,"KuhnerFelsenstein",0.00263929406711566,"sim--1814680554.msf",808490,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"36","SSEvolGTR",NA,NA,NA,335000,0,NA,NA,"sim--1814680554.msf",749205,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"37","ANNEALINGEvolK2P",TRUE,0,611,500,0,"ConsensusLogLL",-7032.38695738649,"sim--1814680554.msf",707908,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"38","ANNEALINGEvolK2P",TRUE,0,611,500,0,"BestSampledLogLL",-6963.68842337418,"sim--1814680554.msf",707908,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"39","ANNEALINGEvolK2P",TRUE,0,611,500,0,"PartitionMetric",2,"sim--1814680554.msf",707908,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"40","ANNEALINGEvolK2P",TRUE,0,611,500,0,"RobinsonFouldsMetric",0.162884549652725,"sim--1814680554.msf",707908,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"41","ANNEALINGEvolK2P",TRUE,0,611,500,0,"KuhnerFelsenstein",0.00393500031226994,"sim--1814680554.msf",707908,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"42","SSEvolK2P",NA,NA,NA,305500,0,NA,NA,"sim--1814680554.msf",578674,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"43","ANNEALINGJC",TRUE,0,581,500,0,"ConsensusLogLL",-6959.83898881217,"sim--1814680554.msf",256211,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"44","ANNEALINGJC",TRUE,0,581,500,0,"BestSampledLogLL",-6960.98421583496,"sim--1814680554.msf",256211,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"45","ANNEALINGJC",TRUE,0,581,500,0,"PartitionMetric",2,"sim--1814680554.msf",256211,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"46","ANNEALINGJC",TRUE,0,581,500,0,"RobinsonFouldsMetric",0.149420263253177,"sim--1814680554.msf",256211,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"47","ANNEALINGJC",TRUE,0,581,500,0,"KuhnerFelsenstein",0.00321526244876586,"sim--1814680554.msf",256211,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"48","SSJC",NA,NA,NA,290500,0,NA,NA,"sim--1814680554.msf",266213,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"49","ANNEALINGEvolGTR",TRUE,0,683,500,0,"ConsensusLogLL",-7013.97340885782,"sim--1814680554.msf",806902,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"50","ANNEALINGEvolGTR",TRUE,0,683,500,0,"BestSampledLogLL",-6969.18452977033,"sim--1814680554.msf",806902,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
