"","#treeName","Method","logZ","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"1","sim--1037831270.msf.Rep0","ANNEALINGEvolK2P",-3864.06296588863,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"2","sim--1037831270.msf.Rep0","SSEvolK2P",-3866.32168646337,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"3","sim--1037831270.msf.Rep0","ANNEALINGJC",-3858.66770371092,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"4","sim--1037831270.msf.Rep0","SSJC",-3858.05400121856,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"5","sim--1037831270.msf.Rep0","ANNEALINGEvolGTR",-3880.51910924823,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"6","sim--1037831270.msf.Rep0","SSEvolGTR",-3889.92234423528,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"7","sim--1684653628.msf.Rep0","ANNEALINGEvolK2P",-3967.05963407169,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"8","sim--1684653628.msf.Rep0","SSEvolK2P",-3967.95910499631,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"9","sim--1684653628.msf.Rep0","ANNEALINGJC",-3959.8981260945,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"10","sim--1684653628.msf.Rep0","SSJC",-3961.55989206276,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"11","sim--1684653628.msf.Rep0","ANNEALINGEvolGTR",-3985.12213993025,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"12","sim--1684653628.msf.Rep0","SSEvolGTR",-3994.17608094537,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"13","sim--1814680554.msf.Rep0","ANNEALINGEvolK2P",-3516.30685848324,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"14","sim--1814680554.msf.Rep0","SSEvolK2P",-3517.67745285927,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"15","sim--1814680554.msf.Rep0","ANNEALINGJC",-3510.1557360271,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"16","sim--1814680554.msf.Rep0","SSJC",-3510.56443565212,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"17","sim--1814680554.msf.Rep0","ANNEALINGEvolGTR",-3534.27144597438,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"18","sim--1814680554.msf.Rep0","SSEvolGTR",-3543.70797352703,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"19","sim--1361242449.msf.Rep0","ANNEALINGEvolK2P",-4174.18924219041,111,0.9999,500,10,310,10,"1000 100000 1000 100000 1000 100000"
"20","sim--1361242449.msf.Rep0","SSEvolK2P",-4176.28252596305,111,0.9999,500,10,310,10,"1000 100000 1000 100000 1000 100000"
"21","sim--1361242449.msf.Rep0","ANNEALINGJC",-4168.87817248987,111,0.9999,500,10,310,10,"1000 100000 1000 100000 1000 100000"
"22","sim--1361242449.msf.Rep0","SSJC",-4169.23450050814,111,0.9999,500,10,310,10,"1000 100000 1000 100000 1000 100000"
"23","sim--1361242449.msf.Rep0","ANNEALINGEvolGTR",-4197.00118412574,111,0.9999,500,10,310,10,"1000 100000 1000 100000 1000 100000"
"24","sim--1361242449.msf.Rep0","SSEvolGTR",-4205.0973970943,111,0.9999,500,10,310,10,"1000 100000 1000 100000 1000 100000"
"25","sim--714420091.msf.Rep0","ANNEALINGEvolK2P",-3551.39142920373,111,0.9999,500,10,306,10,"1000 100000 1000 100000 1000 100000"
"26","sim--714420091.msf.Rep0","SSEvolK2P",-3551.46678510234,111,0.9999,500,10,306,10,"1000 100000 1000 100000 1000 100000"
"27","sim--714420091.msf.Rep0","ANNEALINGJC",-3546.61907425066,111,0.9999,500,10,306,10,"1000 100000 1000 100000 1000 100000"
"28","sim--714420091.msf.Rep0","SSJC",-3545.74736056919,111,0.9999,500,10,306,10,"1000 100000 1000 100000 1000 100000"
"29","sim--714420091.msf.Rep0","ANNEALINGEvolGTR",-3571.79373082027,111,0.9999,500,10,306,10,"1000 100000 1000 100000 1000 100000"
"30","sim--714420091.msf.Rep0","SSEvolGTR",-3580.29393734991,111,0.9999,500,10,306,10,"1000 100000 1000 100000 1000 100000"
"31","sim-1316668952.msf.Rep0","ANNEALINGEvolK2P",-3283.702941784,111,0.9999,500,10,316,10,"1000 100000 1000 100000 1000 100000"
"32","sim-1316668952.msf.Rep0","SSEvolK2P",-3284.68434851307,111,0.9999,500,10,316,10,"1000 100000 1000 100000 1000 100000"
"33","sim-1316668952.msf.Rep0","ANNEALINGJC",-3279.64562360761,111,0.9999,500,10,316,10,"1000 100000 1000 100000 1000 100000"
"34","sim-1316668952.msf.Rep0","SSJC",-3279.92847718496,111,0.9999,500,10,316,10,"1000 100000 1000 100000 1000 100000"
"35","sim-1316668952.msf.Rep0","ANNEALINGEvolGTR",-3301.19110505621,111,0.9999,500,10,316,10,"1000 100000 1000 100000 1000 100000"
"36","sim-1316668952.msf.Rep0","SSEvolGTR",-3308.78657131404,111,0.9999,500,10,316,10,"1000 100000 1000 100000 1000 100000"
