"","#Method","Adaptive","AdaptiveType","T","IterScale","Repeat","Metric","Value","TreeName","Time","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"1","ANNEALINGEvolK2P",TRUE,0,1683,1000,0,"ConsensusLogLL",-3937.65053765514,"sim--1684653628.msf",1554466,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"2","ANNEALINGEvolK2P",TRUE,0,1683,1000,0,"BestSampledLogLL",-3911.00209511099,"sim--1684653628.msf",1554466,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"3","ANNEALINGEvolK2P",TRUE,0,1683,1000,0,"PartitionMetric",0,"sim--1684653628.msf",1554466,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"4","ANNEALINGEvolK2P",TRUE,0,1683,1000,0,"RobinsonFouldsMetric",0.249164604834879,"sim--1684653628.msf",1554466,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"5","ANNEALINGEvolK2P",TRUE,0,1683,1000,0,"KuhnerFelsenstein",0.00917131231062967,"sim--1684653628.msf",1554466,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"6","SSEvolK2P",NA,NA,NA,1683000,0,NA,NA,"sim--1684653628.msf",1386985,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"7","ANNEALINGJC",TRUE,0,1582,1000,0,"ConsensusLogLL",-3908.76132596441,"sim--1684653628.msf",673761,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"8","ANNEALINGJC",TRUE,0,1582,1000,0,"BestSampledLogLL",-3911.59136332594,"sim--1684653628.msf",673761,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"9","ANNEALINGJC",TRUE,0,1582,1000,0,"PartitionMetric",0,"sim--1684653628.msf",673761,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"10","ANNEALINGJC",TRUE,0,1582,1000,0,"RobinsonFouldsMetric",0.240324604834879,"sim--1684653628.msf",673761,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"11","ANNEALINGJC",TRUE,0,1582,1000,0,"KuhnerFelsenstein",0.00775953342013602,"sim--1684653628.msf",673761,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"12","SSJC",NA,NA,NA,1582000,0,NA,NA,"sim--1684653628.msf",659650,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"13","ANNEALINGEvolGTR",TRUE,0,2102,1000,0,"ConsensusLogLL",-3938.99558184092,"sim--1684653628.msf",2228349,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
