"","treeName","modelByASMC","modelBySS"
"1","sim--1037831270.msf.Rep0","ANNEALINGJC","SSJC"
"2","sim--1684653628.msf.Rep0","ANNEALINGJC","SSJC"
"3","sim--1814680554.msf.Rep0","ANNEALINGJC","SSJC"
"4","sim--1361242449.msf.Rep0","ANNEALINGJC","SSJC"
"5","sim--714420091.msf.Rep0","ANNEALINGJC","SSJC"
"6","sim-1316668952.msf.Rep0","ANNEALINGJC","SSJC"
"7","sim--992520285.msf.Rep0","ANNEALINGJC","SSJC"
"8","sim-1038568758.msf.Rep0","ANNEALINGJC","SSJC"
"9","sim-1963491310.msf.Rep0","ANNEALINGJC","SSJC"
"10","sim--669109106.msf.Rep0","ANNEALINGJC","SSJC"
"11","sim--209764974.msf.Rep0","ANNEALINGJC","SSJC"
"12","sim--947209301.msf.Rep0","ANNEALINGJC","SSJC"
"13","sim--345697927.msf.Rep0","ANNEALINGJC","SSJC"
"14","sim-624535610.msf.Rep0","ANNEALINGJC","SSJC"
"15","sim-1640080131.msf.Rep0","ANNEALINGJC","SSJC"
"16","sim--22286748.msf.Rep0","ANNEALINGJC","SSJC"
"17","sim-301124431.msf.Rep0","ANNEALINGJC","SSJC"
"18","sim-947946789.msf.Rep0","ANNEALINGJC","SSJC"
"19","0","0","0"
"20","0","0","0"
