"","#Method","Adaptive","AdaptiveType","T","IterScale","Repeat","Metric","Value","TreeName","Time","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"1","ANNEALINGEvolK2P",TRUE,0,3790,1000,0,"ConsensusLogLL",-733.707864997734,"sim--968354913.msf",2244128,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"2","ANNEALINGEvolK2P",TRUE,0,3790,1000,0,"BestSampledLogLL",-724.970420129549,"sim--968354913.msf",2244128,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"3","ANNEALINGEvolK2P",TRUE,0,3790,1000,0,"PartitionMetric",4,"sim--968354913.msf",2244128,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"4","ANNEALINGEvolK2P",TRUE,0,3790,1000,0,"RobinsonFouldsMetric",0.470270010757574,"sim--968354913.msf",2244128,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"5","ANNEALINGEvolK2P",TRUE,0,3790,1000,0,"KuhnerFelsenstein",0.0182260619885278,"sim--968354913.msf",2244128,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"6","SSEvolK2P",NA,NA,NA,3790000,0,NA,NA,"sim--968354913.msf",2015483,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"7","ANNEALINGJC",TRUE,0,3735,1000,0,"ConsensusLogLL",-723.611854701935,"sim--968354913.msf",1351152,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"8","ANNEALINGJC",TRUE,0,3735,1000,0,"BestSampledLogLL",-724.390832828584,"sim--968354913.msf",1351152,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"9","ANNEALINGJC",TRUE,0,3735,1000,0,"PartitionMetric",4,"sim--968354913.msf",1351152,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"10","ANNEALINGJC",TRUE,0,3735,1000,0,"RobinsonFouldsMetric",0.479380010757574,"sim--968354913.msf",1351152,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"11","ANNEALINGJC",TRUE,0,3735,1000,0,"KuhnerFelsenstein",0.0194657745131691,"sim--968354913.msf",1351152,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"12","SSJC",NA,NA,NA,3735000,0,NA,NA,"sim--968354913.msf",1260244,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"13","ANNEALINGEvolGTR",TRUE,0,5382,1000,0,"ConsensusLogLL",-729.031957506544,"sim--968354913.msf",4601699,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"14","ANNEALINGEvolGTR",TRUE,0,5382,1000,0,"BestSampledLogLL",-725.107773205653,"sim--968354913.msf",4601699,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"15","ANNEALINGEvolGTR",TRUE,0,5382,1000,0,"PartitionMetric",4,"sim--968354913.msf",4601699,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"16","ANNEALINGEvolGTR",TRUE,0,5382,1000,0,"RobinsonFouldsMetric",0.494940010757574,"sim--968354913.msf",4601699,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"17","ANNEALINGEvolGTR",TRUE,0,5382,1000,0,"KuhnerFelsenstein",0.0206602150512626,"sim--968354913.msf",4601699,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"18","SSEvolGTR",NA,NA,NA,5382000,0,NA,NA,"sim--968354913.msf",4146810,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"19","ANNEALINGEvolK2P",TRUE,0,3835,1000,0,"ConsensusLogLL",-733.4355224646,"sim--968354913.msf",2240820,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"20","ANNEALINGEvolK2P",TRUE,0,3835,1000,0,"BestSampledLogLL",-724.292064078815,"sim--968354913.msf",2240820,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"21","ANNEALINGEvolK2P",TRUE,0,3835,1000,0,"PartitionMetric",4,"sim--968354913.msf",2240820,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
