"","#treeName","Method","logZ","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"1","sim--1037831270.msf.Rep0","ANNEALINGEvolK2P",-7769.0699376361,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"2","sim--1037831270.msf.Rep0","SSEvolK2P",-7763.56451633406,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"3","sim--1037831270.msf.Rep0","ANNEALINGJC",-7829.62716288285,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"4","sim--1037831270.msf.Rep0","SSJC",-7828.58113345002,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"5","sim--1037831270.msf.Rep0","ANNEALINGEvolGTR",-7787.41714095782,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"6","sim--1037831270.msf.Rep0","SSEvolGTR",-7801.13298009237,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"7","sim--1037831270.msf.Rep0","ANNEALINGEvolK2P",-7772.63070002545,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"8","sim--1037831270.msf.Rep0","SSEvolK2P",-7767.93519084682,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"9","sim--1037831270.msf.Rep0","ANNEALINGJC",-7828.72422781963,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"10","sim--1037831270.msf.Rep0","SSJC",-7829.39899972672,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"11","sim--1037831270.msf.Rep0","ANNEALINGEvolGTR",-7796.74736975897,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"12","sim--1037831270.msf.Rep0","SSEvolGTR",-7800.79709812599,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"13","sim--1037831270.msf.Rep0","ANNEALINGEvolK2P",-7768.90138135091,22,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"14","sim--1037831270.msf.Rep0","SSEvolK2P",-7764.55864617664,22,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"15","sim--1037831270.msf.Rep0","ANNEALINGJC",-7832.65301713129,22,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"16","sim--1037831270.msf.Rep0","SSJC",-7829.25903802443,22,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"17","sim--1037831270.msf.Rep0","ANNEALINGEvolGTR",-7787.5734064181,22,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"18","sim--1037831270.msf.Rep0","SSEvolGTR",-7800.68975887835,22,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"19","sim--1037831270.msf.Rep0","ANNEALINGEvolK2P",-7763.001981557,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"20","sim--1037831270.msf.Rep0","SSEvolK2P",-7766.08758265065,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"21","sim--1037831270.msf.Rep0","ANNEALINGJC",-7830.66964247831,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"22","sim--1037831270.msf.Rep0","SSJC",-7829.066501107,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"23","sim--1037831270.msf.Rep0","ANNEALINGEvolGTR",-7791.36558035241,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"24","sim--1037831270.msf.Rep0","SSEvolGTR",-7813.96738849618,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"25","sim--1814680554.msf.Rep0","ANNEALINGEvolK2P",-6931.52674189429,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"26","sim--1814680554.msf.Rep0","SSEvolK2P",-6940.70213463249,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"27","sim--1814680554.msf.Rep0","ANNEALINGJC",-6986.84997166151,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"28","sim--1814680554.msf.Rep0","SSJC",-6986.00157856401,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"29","sim--1814680554.msf.Rep0","ANNEALINGEvolGTR",-6963.07290941187,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"30","sim--1814680554.msf.Rep0","SSEvolGTR",-6968.56596114853,11,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"31","sim--1814680554.msf.Rep0","ANNEALINGEvolK2P",-6939.18951048368,44,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"32","sim--1814680554.msf.Rep0","SSEvolK2P",-6934.53914542066,44,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
