"","#Method","Adaptive","AdaptiveType","T","IterScale","Repeat","Metric","Value","TreeName","Time","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"1","ANNEALINGEvolK2P",TRUE,0,597,500,0,"ConsensusLogLL",-7703.06712377781,"sim--1037831270.msf",844643,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"2","ANNEALINGEvolK2P",TRUE,0,597,500,0,"BestSampledLogLL",-7706.61056091792,"sim--1037831270.msf",844643,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"3","ANNEALINGEvolK2P",TRUE,0,597,500,0,"PartitionMetric",0,"sim--1037831270.msf",844643,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"4","ANNEALINGEvolK2P",TRUE,0,597,500,0,"RobinsonFouldsMetric",0.235862435449049,"sim--1037831270.msf",844643,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"5","ANNEALINGEvolK2P",TRUE,0,597,500,0,"KuhnerFelsenstein",0.00553959307066915,"sim--1037831270.msf",844643,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"6","SSEvolK2P",NA,NA,NA,298500,0,NA,NA,"sim--1037831270.msf",735781,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"7","ANNEALINGJC",TRUE,0,583,500,0,"ConsensusLogLL",-7772.44674939588,"sim--1037831270.msf",356654,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"8","ANNEALINGJC",TRUE,0,583,500,0,"BestSampledLogLL",-7775.38820052052,"sim--1037831270.msf",356654,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"9","ANNEALINGJC",TRUE,0,583,500,0,"PartitionMetric",0,"sim--1037831270.msf",356654,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"10","ANNEALINGJC",TRUE,0,583,500,0,"RobinsonFouldsMetric",0.259535964429435,"sim--1037831270.msf",356654,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"11","ANNEALINGJC",TRUE,0,583,500,0,"KuhnerFelsenstein",0.00651431605229497,"sim--1037831270.msf",356654,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"12","SSJC",NA,NA,NA,291500,0,NA,NA,"sim--1037831270.msf",374818,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"13","ANNEALINGEvolGTR",TRUE,0,710,500,0,"ConsensusLogLL",-7861.47726313892,"sim--1037831270.msf",1061457,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"14","ANNEALINGEvolGTR",TRUE,0,710,500,0,"BestSampledLogLL",-7708.94911110323,"sim--1037831270.msf",1061457,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"15","ANNEALINGEvolGTR",TRUE,0,710,500,0,"PartitionMetric",0,"sim--1037831270.msf",1061457,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"16","ANNEALINGEvolGTR",TRUE,0,710,500,0,"RobinsonFouldsMetric",0.324457754017,"sim--1037831270.msf",1061457,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"17","ANNEALINGEvolGTR",TRUE,0,710,500,0,"KuhnerFelsenstein",0.0106899122278905,"sim--1037831270.msf",1061457,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"18","SSEvolGTR",NA,NA,NA,355000,0,NA,NA,"sim--1037831270.msf",1004149,33,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"19","ANNEALINGEvolK2P",TRUE,0,602,500,0,"ConsensusLogLL",-7704.18760224474,"sim--1037831270.msf",860838,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"20","ANNEALINGEvolK2P",TRUE,0,602,500,0,"BestSampledLogLL",-7709.74540595465,"sim--1037831270.msf",860838,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"21","ANNEALINGEvolK2P",TRUE,0,602,500,0,"PartitionMetric",0,"sim--1037831270.msf",860838,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"22","ANNEALINGEvolK2P",TRUE,0,602,500,0,"RobinsonFouldsMetric",0.277067218932376,"sim--1037831270.msf",860838,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"23","ANNEALINGEvolK2P",TRUE,0,602,500,0,"KuhnerFelsenstein",0.00826351123344008,"sim--1037831270.msf",860838,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"24","SSEvolK2P",NA,NA,NA,301000,0,NA,NA,"sim--1037831270.msf",778356,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"25","ANNEALINGJC",TRUE,0,581,500,0,"ConsensusLogLL",-7772.2323965401,"sim--1037831270.msf",378554,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"26","ANNEALINGJC",TRUE,0,581,500,0,"BestSampledLogLL",-7774.87054794733,"sim--1037831270.msf",378554,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"27","ANNEALINGJC",TRUE,0,581,500,0,"PartitionMetric",0,"sim--1037831270.msf",378554,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"28","ANNEALINGJC",TRUE,0,581,500,0,"RobinsonFouldsMetric",0.259711177315381,"sim--1037831270.msf",378554,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"29","ANNEALINGJC",TRUE,0,581,500,0,"KuhnerFelsenstein",0.00727057550837957,"sim--1037831270.msf",378554,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"30","SSJC",NA,NA,NA,290500,0,NA,NA,"sim--1037831270.msf",364509,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"31","ANNEALINGEvolGTR",TRUE,0,688,500,0,"ConsensusLogLL",-7869.38679628046,"sim--1037831270.msf",1044243,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"32","ANNEALINGEvolGTR",TRUE,0,688,500,0,"BestSampledLogLL",-7723.20511102145,"sim--1037831270.msf",1044243,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"33","ANNEALINGEvolGTR",TRUE,0,688,500,0,"PartitionMetric",0,"sim--1037831270.msf",1044243,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"34","ANNEALINGEvolGTR",TRUE,0,688,500,0,"RobinsonFouldsMetric",0.269505717127914,"sim--1037831270.msf",1044243,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"35","ANNEALINGEvolGTR",TRUE,0,688,500,0,"KuhnerFelsenstein",0.00712573257821016,"sim--1037831270.msf",1044243,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"36","SSEvolGTR",NA,NA,NA,344000,0,NA,NA,"sim--1037831270.msf",967103,11,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"37","ANNEALINGEvolK2P",TRUE,0,622,500,0,"ConsensusLogLL",-7704.14075013047,"sim--1037831270.msf",866269,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"38","ANNEALINGEvolK2P",TRUE,0,622,500,0,"BestSampledLogLL",-7705.89440557636,"sim--1037831270.msf",866269,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"39","ANNEALINGEvolK2P",TRUE,0,622,500,0,"PartitionMetric",0,"sim--1037831270.msf",866269,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"40","ANNEALINGEvolK2P",TRUE,0,622,500,0,"RobinsonFouldsMetric",0.280211515138419,"sim--1037831270.msf",866269,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"41","ANNEALINGEvolK2P",TRUE,0,622,500,0,"KuhnerFelsenstein",0.00865280777697178,"sim--1037831270.msf",866269,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"42","SSEvolK2P",NA,NA,NA,311000,0,NA,NA,"sim--1037831270.msf",751202,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"43","ANNEALINGJC",TRUE,0,570,500,0,"ConsensusLogLL",-7776.03589281776,"sim--1037831270.msf",355292,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"44","ANNEALINGJC",TRUE,0,570,500,0,"BestSampledLogLL",-7778.51897805958,"sim--1037831270.msf",355292,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"45","ANNEALINGJC",TRUE,0,570,500,0,"PartitionMetric",0,"sim--1037831270.msf",355292,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"46","ANNEALINGJC",TRUE,0,570,500,0,"RobinsonFouldsMetric",0.320949286945701,"sim--1037831270.msf",355292,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"47","ANNEALINGJC",TRUE,0,570,500,0,"KuhnerFelsenstein",0.00979300411258039,"sim--1037831270.msf",355292,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"48","SSJC",NA,NA,NA,285000,0,NA,NA,"sim--1037831270.msf",394351,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"49","ANNEALINGEvolGTR",TRUE,0,698,500,0,"ConsensusLogLL",-7860.43210603415,"sim--1037831270.msf",1039782,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"50","ANNEALINGEvolGTR",TRUE,0,698,500,0,"BestSampledLogLL",-7713.86604553904,"sim--1037831270.msf",1039782,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"51","ANNEALINGEvolGTR",TRUE,0,698,500,0,"PartitionMetric",2,"sim--1037831270.msf",1039782,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"52","ANNEALINGEvolGTR",TRUE,0,698,500,0,"RobinsonFouldsMetric",0.310811851824188,"sim--1037831270.msf",1039782,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"53","ANNEALINGEvolGTR",TRUE,0,698,500,0,"KuhnerFelsenstein",0.0116165418777,"sim--1037831270.msf",1039782,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"54","SSEvolGTR",NA,NA,NA,349000,0,NA,NA,"sim--1037831270.msf",1008280,44,0.999,1000,10,304,10,"500 100000 500 100000 500 100000"
"55","ANNEALINGEvolK2P",TRUE,0,579,500,0,"ConsensusLogLL",-6875.93637243798,"sim--1814680554.msf",628732,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"56","ANNEALINGEvolK2P",TRUE,0,579,500,0,"BestSampledLogLL",-6877.97380043962,"sim--1814680554.msf",628732,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"57","ANNEALINGEvolK2P",TRUE,0,579,500,0,"PartitionMetric",2,"sim--1814680554.msf",628732,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"58","ANNEALINGEvolK2P",TRUE,0,579,500,0,"RobinsonFouldsMetric",0.16157424609013,"sim--1814680554.msf",628732,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"59","ANNEALINGEvolK2P",TRUE,0,579,500,0,"KuhnerFelsenstein",0.0040900500972116,"sim--1814680554.msf",628732,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"60","SSEvolK2P",NA,NA,NA,289500,0,NA,NA,"sim--1814680554.msf",576412,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"61","ANNEALINGJC",TRUE,0,570,500,0,"ConsensusLogLL",-6933.56675991417,"sim--1814680554.msf",306719,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"62","ANNEALINGJC",TRUE,0,570,500,0,"BestSampledLogLL",-6937.02384916503,"sim--1814680554.msf",306719,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"63","ANNEALINGJC",TRUE,0,570,500,0,"PartitionMetric",2,"sim--1814680554.msf",306719,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"64","ANNEALINGJC",TRUE,0,570,500,0,"RobinsonFouldsMetric",0.15289275068381,"sim--1814680554.msf",306719,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
"65","ANNEALINGJC",TRUE,0,570,500,0,"KuhnerFelsenstein",0.00203348851261403,"sim--1814680554.msf",306719,33,0.999,1000,10,301,10,"500 100000 500 100000 500 100000"
