"","#treeName","Method","logZ","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"1","sim--1814680554.msf.Rep0","ANNEALINGEvolK2P",-3468.17054160704,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"2","sim--1814680554.msf.Rep0","SSEvolK2P",-3473.31032143075,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"3","sim--1814680554.msf.Rep0","ANNEALINGJC",-3492.87298502721,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"4","sim--1814680554.msf.Rep0","SSJC",-3493.2898683862,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"5","sim--1814680554.msf.Rep0","ANNEALINGEvolGTR",-3488.45727125567,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"6","sim--1814680554.msf.Rep0","SSEvolGTR",-3496.71350369317,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"7","sim--1037831270.msf.Rep0","ANNEALINGEvolK2P",-3821.12010785881,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"8","sim--1037831270.msf.Rep0","SSEvolK2P",-3828.18094503728,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"9","sim--1037831270.msf.Rep0","ANNEALINGJC",-3853.56245627238,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"10","sim--1037831270.msf.Rep0","SSJC",-3853.33884757405,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"11","sim--1037831270.msf.Rep0","ANNEALINGEvolGTR",-3843.61866399675,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"12","sim--1037831270.msf.Rep0","SSEvolGTR",-3851.95176606526,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"13","sim--1684653628.msf.Rep0","ANNEALINGEvolK2P",-3860.66851533595,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"14","sim--1684653628.msf.Rep0","SSEvolK2P",-3864.78018869773,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"15","sim--1684653628.msf.Rep0","ANNEALINGJC",-3909.94799702979,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"16","sim--1684653628.msf.Rep0","SSJC",-3909.59402601155,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"17","sim--1684653628.msf.Rep0","ANNEALINGEvolGTR",-3883.64741832952,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"18","sim--1684653628.msf.Rep0","SSEvolGTR",-3893.03265305758,111,0.9999,500,10,308,10,"1000 100000 1000 100000 1000 100000"
"19","sim-1038568758.msf.Rep0","ANNEALINGEvolK2P",-3708.28814378278,111,0.9999,500,10,303,10,"1000 100000 1000 100000 1000 100000"
"20","sim-1038568758.msf.Rep0","SSEvolK2P",-3713.54795832292,111,0.9999,500,10,303,10,"1000 100000 1000 100000 1000 100000"
