"","#Method","Adaptive","AdaptiveType","T","IterScale","Repeat","Metric","Value","TreeName","Time","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"1","ANNEALINGEvolK2P",TRUE,0,1758,1000,0,"ConsensusLogLL",-3766.32556226235,"sim--1037831270.msf",1984327,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"2","ANNEALINGEvolK2P",TRUE,0,1758,1000,0,"BestSampledLogLL",-3767.97738452372,"sim--1037831270.msf",1984327,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"3","ANNEALINGEvolK2P",TRUE,0,1758,1000,0,"PartitionMetric",2,"sim--1037831270.msf",1984327,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"4","ANNEALINGEvolK2P",TRUE,0,1758,1000,0,"RobinsonFouldsMetric",0.337739608234441,"sim--1037831270.msf",1984327,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"5","ANNEALINGEvolK2P",TRUE,0,1758,1000,0,"KuhnerFelsenstein",0.0130047187055975,"sim--1037831270.msf",1984327,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"6","SSEvolK2P",NA,NA,NA,1758000,0,NA,NA,"sim--1037831270.msf",1435398,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"7","ANNEALINGJC",TRUE,0,1683,1000,0,"ConsensusLogLL",-3801.57252293054,"sim--1037831270.msf",738127,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"8","ANNEALINGJC",TRUE,0,1683,1000,0,"BestSampledLogLL",-3803.29583950043,"sim--1037831270.msf",738127,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"9","ANNEALINGJC",TRUE,0,1683,1000,0,"PartitionMetric",2,"sim--1037831270.msf",738127,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"10","ANNEALINGJC",TRUE,0,1683,1000,0,"RobinsonFouldsMetric",0.358086534870017,"sim--1037831270.msf",738127,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"11","ANNEALINGJC",TRUE,0,1683,1000,0,"KuhnerFelsenstein",0.0141864371291055,"sim--1037831270.msf",738127,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"12","SSJC",NA,NA,NA,1683000,0,NA,NA,"sim--1037831270.msf",741060,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"13","ANNEALINGEvolGTR",TRUE,0,2172,1000,0,"ConsensusLogLL",-3837.92997961059,"sim--1037831270.msf",2379574,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"14","ANNEALINGEvolGTR",TRUE,0,2172,1000,0,"BestSampledLogLL",-3768.50785046682,"sim--1037831270.msf",2379574,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"15","ANNEALINGEvolGTR",TRUE,0,2172,1000,0,"PartitionMetric",2,"sim--1037831270.msf",2379574,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"16","ANNEALINGEvolGTR",TRUE,0,2172,1000,0,"RobinsonFouldsMetric",0.351869608234441,"sim--1037831270.msf",2379574,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"17","ANNEALINGEvolGTR",TRUE,0,2172,1000,0,"KuhnerFelsenstein",0.0139900640040285,"sim--1037831270.msf",2379574,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"18","SSEvolGTR",NA,NA,NA,2172000,0,NA,NA,"sim--1037831270.msf",2142603,111,0.9999,500,10,304,10,"1000 100000 1000 100000 1000 100000"
"19","ANNEALINGEvolK2P",TRUE,0,1688,1000,0,"ConsensusLogLL",-3415.22338426691,"sim--1814680554.msf",1944360,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"20","ANNEALINGEvolK2P",TRUE,0,1688,1000,0,"BestSampledLogLL",-3416.51901914316,"sim--1814680554.msf",1944360,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"21","ANNEALINGEvolK2P",TRUE,0,1688,1000,0,"PartitionMetric",2,"sim--1814680554.msf",1944360,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"22","ANNEALINGEvolK2P",TRUE,0,1688,1000,0,"RobinsonFouldsMetric",0.239022550293647,"sim--1814680554.msf",1944360,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"23","ANNEALINGEvolK2P",TRUE,0,1688,1000,0,"KuhnerFelsenstein",0.00713741173949449,"sim--1814680554.msf",1944360,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"24","SSEvolK2P",NA,NA,NA,1688000,0,NA,NA,"sim--1814680554.msf",1399976,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"25","ANNEALINGJC",TRUE,0,1642,1000,0,"ConsensusLogLL",-3443.41042234617,"sim--1814680554.msf",737185,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"26","ANNEALINGJC",TRUE,0,1642,1000,0,"BestSampledLogLL",-3444.04075153162,"sim--1814680554.msf",737185,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"27","ANNEALINGJC",TRUE,0,1642,1000,0,"PartitionMetric",2,"sim--1814680554.msf",737185,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"28","ANNEALINGJC",TRUE,0,1642,1000,0,"RobinsonFouldsMetric",0.236811470546763,"sim--1814680554.msf",737185,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"29","ANNEALINGJC",TRUE,0,1642,1000,0,"KuhnerFelsenstein",0.00634223374714542,"sim--1814680554.msf",737185,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"30","SSJC",NA,NA,NA,1642000,0,NA,NA,"sim--1814680554.msf",723755,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"31","ANNEALINGEvolGTR",TRUE,0,2123,1000,0,"ConsensusLogLL",-3485.83277184742,"sim--1814680554.msf",2339893,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"32","ANNEALINGEvolGTR",TRUE,0,2123,1000,0,"BestSampledLogLL",-3416.42848540335,"sim--1814680554.msf",2339893,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"33","ANNEALINGEvolGTR",TRUE,0,2123,1000,0,"PartitionMetric",2,"sim--1814680554.msf",2339893,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"34","ANNEALINGEvolGTR",TRUE,0,2123,1000,0,"RobinsonFouldsMetric",0.241811470546763,"sim--1814680554.msf",2339893,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
"35","ANNEALINGEvolGTR",TRUE,0,2123,1000,0,"KuhnerFelsenstein",0.00684722711408782,"sim--1814680554.msf",2339893,111,0.9999,500,10,301,10,"1000 100000 1000 100000 1000 100000"
