"","treeName","modelByASMC","modelBySS"
"1","sim--1814680554.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"2","sim--1037831270.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"3","sim--1684653628.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"4","sim-1038568758.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"5","sim--1361242449.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"6","sim--209764974.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"7","sim-1963491310.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"8","sim--669109106.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"9","sim-1316668952.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"10","sim--947209301.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"11","sim--345697927.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"12","sim--714420091.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"13","sim--992520285.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"14","sim-1271357968.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"15","sim--22286748.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"16","sim-1640080131.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"17","sim-559442320.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"18","sim-624535610.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"19","sim-301124431.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"20","sim-947946789.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
