"","#treeName","Method","logZ","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"1","sim--968354913.msf.Rep0","ANNEALINGEvolK2P",-752.135262751581,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"2","sim--968354913.msf.Rep0","SSEvolK2P",-753.171354957173,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"3","sim--968354913.msf.Rep0","ANNEALINGJC",-755.866806326431,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"4","sim--968354913.msf.Rep0","SSJC",-755.901678589503,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"5","sim--968354913.msf.Rep0","ANNEALINGEvolGTR",-774.453556578654,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"6","sim--968354913.msf.Rep0","SSEvolGTR",-778.961704995997,33,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"7","sim--968354913.msf.Rep0","ANNEALINGEvolK2P",-752.601184816649,44,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"8","sim--968354913.msf.Rep0","SSEvolK2P",-752.803839384851,44,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"9","sim--968354913.msf.Rep0","ANNEALINGJC",-755.852725870554,44,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"10","sim--968354913.msf.Rep0","SSJC",-756.110077799572,44,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"11","sim--968354913.msf.Rep0","ANNEALINGEvolGTR",-774.669594237606,44,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"12","sim--968354913.msf.Rep0","SSEvolGTR",-779.34463191259,44,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"13","sim--968354913.msf.Rep0","ANNEALINGEvolK2P",-753.071805288402,77,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"14","sim--968354913.msf.Rep0","SSEvolK2P",-753.012204665772,77,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"15","sim--968354913.msf.Rep0","ANNEALINGJC",-755.679040739435,77,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"16","sim--968354913.msf.Rep0","SSJC",-756.064803351176,77,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"17","sim--968354913.msf.Rep0","ANNEALINGEvolGTR",-774.498423258669,77,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"18","sim--968354913.msf.Rep0","SSEvolGTR",-779.084214064914,77,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"19","sim--968354913.msf.Rep0","ANNEALINGEvolK2P",-751.952067341901,11,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"20","sim--968354913.msf.Rep0","SSEvolK2P",-752.871747109954,11,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"21","sim--968354913.msf.Rep0","ANNEALINGJC",-755.718368656919,11,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"22","sim--968354913.msf.Rep0","SSJC",-755.909611167629,11,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"23","sim--968354913.msf.Rep0","ANNEALINGEvolGTR",-774.706610179735,11,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"24","sim--968354913.msf.Rep0","SSEvolGTR",-779.193601614018,11,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"25","sim--968354913.msf.Rep0","ANNEALINGEvolK2P",-752.980554276683,22,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"26","sim--968354913.msf.Rep0","SSEvolK2P",-752.85171596182,22,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"27","sim--968354913.msf.Rep0","ANNEALINGJC",-755.942600944198,22,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"28","sim--968354913.msf.Rep0","SSJC",-755.935437657474,22,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"29","sim--968354913.msf.Rep0","ANNEALINGEvolGTR",-774.263588988223,22,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"30","sim--968354913.msf.Rep0","SSEvolGTR",-778.986124512974,22,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"31","sim--968354913.msf.Rep0","ANNEALINGEvolK2P",-752.245186253651,99,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"32","sim--968354913.msf.Rep0","SSEvolK2P",-753.312665812749,99,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"33","sim--968354913.msf.Rep0","ANNEALINGJC",-755.962597227043,99,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"34","sim--968354913.msf.Rep0","SSJC",-756.037418510387,99,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"35","sim--968354913.msf.Rep0","ANNEALINGEvolGTR",-774.595641199119,99,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"36","sim--968354913.msf.Rep0","SSEvolGTR",-779.085190637939,99,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"37","sim--968354913.msf.Rep0","ANNEALINGEvolK2P",-751.940841505289,100,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"38","sim--968354913.msf.Rep0","SSEvolK2P",-752.848583352608,100,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"39","sim--968354913.msf.Rep0","ANNEALINGJC",-755.813154389444,100,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"40","sim--968354913.msf.Rep0","SSJC",-756.205103524572,100,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"41","sim--968354913.msf.Rep0","ANNEALINGEvolGTR",-774.582050615351,100,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"42","sim--968354913.msf.Rep0","SSEvolGTR",-778.986718662748,100,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"43","sim--968354913.msf.Rep0","ANNEALINGEvolK2P",-752.493248453243,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"44","sim--968354913.msf.Rep0","SSEvolK2P",-752.978872373673,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"45","sim--968354913.msf.Rep0","ANNEALINGJC",-755.879525603424,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"46","sim--968354913.msf.Rep0","SSJC",-756.182670715212,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"47","sim--968354913.msf.Rep0","ANNEALINGEvolGTR",-774.324992460652,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"48","sim--968354913.msf.Rep0","SSEvolGTR",-779.371781861674,66,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"49","sim--968354913.msf.Rep0","ANNEALINGEvolK2P",-752.218095617782,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"50","sim--968354913.msf.Rep0","SSEvolK2P",-753.125145267697,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"51","sim--968354913.msf.Rep0","ANNEALINGJC",-755.791480396711,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"52","sim--968354913.msf.Rep0","SSJC",-756.075102686583,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"53","sim--968354913.msf.Rep0","ANNEALINGEvolGTR",-774.737833778426,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"54","sim--968354913.msf.Rep0","SSEvolGTR",-779.027113001257,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"55","sim--968354913.msf.Rep0","ANNEALINGEvolK2P",-752.809239483269,88,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"56","sim--968354913.msf.Rep0","SSEvolK2P",-753.007075497324,88,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"57","sim--968354913.msf.Rep0","ANNEALINGJC",-756.024561437386,88,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"58","sim--968354913.msf.Rep0","SSJC",-756.079306501928,88,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"59","sim--968354913.msf.Rep0","ANNEALINGEvolGTR",-774.393670738583,88,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"60","sim--968354913.msf.Rep0","SSEvolGTR",-779.023831868056,88,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
