"","#Method","Adaptive","AdaptiveType","T","IterScale","Repeat","Metric","Value","TreeName","Time","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"1","ANNEALINGEvolK2P",TRUE,0,3802,1000,0,"ConsensusLogLL",-713.443303973983,"sim--968354913.msf",1104551,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"2","ANNEALINGEvolK2P",TRUE,0,3802,1000,0,"BestSampledLogLL",-713.822820017051,"sim--968354913.msf",1104551,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"3","ANNEALINGEvolK2P",TRUE,0,3802,1000,0,"PartitionMetric",4,"sim--968354913.msf",1104551,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"4","ANNEALINGEvolK2P",TRUE,0,3802,1000,0,"RobinsonFouldsMetric",0.520102364137181,"sim--968354913.msf",1104551,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"5","ANNEALINGEvolK2P",TRUE,0,3802,1000,0,"KuhnerFelsenstein",0.0209644369466467,"sim--968354913.msf",1104551,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"6","SSEvolK2P",NA,NA,NA,3802000,0,NA,NA,"sim--968354913.msf",1021199,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"7","ANNEALINGJC",TRUE,0,3717,1000,0,"ConsensusLogLL",-718.809775950111,"sim--968354913.msf",694973,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"8","ANNEALINGJC",TRUE,0,3717,1000,0,"BestSampledLogLL",-719.01363545807,"sim--968354913.msf",694973,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"9","ANNEALINGJC",TRUE,0,3717,1000,0,"PartitionMetric",4,"sim--968354913.msf",694973,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"10","ANNEALINGJC",TRUE,0,3717,1000,0,"RobinsonFouldsMetric",0.506286650008443,"sim--968354913.msf",694973,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"11","ANNEALINGJC",TRUE,0,3717,1000,0,"KuhnerFelsenstein",0.019329101937339,"sim--968354913.msf",694973,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"12","SSJC",NA,NA,NA,3717000,0,NA,NA,"sim--968354913.msf",603765,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"13","ANNEALINGEvolGTR",TRUE,0,5379,1000,0,"ConsensusLogLL",-730.205317408974,"sim--968354913.msf",2262065,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"14","ANNEALINGEvolGTR",TRUE,0,5379,1000,0,"BestSampledLogLL",-714.968872370163,"sim--968354913.msf",2262065,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"15","ANNEALINGEvolGTR",TRUE,0,5379,1000,0,"PartitionMetric",4,"sim--968354913.msf",2262065,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"16","ANNEALINGEvolGTR",TRUE,0,5379,1000,0,"RobinsonFouldsMetric",0.534122364137181,"sim--968354913.msf",2262065,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"17","ANNEALINGEvolGTR",TRUE,0,5379,1000,0,"KuhnerFelsenstein",0.0208858344255013,"sim--968354913.msf",2262065,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"18","SSEvolGTR",NA,NA,NA,5379000,0,NA,NA,"sim--968354913.msf",2127813,55,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"19","ANNEALINGEvolK2P",TRUE,0,3868,1000,0,"ConsensusLogLL",-713.418230671251,"sim--968354913.msf",1113556,11,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"20","ANNEALINGEvolK2P",TRUE,0,3868,1000,0,"BestSampledLogLL",-714.48071248662,"sim--968354913.msf",1113556,11,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"21","ANNEALINGEvolK2P",TRUE,0,3868,1000,0,"PartitionMetric",4,"sim--968354913.msf",1113556,11,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"22","ANNEALINGEvolK2P",TRUE,0,3868,1000,0,"RobinsonFouldsMetric",0.528752364137181,"sim--968354913.msf",1113556,11,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"23","ANNEALINGEvolK2P",TRUE,0,3868,1000,0,"KuhnerFelsenstein",0.0212020491359212,"sim--968354913.msf",1113556,11,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"24","SSEvolK2P",NA,NA,NA,3868000,0,NA,NA,"sim--968354913.msf",1029747,11,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"25","ANNEALINGJC",TRUE,0,3730,1000,0,"ConsensusLogLL",-718.895196204325,"sim--968354913.msf",688505,11,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
"26","ANNEALINGJC",TRUE,0,3730,1000,0,"BestSampledLogLL",-719.505100289733,"sim--968354913.msf",688505,11,0.99999,100,10,13199,10,"1000 100000 1000 100000 1000 100000"
