"","#treeName","Method","logZ","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"1","sim--1315931464.msf.Rep0","ANNEALINGEvolK2P",-2914.22594436069,7181,0.99995,1000,10,291,10,"100 100000 100 100000 100 100000"
"2","sim--1315931464.msf.Rep0","SSEvolK2P",-2912.62360776324,7181,0.99995,1000,10,291,10,"100 100000 100 100000 100 100000"
"3","sim--1315931464.msf.Rep0","ANNEALINGJC",-2910.19497569762,7181,0.99995,1000,10,291,10,"100 100000 100 100000 100 100000"
"4","sim--1315931464.msf.Rep0","SSJC",-2909.94708548424,7181,0.99995,1000,10,291,10,"100 100000 100 100000 100 100000"
"5","sim--1315931464.msf.Rep0","ANNEALINGEvolGTR",-2928.60482187296,7181,0.99995,1000,10,291,10,"100 100000 100 100000 100 100000"
"6","sim--1315931464.msf.Rep0","SSEvolGTR",-2934.79060893789,7181,0.99995,1000,10,291,10,"100 100000 100 100000 100 100000"
"7","sim--1095610830.msf.Rep0","ANNEALINGEvolK2P",-3711.09701158414,7181,0.99995,1000,10,221,10,"100 100000 100 100000 100 100000"
"8","sim--1095610830.msf.Rep0","SSEvolK2P",-3712.15099210142,7181,0.99995,1000,10,221,10,"100 100000 100 100000 100 100000"
"9","sim--1095610830.msf.Rep0","ANNEALINGJC",-3710.95176991362,7181,0.99995,1000,10,221,10,"100 100000 100 100000 100 100000"
"10","sim--1095610830.msf.Rep0","SSJC",-3709.31576308461,7181,0.99995,1000,10,221,10,"100 100000 100 100000 100 100000"
"11","sim--1095610830.msf.Rep0","ANNEALINGEvolGTR",-3732.25317708258,7181,0.99995,1000,10,221,10,"100 100000 100 100000 100 100000"
"12","sim--1095610830.msf.Rep0","SSEvolGTR",-3739.25240226512,7181,0.99995,1000,10,221,10,"100 100000 100 100000 100 100000"
"13","sim--2020533382.msf.Rep0","ANNEALINGEvolK2P",-3334.18480313371,7181,0.99995,1000,10,240,10,"100 100000 100 100000 100 100000"
"14","sim--2020533382.msf.Rep0","SSEvolK2P",-3336.85384520403,7181,0.99995,1000,10,240,10,"100 100000 100 100000 100 100000"
"15","sim--2020533382.msf.Rep0","ANNEALINGJC",-3330.024378142,7181,0.99995,1000,10,240,10,"100 100000 100 100000 100 100000"
"16","sim--2020533382.msf.Rep0","SSJC",-3331.71237365404,7181,0.99995,1000,10,240,10,"100 100000 100 100000 100 100000"
"17","sim--2020533382.msf.Rep0","ANNEALINGEvolGTR",-3332.42931724411,7181,0.99995,1000,10,240,10,"100 100000 100 100000 100 100000"
"18","sim--2020533382.msf.Rep0","SSEvolGTR",-3337.86205992494,7181,0.99995,1000,10,240,10,"100 100000 100 100000 100 100000"
"19","sim--1787744172.msf.Rep0","ANNEALINGEvolK2P",-3383.98109901706,7181,0.99995,1000,10,212,10,"100 100000 100 100000 100 100000"
"20","sim--1787744172.msf.Rep0","SSEvolK2P",-3384.45340742449,7181,0.99995,1000,10,212,10,"100 100000 100 100000 100 100000"
"21","sim--1787744172.msf.Rep0","ANNEALINGJC",-3380.77362717111,7181,0.99995,1000,10,212,10,"100 100000 100 100000 100 100000"
"22","sim--1787744172.msf.Rep0","SSJC",-3380.59042111399,7181,0.99995,1000,10,212,10,"100 100000 100 100000 100 100000"
"23","sim--1787744172.msf.Rep0","ANNEALINGEvolGTR",-3380.6274473351,7181,0.99995,1000,10,212,10,"100 100000 100 100000 100 100000"
"24","sim--1787744172.msf.Rep0","SSEvolGTR",-3388.07155389928,7181,0.99995,1000,10,212,10,"100 100000 100 100000 100 100000"
"25","sim--1775275597.msf.Rep0","ANNEALINGEvolK2P",-3295.73700989834,7181,0.99995,1000,10,286,10,"100 100000 100 100000 100 100000"
"26","sim--1775275597.msf.Rep0","SSEvolK2P",-3295.65227981446,7181,0.99995,1000,10,286,10,"100 100000 100 100000 100 100000"
"27","sim--1775275597.msf.Rep0","ANNEALINGJC",-3290.10835291107,7181,0.99995,1000,10,286,10,"100 100000 100 100000 100 100000"
"28","sim--1775275597.msf.Rep0","SSJC",-3291.17212504467,7181,0.99995,1000,10,286,10,"100 100000 100 100000 100 100000"
"29","sim--1775275597.msf.Rep0","ANNEALINGEvolGTR",-3319.05378634075,7181,0.99995,1000,10,286,10,"100 100000 100 100000 100 100000"
"30","sim--1775275597.msf.Rep0","SSEvolGTR",-3325.37288753219,7181,0.99995,1000,10,286,10,"100 100000 100 100000 100 100000"
"31","sim--2098686776.msf.Rep0","ANNEALINGEvolK2P",-3969.90867002588,7181,0.99995,1000,10,284,10,"100 100000 100 100000 100 100000"
"32","sim--2098686776.msf.Rep0","SSEvolK2P",-3970.71787115308,7181,0.99995,1000,10,284,10,"100 100000 100 100000 100 100000"
"33","sim--2098686776.msf.Rep0","ANNEALINGJC",-3965.8808235548,7181,0.99995,1000,10,284,10,"100 100000 100 100000 100 100000"
"34","sim--2098686776.msf.Rep0","SSJC",-3966.02717250748,7181,0.99995,1000,10,284,10,"100 100000 100 100000 100 100000"
"35","sim--2098686776.msf.Rep0","ANNEALINGEvolGTR",-3987.69768639318,7181,0.99995,1000,10,284,10,"100 100000 100 100000 100 100000"
"36","sim--2098686776.msf.Rep0","SSEvolGTR",-3997.29566703825,7181,0.99995,1000,10,284,10,"100 100000 100 100000 100 100000"
"37","sim--1929911413.msf.Rep0","ANNEALINGEvolK2P",-3673.0194993634,7181,0.99995,1000,10,238,10,"100 100000 100 100000 100 100000"
"38","sim--1929911413.msf.Rep0","SSEvolK2P",-3676.51219296902,7181,0.99995,1000,10,238,10,"100 100000 100 100000 100 100000"
"39","sim--1929911413.msf.Rep0","ANNEALINGJC",-3669.11946057024,7181,0.99995,1000,10,238,10,"100 100000 100 100000 100 100000"
"40","sim--1929911413.msf.Rep0","SSJC",-3668.09799088059,7181,0.99995,1000,10,238,10,"100 100000 100 100000 100 100000"
"41","sim--1929911413.msf.Rep0","ANNEALINGEvolGTR",-3688.30958630874,7181,0.99995,1000,10,238,10,"100 100000 100 100000 100 100000"
"42","sim--1929911413.msf.Rep0","SSEvolGTR",-3695.02799889034,7181,0.99995,1000,10,238,10,"100 100000 100 100000 100 100000"
"43","sim--1651811219.msf.Rep0","ANNEALINGEvolK2P",-3721.43974304615,7181,0.99995,1000,10,255,10,"100 100000 100 100000 100 100000"
"44","sim--1651811219.msf.Rep0","SSEvolK2P",-3723.04005858907,7181,0.99995,1000,10,255,10,"100 100000 100 100000 100 100000"
"45","sim--1651811219.msf.Rep0","ANNEALINGJC",-3718.17487234211,7181,0.99995,1000,10,255,10,"100 100000 100 100000 100 100000"
"46","sim--1651811219.msf.Rep0","SSJC",-3718.22548960235,7181,0.99995,1000,10,255,10,"100 100000 100 100000 100 100000"
"47","sim--1651811219.msf.Rep0","ANNEALINGEvolGTR",-3744.79797817074,7181,0.99995,1000,10,255,10,"100 100000 100 100000 100 100000"
"48","sim--1651811219.msf.Rep0","SSEvolGTR",-3751.52342279909,7181,0.99995,1000,10,255,10,"100 100000 100 100000 100 100000"
"49","sim--1729964612.msf.Rep0","ANNEALINGEvolK2P",-3884.35081250683,7181,0.99995,1000,10,267,10,"100 100000 100 100000 100 100000"
"50","sim--1729964612.msf.Rep0","SSEvolK2P",-3882.53965641454,7181,0.99995,1000,10,267,10,"100 100000 100 100000 100 100000"
"51","sim--1729964612.msf.Rep0","ANNEALINGJC",-3879.96199703029,7181,0.99995,1000,10,267,10,"100 100000 100 100000 100 100000"
"52","sim--1729964612.msf.Rep0","SSJC",-3879.59924651818,7181,0.99995,1000,10,267,10,"100 100000 100 100000 100 100000"
"53","sim--1729964612.msf.Rep0","ANNEALINGEvolGTR",-3896.80779148871,7181,0.99995,1000,10,267,10,"100 100000 100 100000 100 100000"
"54","sim--1729964612.msf.Rep0","SSEvolGTR",-3906.21048942739,7181,0.99995,1000,10,267,10,"100 100000 100 100000 100 100000"
"55","sim--1050299845.msf.Rep0","ANNEALINGEvolK2P",-3238.84240682022,7181,0.99995,1000,10,206,10,"100 100000 100 100000 100 100000"
"56","sim--1050299845.msf.Rep0","SSEvolK2P",-3241.10587916013,7181,0.99995,1000,10,206,10,"100 100000 100 100000 100 100000"
"57","sim--1050299845.msf.Rep0","ANNEALINGJC",-3235.65463926977,7181,0.99995,1000,10,206,10,"100 100000 100 100000 100 100000"
"58","sim--1050299845.msf.Rep0","SSJC",-3235.35282112017,7181,0.99995,1000,10,206,10,"100 100000 100 100000 100 100000"
"59","sim--1050299845.msf.Rep0","ANNEALINGEvolGTR",-3252.58319081139,7181,0.99995,1000,10,206,10,"100 100000 100 100000 100 100000"
"60","sim--1050299845.msf.Rep0","SSEvolGTR",-3261.75696524595,7181,0.99995,1000,10,206,10,"100 100000 100 100000 100 100000"
"61","sim--1451864418.msf.Rep0","ANNEALINGEvolK2P",-3599.67131141076,7181,0.99995,1000,10,280,10,"100 100000 100 100000 100 100000"
"62","sim--1451864418.msf.Rep0","SSEvolK2P",-3599.19300554203,7181,0.99995,1000,10,280,10,"100 100000 100 100000 100 100000"
"63","sim--1451864418.msf.Rep0","ANNEALINGJC",-3598.10978923549,7181,0.99995,1000,10,280,10,"100 100000 100 100000 100 100000"
"64","sim--1451864418.msf.Rep0","SSJC",-3598.06505324121,7181,0.99995,1000,10,280,10,"100 100000 100 100000 100 100000"
"65","sim--1451864418.msf.Rep0","ANNEALINGEvolGTR",-3606.15547454519,7181,0.99995,1000,10,280,10,"100 100000 100 100000 100 100000"
"66","sim--1451864418.msf.Rep0","SSEvolGTR",-3615.41338078057,7181,0.99995,1000,10,280,10,"100 100000 100 100000 100 100000"
"67","sim--2143997760.msf.Rep0","ANNEALINGEvolK2P",-3641.67290399233,7181,0.99995,1000,10,275,10,"100 100000 100 100000 100 100000"
"68","sim--2143997760.msf.Rep0","SSEvolK2P",-3642.56881018124,7181,0.99995,1000,10,275,10,"100 100000 100 100000 100 100000"
"69","sim--2143997760.msf.Rep0","ANNEALINGJC",-3638.79368424277,7181,0.99995,1000,10,275,10,"100 100000 100 100000 100 100000"
"70","sim--2143997760.msf.Rep0","SSJC",-3640.44671604423,7181,0.99995,1000,10,275,10,"100 100000 100 100000 100 100000"
"71","sim--2143997760.msf.Rep0","ANNEALINGEvolGTR",-3661.91054788329,7181,0.99995,1000,10,275,10,"100 100000 100 100000 100 100000"
"72","sim--2143997760.msf.Rep0","SSEvolGTR",-3667.23401341697,7181,0.99995,1000,10,275,10,"100 100000 100 100000 100 100000"
"73","sim--1962753822.msf.Rep0","ANNEALINGEvolK2P",-3795.26780992899,7181,0.99995,1000,10,295,10,"100 100000 100 100000 100 100000"
"74","sim--1962753822.msf.Rep0","SSEvolK2P",-3794.34752190735,7181,0.99995,1000,10,295,10,"100 100000 100 100000 100 100000"
"75","sim--1962753822.msf.Rep0","ANNEALINGJC",-3794.54882893471,7181,0.99995,1000,10,295,10,"100 100000 100 100000 100 100000"
"76","sim--1962753822.msf.Rep0","SSJC",-3790.1490197902,7181,0.99995,1000,10,295,10,"100 100000 100 100000 100 100000"
"77","sim--1962753822.msf.Rep0","ANNEALINGEvolGTR",-3819.16355496519,7181,0.99995,1000,10,295,10,"100 100000 100 100000 100 100000"
"78","sim--1962753822.msf.Rep0","SSEvolGTR",-3823.41451012835,7181,0.99995,1000,10,295,10,"100 100000 100 100000 100 100000"
"79","sim--1270620480.msf.Rep0","ANNEALINGEvolK2P",-4214.72996387316,7181,0.99995,1000,10,300,10,"100 100000 100 100000 100 100000"
"80","sim--1270620480.msf.Rep0","SSEvolK2P",-4217.50739355555,7181,0.99995,1000,10,300,10,"100 100000 100 100000 100 100000"
"81","sim--1270620480.msf.Rep0","ANNEALINGJC",-4208.86514114815,7181,0.99995,1000,10,300,10,"100 100000 100 100000 100 100000"
"82","sim--1270620480.msf.Rep0","SSJC",-4210.53131691718,7181,0.99995,1000,10,300,10,"100 100000 100 100000 100 100000"
"83","sim--1270620480.msf.Rep0","ANNEALINGEvolGTR",-4239.93128645054,7181,0.99995,1000,10,300,10,"100 100000 100 100000 100 100000"
"84","sim--1270620480.msf.Rep0","SSEvolGTR",-4247.34066678777,7181,0.99995,1000,10,300,10,"100 100000 100 100000 100 100000"
"85","sim--1140921814.msf.Rep0","ANNEALINGEvolK2P",-3343.12813872001,7181,0.99995,1000,10,208,10,"100 100000 100 100000 100 100000"
"86","sim--1140921814.msf.Rep0","SSEvolK2P",-3340.03585803007,7181,0.99995,1000,10,208,10,"100 100000 100 100000 100 100000"
"87","sim--1140921814.msf.Rep0","ANNEALINGJC",-3340.46046688844,7181,0.99995,1000,10,208,10,"100 100000 100 100000 100 100000"
"88","sim--1140921814.msf.Rep0","SSJC",-3337.87464887904,7181,0.99995,1000,10,208,10,"100 100000 100 100000 100 100000"
"89","sim--1140921814.msf.Rep0","ANNEALINGEvolGTR",-3358.07835471071,7181,0.99995,1000,10,208,10,"100 100000 100 100000 100 100000"
"90","sim--1140921814.msf.Rep0","SSEvolGTR",-3366.44184318549,7181,0.99995,1000,10,208,10,"100 100000 100 100000 100 100000"
"91","sim--1128453239.msf.Rep0","ANNEALINGEvolK2P",-3642.62294910525,7181,0.99995,1000,10,282,10,"100 100000 100 100000 100 100000"
"92","sim--1128453239.msf.Rep0","SSEvolK2P",-3643.7988799968,7181,0.99995,1000,10,282,10,"100 100000 100 100000 100 100000"
"93","sim--1128453239.msf.Rep0","ANNEALINGJC",-3636.52197283013,7181,0.99995,1000,10,282,10,"100 100000 100 100000 100 100000"
"94","sim--1128453239.msf.Rep0","SSJC",-3638.20357298569,7181,0.99995,1000,10,282,10,"100 100000 100 100000 100 100000"
"95","sim--1128453239.msf.Rep0","ANNEALINGEvolGTR",-3666.87156063648,7181,0.99995,1000,10,282,10,"100 100000 100 100000 100 100000"
"96","sim--1128453239.msf.Rep0","SSEvolGTR",-3671.32152139544,7181,0.99995,1000,10,282,10,"100 100000 100 100000 100 100000"
"97","sim--1697122203.msf.Rep0","ANNEALINGEvolK2P",-3384.52833290855,7181,0.99995,1000,10,242,10,"100 100000 100 100000 100 100000"
"98","sim--1697122203.msf.Rep0","SSEvolK2P",-3383.2408821157,7181,0.99995,1000,10,242,10,"100 100000 100 100000 100 100000"
"99","sim--1697122203.msf.Rep0","ANNEALINGJC",-3381.92321422278,7181,0.99995,1000,10,242,10,"100 100000 100 100000 100 100000"
"100","sim--1697122203.msf.Rep0","SSJC",-3380.33264240016,7181,0.99995,1000,10,242,10,"100 100000 100 100000 100 100000"
"101","sim--1697122203.msf.Rep0","ANNEALINGEvolGTR",-3400.16052891987,7181,0.99995,1000,10,242,10,"100 100000 100 100000 100 100000"
"102","sim--1697122203.msf.Rep0","SSEvolGTR",-3407.28247692282,7181,0.99995,1000,10,242,10,"100 100000 100 100000 100 100000"
"103","sim--1606500234.msf.Rep0","ANNEALINGEvolK2P",-3779.58264865741,7181,0.99995,1000,10,232,10,"100 100000 100 100000 100 100000"
"104","sim--1606500234.msf.Rep0","SSEvolK2P",-3781.13747158623,7181,0.99995,1000,10,232,10,"100 100000 100 100000 100 100000"
"105","sim--1606500234.msf.Rep0","ANNEALINGJC",-3776.21288019243,7181,0.99995,1000,10,232,10,"100 100000 100 100000 100 100000"
"106","sim--1606500234.msf.Rep0","SSJC",-3775.7399418117,7181,0.99995,1000,10,232,10,"100 100000 100 100000 100 100000"
"107","sim--1606500234.msf.Rep0","ANNEALINGEvolGTR",-3792.72619063354,7181,0.99995,1000,10,232,10,"100 100000 100 100000 100 100000"
"108","sim--1606500234.msf.Rep0","SSEvolGTR",-3799.74705317257,7181,0.99995,1000,10,232,10,"100 100000 100 100000 100 100000"
"109","sim--1464332993.msf.Rep0","ANNEALINGEvolK2P",-3351.86916974022,7181,0.99995,1000,10,214,10,"100 100000 100 100000 100 100000"
"110","sim--1464332993.msf.Rep0","SSEvolK2P",-3353.05649178208,7181,0.99995,1000,10,214,10,"100 100000 100 100000 100 100000"
"111","sim--1464332993.msf.Rep0","ANNEALINGJC",-3350.08284259992,7181,0.99995,1000,10,214,10,"100 100000 100 100000 100 100000"
"112","sim--1464332993.msf.Rep0","SSJC",-3350.18729421253,7181,0.99995,1000,10,214,10,"100 100000 100 100000 100 100000"
"113","sim--1464332993.msf.Rep0","ANNEALINGEvolGTR",-3372.13840705799,7181,0.99995,1000,10,214,10,"100 100000 100 100000 100 100000"
