"","#Method","Adaptive","AdaptiveType","T","IterScale","Repeat","Metric","Value","TreeName","Time","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"1","ANNEALINGEvolK2P",TRUE,0,2394,100,0,"ConsensusLogLL",-3256.89621263925,"sim--1775275597.msf",425824,7181,0.99995,1000,10,286,10,"100 100000 100 100000 100 100000"
"2","ANNEALINGEvolK2P",TRUE,0,2394,100,0,"BestSampledLogLL",-3238.44383035477,"sim--1775275597.msf",425824,7181,0.99995,1000,10,286,10,"100 100000 100 100000 100 100000"
"3","ANNEALINGEvolK2P",TRUE,0,2394,100,0,"PartitionMetric",0,"sim--1775275597.msf",425824,7181,0.99995,1000,10,286,10,"100 100000 100 100000 100 100000"
"4","ANNEALINGEvolK2P",TRUE,0,2394,100,0,"RobinsonFouldsMetric",0.0605228508603973,"sim--1775275597.msf",425824,7181,0.99995,1000,10,286,10,"100 100000 100 100000 100 100000"
"5","ANNEALINGEvolK2P",TRUE,0,2394,100,0,"KuhnerFelsenstein",0.000365080723447861,"sim--1775275597.msf",425824,7181,0.99995,1000,10,286,10,"100 100000 100 100000 100 100000"
"6","SSEvolK2P",NA,NA,NA,239400,0,NA,NA,"sim--1775275597.msf",399728,7181,0.99995,1000,10,286,10,"100 100000 100 100000 100 100000"
"7","ANNEALINGJC",TRUE,0,2452,100,0,"ConsensusLogLL",-3234.50185003791,"sim--1775275597.msf",204609,7181,0.99995,1000,10,286,10,"100 100000 100 100000 100 100000"
"8","ANNEALINGJC",TRUE,0,2452,100,0,"BestSampledLogLL",-3237.45652212036,"sim--1775275597.msf",204609,7181,0.99995,1000,10,286,10,"100 100000 100 100000 100 100000"
"9","ANNEALINGJC",TRUE,0,2452,100,0,"PartitionMetric",0,"sim--1775275597.msf",204609,7181,0.99995,1000,10,286,10,"100 100000 100 100000 100 100000"
"10","ANNEALINGJC",TRUE,0,2452,100,0,"RobinsonFouldsMetric",0.0580128508603972,"sim--1775275597.msf",204609,7181,0.99995,1000,10,286,10,"100 100000 100 100000 100 100000"
"11","ANNEALINGJC",TRUE,0,2452,100,0,"KuhnerFelsenstein",0.000363075286495841,"sim--1775275597.msf",204609,7181,0.99995,1000,10,286,10,"100 100000 100 100000 100 100000"
"12","SSJC",NA,NA,NA,245200,0,NA,NA,"sim--1775275597.msf",199285,7181,0.99995,1000,10,286,10,"100 100000 100 100000 100 100000"
"13","ANNEALINGEvolGTR",TRUE,0,3021,100,0,"ConsensusLogLL",-3247.52958695797,"sim--1775275597.msf",574482,7181,0.99995,1000,10,286,10,"100 100000 100 100000 100 100000"
"14","ANNEALINGEvolGTR",TRUE,0,3021,100,0,"BestSampledLogLL",-3241.15070239606,"sim--1775275597.msf",574482,7181,0.99995,1000,10,286,10,"100 100000 100 100000 100 100000"
"15","ANNEALINGEvolGTR",TRUE,0,3021,100,0,"PartitionMetric",0,"sim--1775275597.msf",574482,7181,0.99995,1000,10,286,10,"100 100000 100 100000 100 100000"
