"","treeName","modelByASMC","modelBySS"
"1","sim--1315931464.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"2","sim--1095610830.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"3","sim--2020533382.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"4","sim--1787744172.msf.Rep0","ANNEALINGEvolGTR","SSEvolK2P"
"5","sim--1775275597.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"6","sim--2098686776.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"7","sim--1929911413.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"8","sim--1651811219.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"9","sim--1729964612.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"10","sim--1050299845.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"11","sim--1451864418.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"12","sim--2143997760.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"13","sim--1962753822.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"14","sim--1270620480.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"15","sim--1140921814.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"16","sim--1128453239.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"17","sim--1697122203.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"18","sim--1606500234.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"19","sim--1464332993.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"20","sim--1083142254.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"21","sim--1406553433.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"22","sim--2111155351.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
