"","#Method","Adaptive","AdaptiveType","T","IterScale","Repeat","Metric","Value","TreeName","Time","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"1","ANNEALINGEvolK2P",TRUE,0,1200,100,0,"ConsensusLogLL",-651.759231727519,"sim--1373711024.msf",61652,7181,0.9999,100,10,204,10,"100 100000 100 100000 100 100000"
"2","ANNEALINGEvolK2P",TRUE,0,1200,100,0,"BestSampledLogLL",-648.424868196838,"sim--1373711024.msf",61652,7181,0.9999,100,10,204,10,"100 100000 100 100000 100 100000"
"3","ANNEALINGEvolK2P",TRUE,0,1200,100,0,"PartitionMetric",2,"sim--1373711024.msf",61652,7181,0.9999,100,10,204,10,"100 100000 100 100000 100 100000"
"4","ANNEALINGEvolK2P",TRUE,0,1200,100,0,"RobinsonFouldsMetric",0.362471415031331,"sim--1373711024.msf",61652,7181,0.9999,100,10,204,10,"100 100000 100 100000 100 100000"
"5","ANNEALINGEvolK2P",TRUE,0,1200,100,0,"KuhnerFelsenstein",0.0131883739681827,"sim--1373711024.msf",61652,7181,0.9999,100,10,204,10,"100 100000 100 100000 100 100000"
"6","SSEvolK2P",NA,NA,NA,120000,0,NA,NA,"sim--1373711024.msf",50858,7181,0.9999,100,10,204,10,"100 100000 100 100000 100 100000"
"7","ANNEALINGJC",TRUE,0,1107,100,0,"ConsensusLogLL",-645.339754838212,"sim--1373711024.msf",28192,7181,0.9999,100,10,204,10,"100 100000 100 100000 100 100000"
"8","ANNEALINGJC",TRUE,0,1107,100,0,"BestSampledLogLL",-648.738332290874,"sim--1373711024.msf",28192,7181,0.9999,100,10,204,10,"100 100000 100 100000 100 100000"
"9","ANNEALINGJC",TRUE,0,1107,100,0,"PartitionMetric",2,"sim--1373711024.msf",28192,7181,0.9999,100,10,204,10,"100 100000 100 100000 100 100000"
"10","ANNEALINGJC",TRUE,0,1107,100,0,"RobinsonFouldsMetric",0.37277833988766,"sim--1373711024.msf",28192,7181,0.9999,100,10,204,10,"100 100000 100 100000 100 100000"
"11","ANNEALINGJC",TRUE,0,1107,100,0,"KuhnerFelsenstein",0.013622039474949,"sim--1373711024.msf",28192,7181,0.9999,100,10,204,10,"100 100000 100 100000 100 100000"
"12","SSJC",NA,NA,NA,110700,0,NA,NA,"sim--1373711024.msf",24082,7181,0.9999,100,10,204,10,"100 100000 100 100000 100 100000"
"13","ANNEALINGEvolGTR",TRUE,0,1503,100,0,"ConsensusLogLL",-650.034842890225,"sim--1373711024.msf",83881,7181,0.9999,100,10,204,10,"100 100000 100 100000 100 100000"
"14","ANNEALINGEvolGTR",TRUE,0,1503,100,0,"BestSampledLogLL",-650.438728128383,"sim--1373711024.msf",83881,7181,0.9999,100,10,204,10,"100 100000 100 100000 100 100000"
"15","ANNEALINGEvolGTR",TRUE,0,1503,100,0,"PartitionMetric",2,"sim--1373711024.msf",83881,7181,0.9999,100,10,204,10,"100 100000 100 100000 100 100000"
"16","ANNEALINGEvolGTR",TRUE,0,1503,100,0,"RobinsonFouldsMetric",0.299809985157658,"sim--1373711024.msf",83881,7181,0.9999,100,10,204,10,"100 100000 100 100000 100 100000"
"17","ANNEALINGEvolGTR",TRUE,0,1503,100,0,"KuhnerFelsenstein",0.00925801288399884,"sim--1373711024.msf",83881,7181,0.9999,100,10,204,10,"100 100000 100 100000 100 100000"
"18","SSEvolGTR",NA,NA,NA,150300,0,NA,NA,"sim--1373711024.msf",75725,7181,0.9999,100,10,204,10,"100 100000 100 100000 100 100000"
"19","ANNEALINGEvolK2P",TRUE,0,1182,100,0,"ConsensusLogLL",-654.045558957489,"sim--2111155351.msf",51437,7181,0.9999,100,10,218,10,"100 100000 100 100000 100 100000"
"20","ANNEALINGEvolK2P",TRUE,0,1182,100,0,"BestSampledLogLL",-650.76986168237,"sim--2111155351.msf",51437,7181,0.9999,100,10,218,10,"100 100000 100 100000 100 100000"
"21","ANNEALINGEvolK2P",TRUE,0,1182,100,0,"PartitionMetric",0,"sim--2111155351.msf",51437,7181,0.9999,100,10,218,10,"100 100000 100 100000 100 100000"
"22","ANNEALINGEvolK2P",TRUE,0,1182,100,0,"RobinsonFouldsMetric",0.40406937225488,"sim--2111155351.msf",51437,7181,0.9999,100,10,218,10,"100 100000 100 100000 100 100000"
"23","ANNEALINGEvolK2P",TRUE,0,1182,100,0,"KuhnerFelsenstein",0.0221508623016805,"sim--2111155351.msf",51437,7181,0.9999,100,10,218,10,"100 100000 100 100000 100 100000"
"24","SSEvolK2P",NA,NA,NA,118200,0,NA,NA,"sim--2111155351.msf",43005,7181,0.9999,100,10,218,10,"100 100000 100 100000 100 100000"
"25","ANNEALINGJC",TRUE,0,1128,100,0,"ConsensusLogLL",-648.629082065012,"sim--2111155351.msf",28485,7181,0.9999,100,10,218,10,"100 100000 100 100000 100 100000"
"26","ANNEALINGJC",TRUE,0,1128,100,0,"BestSampledLogLL",-650.515930311627,"sim--2111155351.msf",28485,7181,0.9999,100,10,218,10,"100 100000 100 100000 100 100000"
"27","ANNEALINGJC",TRUE,0,1128,100,0,"PartitionMetric",0,"sim--2111155351.msf",28485,7181,0.9999,100,10,218,10,"100 100000 100 100000 100 100000"
"28","ANNEALINGJC",TRUE,0,1128,100,0,"RobinsonFouldsMetric",0.410558665055423,"sim--2111155351.msf",28485,7181,0.9999,100,10,218,10,"100 100000 100 100000 100 100000"
"29","ANNEALINGJC",TRUE,0,1128,100,0,"KuhnerFelsenstein",0.0192802235597484,"sim--2111155351.msf",28485,7181,0.9999,100,10,218,10,"100 100000 100 100000 100 100000"
"30","SSJC",NA,NA,NA,112800,0,NA,NA,"sim--2111155351.msf",25077,7181,0.9999,100,10,218,10,"100 100000 100 100000 100 100000"
"31","ANNEALINGEvolGTR",TRUE,0,1525,100,0,"ConsensusLogLL",-650.760199962904,"sim--2111155351.msf",79485,7181,0.9999,100,10,218,10,"100 100000 100 100000 100 100000"
"32","ANNEALINGEvolGTR",TRUE,0,1525,100,0,"BestSampledLogLL",-652.036319468612,"sim--2111155351.msf",79485,7181,0.9999,100,10,218,10,"100 100000 100 100000 100 100000"
"33","ANNEALINGEvolGTR",TRUE,0,1525,100,0,"PartitionMetric",2,"sim--2111155351.msf",79485,7181,0.9999,100,10,218,10,"100 100000 100 100000 100 100000"
"34","ANNEALINGEvolGTR",TRUE,0,1525,100,0,"RobinsonFouldsMetric",0.417980745287431,"sim--2111155351.msf",79485,7181,0.9999,100,10,218,10,"100 100000 100 100000 100 100000"
"35","ANNEALINGEvolGTR",TRUE,0,1525,100,0,"KuhnerFelsenstein",0.0216246419699917,"sim--2111155351.msf",79485,7181,0.9999,100,10,218,10,"100 100000 100 100000 100 100000"
"36","SSEvolGTR",NA,NA,NA,152500,0,NA,NA,"sim--2111155351.msf",63982,7181,0.9999,100,10,218,10,"100 100000 100 100000 100 100000"
"37","ANNEALINGEvolK2P",TRUE,0,1178,100,0,"ConsensusLogLL",-778.741642387051,"sim--1787744172.msf",46939,7181,0.9999,100,10,212,10,"100 100000 100 100000 100 100000"
