"","#treeName","pi_1","pi_2","pi_3","pi_4","r_1","r_2","r_3","r_4","r_5","r_6","alpha","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"1","sim--714420091.msf.Rep0",0.237722009180464,0.275212871203634,0.230977980363503,0.230977980363503,0.179456396938704,0.158713601128896,0.172223216275854,0.174631285135641,0.144436456521389,0.170539043999517,5.84399500722903,11,0.9999,2000,20,306,10,"200 100000 200 100000 200 100000"
"2","sim-301124431.msf.Rep0",0.252873757190776,0.251196864735899,0.258590897068097,0.258590897068097,0.155852403517179,0.159107607063361,0.149794049791445,0.187439666052148,0.142713984616142,0.205092288959726,1.60038705530389,11,0.9999,2000,20,309,10,"200 100000 200 100000 200 100000"
"3","sim--1361242449.msf.Rep0",0.271022072669778,0.221443495825204,0.259637915854539,0.259637915854539,0.199574447533363,0.18789941299379,0.153362607860584,0.163916079287296,0.149207878703679,0.146039573621288,7.05189991122935,11,0.9999,2000,20,310,10,"200 100000 200 100000 200 100000"
"4","sim--947209301.msf.Rep0",0.274939771908119,0.222131851009279,0.267194364263493,0.267194364263493,0.15158518529826,0.164528858254271,0.188107312653808,0.150565574553709,0.183896215793456,0.161316853446497,1.87233234010098,11,0.9999,2000,20,302,10,"200 100000 200 100000 200 100000"
"5","sim-1038568758.msf.Rep0",0.270933946067607,0.256639457394164,0.257899340679162,0.257899340679162,0.179164118910529,0.177074465159275,0.152803409481032,0.159193343180957,0.165011294075439,0.166753369192769,5.41424146491884,11,0.9999,2000,20,303,10,"200 100000 200 100000 200 100000"
"6","sim-624535610.msf.Rep0",0.262170933161583,0.275601055903194,0.241135406321552,0.241135406321552,0.145452687184551,0.168591684582049,0.153432708543336,0.145965869142273,0.208859132637806,0.177697917909984,2.80606788301631,11,0.9999,2000,20,311,10,"200 100000 200 100000 200 100000"
"7","sim--1037831270.msf.Rep0",0.233522413899982,0.250827497749699,0.259404737020689,0.259404737020689,0.178866275953021,0.173584024879573,0.14089031073879,0.147069998653901,0.186311090242379,0.173278299532336,6.78904837752751,11,0.9999,2000,20,304,10,"200 100000 200 100000 200 100000"
"8","sim-1963491310.msf.Rep0",0.273745562478876,0.241913145523261,0.267262343086357,0.267262343086357,0.176153702923684,0.170841861220198,0.167030887472414,0.167262517817491,0.160536368007472,0.15817466255874,2.79617736813382,11,0.9999,2000,20,312,10,"200 100000 200 100000 200 100000"
"9","sim-1271357968.msf.Rep0",0.249802466765504,0.214926191267045,0.267887217138803,0.267887217138803,0.154444584790376,0.169405443239384,0.180897081760315,0.162710138434504,0.174002685514087,0.158540066261334,17.8450640817773,11,0.9999,2000,20,307,10,"200 100000 200 100000 200 100000"
"10","sim-715157579.msf.Rep0",0.25697225129939,0.245362664546241,0.260030458193082,0.260030458193082,0.191439568696171,0.157901779165688,0.172728769633489,0.16480868508735,0.169406344413346,0.143714853003956,10.2166753764479,11,0.9999,2000,20,301,10,"200 100000 200 100000 200 100000"
"11","sim--1684653628.msf.Rep0",0.256756658592578,0.255431876518476,0.245076067031794,0.245076067031794,0.18422292091381,0.172642496355416,0.196676787518389,0.150686511852706,0.150079337073821,0.145691946285857,2.54560975336903,11,0.9999,2000,20,308,10,"200 100000 200 100000 200 100000"
"12","sim-947946789.msf.Rep0",0.241722781905732,0.264560689922637,0.253471543864221,0.253471543864221,0.158685259676348,0.150009440146586,0.192517843729382,0.182325554731914,0.147748462855509,0.168713438860261,3.76002016145555,11,0.9999,2000,20,305,10,"200 100000 200 100000 200 100000"
