"","#treeName","Method","logZ","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"1","sim--1684653628.msf.Rep0","ANNEALINGEvolK2P",-26903.7402125267,11,0.9999,2000,20,308,10,"200 100000 200 100000 200 100000"
"2","sim--1684653628.msf.Rep0","SSEvolK2P",-26915.7534997669,11,0.9999,2000,20,308,10,"200 100000 200 100000 200 100000"
"3","sim--1684653628.msf.Rep0","ANNEALINGJC",-26905.3228493824,11,0.9999,2000,20,308,10,"200 100000 200 100000 200 100000"
"4","sim--1684653628.msf.Rep0","SSJC",-26890.786283085,11,0.9999,2000,20,308,10,"200 100000 200 100000 200 100000"
"5","sim--1684653628.msf.Rep0","ANNEALINGEvolGTR",-26937.0132152004,11,0.9999,2000,20,308,10,"200 100000 200 100000 200 100000"
"6","sim--1684653628.msf.Rep0","SSEvolGTR",-27183.630196426,11,0.9999,2000,20,308,10,"200 100000 200 100000 200 100000"
"7","sim--1361242449.msf.Rep0","ANNEALINGEvolK2P",-29779.3431727719,11,0.9999,2000,20,310,10,"200 100000 200 100000 200 100000"
"8","sim--1361242449.msf.Rep0","SSEvolK2P",-29787.3683102943,11,0.9999,2000,20,310,10,"200 100000 200 100000 200 100000"
"9","sim--1361242449.msf.Rep0","ANNEALINGJC",-29782.3912648985,11,0.9999,2000,20,310,10,"200 100000 200 100000 200 100000"
"10","sim--1361242449.msf.Rep0","SSJC",-29760.9062359593,11,0.9999,2000,20,310,10,"200 100000 200 100000 200 100000"
"11","sim--1361242449.msf.Rep0","ANNEALINGEvolGTR",-29806.3737849216,11,0.9999,2000,20,310,10,"200 100000 200 100000 200 100000"
"12","sim--1361242449.msf.Rep0","SSEvolGTR",-29955.1218920737,11,0.9999,2000,20,310,10,"200 100000 200 100000 200 100000"
"13","sim--1037831270.msf.Rep0","ANNEALINGEvolK2P",-29030.2692408719,11,0.9999,2000,20,304,10,"200 100000 200 100000 200 100000"
"14","sim--1037831270.msf.Rep0","SSEvolK2P",-29093.3855479014,11,0.9999,2000,20,304,10,"200 100000 200 100000 200 100000"
"15","sim--1037831270.msf.Rep0","ANNEALINGJC",-29043.4859408736,11,0.9999,2000,20,304,10,"200 100000 200 100000 200 100000"
"16","sim--1037831270.msf.Rep0","SSJC",-29029.22338686,11,0.9999,2000,20,304,10,"200 100000 200 100000 200 100000"
"17","sim--1037831270.msf.Rep0","ANNEALINGEvolGTR",-29073.3639826106,11,0.9999,2000,20,304,10,"200 100000 200 100000 200 100000"
"18","sim--1037831270.msf.Rep0","SSEvolGTR",-29287.101632236,11,0.9999,2000,20,304,10,"200 100000 200 100000 200 100000"
"19","sim--714420091.msf.Rep0","ANNEALINGEvolK2P",-26558.7415520763,11,0.9999,2000,20,306,10,"200 100000 200 100000 200 100000"
"20","sim--714420091.msf.Rep0","SSEvolK2P",-26565.1800878088,11,0.9999,2000,20,306,10,"200 100000 200 100000 200 100000"
"21","sim--714420091.msf.Rep0","ANNEALINGJC",-26552.3544220317,11,0.9999,2000,20,306,10,"200 100000 200 100000 200 100000"
"22","sim--714420091.msf.Rep0","SSJC",-26546.194257101,11,0.9999,2000,20,306,10,"200 100000 200 100000 200 100000"
"23","sim--714420091.msf.Rep0","ANNEALINGEvolGTR",-26655.7537261272,11,0.9999,2000,20,306,10,"200 100000 200 100000 200 100000"
"24","sim--714420091.msf.Rep0","SSEvolGTR",-26806.8572792237,11,0.9999,2000,20,306,10,"200 100000 200 100000 200 100000"
"25","sim-1038568758.msf.Rep0","ANNEALINGEvolK2P",-24424.2835723097,11,0.9999,2000,20,303,10,"200 100000 200 100000 200 100000"
"26","sim-1038568758.msf.Rep0","SSEvolK2P",-24406.4825437081,11,0.9999,2000,20,303,10,"200 100000 200 100000 200 100000"
"27","sim-1038568758.msf.Rep0","ANNEALINGJC",-24412.8538579067,11,0.9999,2000,20,303,10,"200 100000 200 100000 200 100000"
"28","sim-1038568758.msf.Rep0","SSJC",-24398.7789991553,11,0.9999,2000,20,303,10,"200 100000 200 100000 200 100000"
"29","sim-1038568758.msf.Rep0","ANNEALINGEvolGTR",-24429.2365966573,11,0.9999,2000,20,303,10,"200 100000 200 100000 200 100000"
"30","sim-1038568758.msf.Rep0","SSEvolGTR",-24582.8111122515,11,0.9999,2000,20,303,10,"200 100000 200 100000 200 100000"
"31","sim-1963491310.msf.Rep0","ANNEALINGEvolK2P",-25949.6228420239,11,0.9999,2000,20,312,10,"200 100000 200 100000 200 100000"
"32","sim-1963491310.msf.Rep0","SSEvolK2P",-25947.0502307329,11,0.9999,2000,20,312,10,"200 100000 200 100000 200 100000"
"33","sim-1963491310.msf.Rep0","ANNEALINGJC",-25939.9475966234,11,0.9999,2000,20,312,10,"200 100000 200 100000 200 100000"
"34","sim-1963491310.msf.Rep0","SSJC",-25926.5086105335,11,0.9999,2000,20,312,10,"200 100000 200 100000 200 100000"
"35","sim-1963491310.msf.Rep0","ANNEALINGEvolGTR",-25949.1831696466,11,0.9999,2000,20,312,10,"200 100000 200 100000 200 100000"
"36","sim-1963491310.msf.Rep0","SSEvolGTR",-26077.9127080255,11,0.9999,2000,20,312,10,"200 100000 200 100000 200 100000"
"37","sim--947209301.msf.Rep0","ANNEALINGEvolK2P",-27316.8985423933,11,0.9999,2000,20,302,10,"200 100000 200 100000 200 100000"
"38","sim--947209301.msf.Rep0","SSEvolK2P",-27328.7578692858,11,0.9999,2000,20,302,10,"200 100000 200 100000 200 100000"
"39","sim--947209301.msf.Rep0","ANNEALINGJC",-27312.2852203045,11,0.9999,2000,20,302,10,"200 100000 200 100000 200 100000"
"40","sim--947209301.msf.Rep0","SSJC",-27306.5255624749,11,0.9999,2000,20,302,10,"200 100000 200 100000 200 100000"
"41","sim--947209301.msf.Rep0","ANNEALINGEvolGTR",-27339.1528645367,11,0.9999,2000,20,302,10,"200 100000 200 100000 200 100000"
"42","sim--947209301.msf.Rep0","SSEvolGTR",-27494.8629181701,11,0.9999,2000,20,302,10,"200 100000 200 100000 200 100000"
"43","sim-1271357968.msf.Rep0","ANNEALINGEvolK2P",-31082.8512117831,11,0.9999,2000,20,307,10,"200 100000 200 100000 200 100000"
"44","sim-1271357968.msf.Rep0","SSEvolK2P",-31281.207011748,11,0.9999,2000,20,307,10,"200 100000 200 100000 200 100000"
"45","sim-1271357968.msf.Rep0","ANNEALINGJC",-31071.3134541288,11,0.9999,2000,20,307,10,"200 100000 200 100000 200 100000"
"46","sim-1271357968.msf.Rep0","SSJC",-31068.5145234042,11,0.9999,2000,20,307,10,"200 100000 200 100000 200 100000"
"47","sim-1271357968.msf.Rep0","ANNEALINGEvolGTR",-31151.8363314017,11,0.9999,2000,20,307,10,"200 100000 200 100000 200 100000"
"48","sim-1271357968.msf.Rep0","SSEvolGTR",-31955.3013693411,11,0.9999,2000,20,307,10,"200 100000 200 100000 200 100000"
"49","sim-947946789.msf.Rep0","ANNEALINGEvolK2P",-22207.7831959887,11,0.9999,2000,20,305,10,"200 100000 200 100000 200 100000"
"50","sim-947946789.msf.Rep0","SSEvolK2P",-22206.0947965914,11,0.9999,2000,20,305,10,"200 100000 200 100000 200 100000"
"51","sim-947946789.msf.Rep0","ANNEALINGJC",-22210.0836810098,11,0.9999,2000,20,305,10,"200 100000 200 100000 200 100000"
"52","sim-947946789.msf.Rep0","SSJC",-22204.5971206533,11,0.9999,2000,20,305,10,"200 100000 200 100000 200 100000"
"53","sim-947946789.msf.Rep0","ANNEALINGEvolGTR",-22250.2576326498,11,0.9999,2000,20,305,10,"200 100000 200 100000 200 100000"
"54","sim-947946789.msf.Rep0","SSEvolGTR",-22316.5916155565,11,0.9999,2000,20,305,10,"200 100000 200 100000 200 100000"
"55","sim-715157579.msf.Rep0","ANNEALINGEvolK2P",-30603.1468355808,11,0.9999,2000,20,301,10,"200 100000 200 100000 200 100000"
"56","sim-715157579.msf.Rep0","SSEvolK2P",-40596.45388463,11,0.9999,2000,20,301,10,"200 100000 200 100000 200 100000"
"57","sim-715157579.msf.Rep0","ANNEALINGJC",-30594.0911754899,11,0.9999,2000,20,301,10,"200 100000 200 100000 200 100000"
"58","sim-715157579.msf.Rep0","SSJC",-30580.9059199432,11,0.9999,2000,20,301,10,"200 100000 200 100000 200 100000"
"59","sim-715157579.msf.Rep0","ANNEALINGEvolGTR",-30633.8093439512,11,0.9999,2000,20,301,10,"200 100000 200 100000 200 100000"
"60","sim-715157579.msf.Rep0","SSEvolGTR",-30876.7444560914,11,0.9999,2000,20,301,10,"200 100000 200 100000 200 100000"
"61","sim-301124431.msf.Rep0","ANNEALINGEvolK2P",-23813.4565719616,11,0.9999,2000,20,309,10,"200 100000 200 100000 200 100000"
"62","sim-301124431.msf.Rep0","SSEvolK2P",-23800.2639052755,11,0.9999,2000,20,309,10,"200 100000 200 100000 200 100000"
"63","sim-301124431.msf.Rep0","ANNEALINGJC",-23814.7586646078,11,0.9999,2000,20,309,10,"200 100000 200 100000 200 100000"
"64","sim-301124431.msf.Rep0","SSJC",-23798.0411410726,11,0.9999,2000,20,309,10,"200 100000 200 100000 200 100000"
"65","sim-301124431.msf.Rep0","ANNEALINGEvolGTR",-23842.4660512861,11,0.9999,2000,20,309,10,"200 100000 200 100000 200 100000"
"66","sim-301124431.msf.Rep0","SSEvolGTR",-23936.2941916086,11,0.9999,2000,20,309,10,"200 100000 200 100000 200 100000"
"67","sim-624535610.msf.Rep0","ANNEALINGEvolK2P",-25379.3609516345,11,0.9999,2000,20,311,10,"200 100000 200 100000 200 100000"
"68","sim-624535610.msf.Rep0","SSEvolK2P",-25434.0309452154,11,0.9999,2000,20,311,10,"200 100000 200 100000 200 100000"
"69","sim-624535610.msf.Rep0","ANNEALINGJC",-25387.4117841712,11,0.9999,2000,20,311,10,"200 100000 200 100000 200 100000"
"70","sim-624535610.msf.Rep0","SSJC",-25373.9198332635,11,0.9999,2000,20,311,10,"200 100000 200 100000 200 100000"
"71","sim-624535610.msf.Rep0","ANNEALINGEvolGTR",-25407.5033556435,11,0.9999,2000,20,311,10,"200 100000 200 100000 200 100000"
"72","sim-624535610.msf.Rep0","SSEvolGTR",-26281.5099960848,11,0.9999,2000,20,311,10,"200 100000 200 100000 200 100000"
