"","treeName","modelByASMC","modelBySS"
"1","sim--1684653628.msf.Rep0","ANNEALINGJC","SSEvolK2P"
"2","sim--1361242449.msf.Rep0","ANNEALINGJC","SSEvolK2P"
"3","sim--1037831270.msf.Rep0","ANNEALINGJC","SSEvolK2P"
"4","sim--714420091.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"5","sim-1038568758.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"6","sim-1963491310.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"7","sim--947209301.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"8","sim-1271357968.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"9","sim-947946789.msf.Rep0","ANNEALINGJC","SSEvolK2P"
"10","sim-715157579.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"11","sim-301124431.msf.Rep0","ANNEALINGJC","SSEvolK2P"
"12","sim-624535610.msf.Rep0","ANNEALINGJC","SSEvolK2P"
