#Method,Adaptive,AdaptiveType,T,IterScale,Repeat,Metric,Value,TreeName,Time
SUBSAMPLING,,,,100.0,0,ConsensusLogLL,-49191.60480523531,sim--2142322983.msf,229752
SUBSAMPLING,,,,100.0,0,BestSampledLogLL,-49193.3385463228,sim--2142322983.msf,229752
SUBSAMPLING,,,,100.0,0,PartitionMetric,0.0,sim--2142322983.msf,229752
SUBSAMPLING,,,,100.0,0,RobinsonFouldsMetric,0.1271653795328328,sim--2142322983.msf,229752
SUBSAMPLING,,,,100.0,0,KuhnerFelsenstein,0.00196653149670522,sim--2142322983.msf,229752
SUBSAMPLING,,,,100.0,1,ConsensusLogLL,-49191.96735897554,sim--2142322983.msf,225505
SUBSAMPLING,,,,100.0,1,BestSampledLogLL,-49193.333419539886,sim--2142322983.msf,225505
SUBSAMPLING,,,,100.0,1,PartitionMetric,0.0,sim--2142322983.msf,225505
SUBSAMPLING,,,,100.0,1,RobinsonFouldsMetric,0.0819879123100849,sim--2142322983.msf,225505
SUBSAMPLING,,,,100.0,1,KuhnerFelsenstein,5.82804647225056E-4,sim--2142322983.msf,225505
SUBSAMPLING,,,,100.0,2,ConsensusLogLL,-49196.64448615959,sim--2142322983.msf,229397
SUBSAMPLING,,,,100.0,2,BestSampledLogLL,-49194.21192917348,sim--2142322983.msf,229397
SUBSAMPLING,,,,100.0,2,PartitionMetric,0.0,sim--2142322983.msf,229397
SUBSAMPLING,,,,100.0,2,RobinsonFouldsMetric,0.1409649208690592,sim--2142322983.msf,229397
SUBSAMPLING,,,,100.0,2,KuhnerFelsenstein,0.0016892100440512765,sim--2142322983.msf,229397
SUBSAMPLING,,,,100.0,3,ConsensusLogLL,-49191.449139198485,sim--2142322983.msf,229829
SUBSAMPLING,,,,100.0,3,BestSampledLogLL,-49197.50183803025,sim--2142322983.msf,229829
SUBSAMPLING,,,,100.0,3,PartitionMetric,0.0,sim--2142322983.msf,229829
SUBSAMPLING,,,,100.0,3,RobinsonFouldsMetric,0.13081904651555024,sim--2142322983.msf,229829
SUBSAMPLING,,,,100.0,3,KuhnerFelsenstein,0.0019257672054058008,sim--2142322983.msf,229829
SUBSAMPLING,,,,100.0,4,ConsensusLogLL,-49194.461119534906,sim--2142322983.msf,222001
SUBSAMPLING,,,,100.0,4,BestSampledLogLL,-49193.5741483454,sim--2142322983.msf,222001
SUBSAMPLING,,,,100.0,4,PartitionMetric,0.0,sim--2142322983.msf,222001
SUBSAMPLING,,,,100.0,4,RobinsonFouldsMetric,0.10196472405380717,sim--2142322983.msf,222001
SUBSAMPLING,,,,100.0,4,KuhnerFelsenstein,9.800127799108507E-4,sim--2142322983.msf,222001
SUBSAMPLING,,,,100.0,5,ConsensusLogLL,-49192.950949511025,sim--2142322983.msf,223527
SUBSAMPLING,,,,100.0,5,BestSampledLogLL,-49193.42083779041,sim--2142322983.msf,223527
SUBSAMPLING,,,,100.0,5,PartitionMetric,0.0,sim--2142322983.msf,223527
SUBSAMPLING,,,,100.0,5,RobinsonFouldsMetric,0.128511152202276,sim--2142322983.msf,223527
SUBSAMPLING,,,,100.0,5,KuhnerFelsenstein,0.0015765494941590511,sim--2142322983.msf,223527
SUBSAMPLING,,,,100.0,6,ConsensusLogLL,-49193.79716606736,sim--2142322983.msf,238425
SUBSAMPLING,,,,100.0,6,BestSampledLogLL,-49196.95344916886,sim--2142322983.msf,238425
SUBSAMPLING,,,,100.0,6,PartitionMetric,0.0,sim--2142322983.msf,238425
SUBSAMPLING,,,,100.0,6,RobinsonFouldsMetric,0.10370626691456493,sim--2142322983.msf,238425
SUBSAMPLING,,,,100.0,6,KuhnerFelsenstein,0.0012359580041812108,sim--2142322983.msf,238425
SUBSAMPLING,,,,100.0,7,ConsensusLogLL,-49194.92677318464,sim--2142322983.msf,230621
SUBSAMPLING,,,,100.0,7,BestSampledLogLL,-49197.34863361836,sim--2142322983.msf,230621
SUBSAMPLING,,,,100.0,7,PartitionMetric,0.0,sim--2142322983.msf,230621
SUBSAMPLING,,,,100.0,7,RobinsonFouldsMetric,0.11823115220227595,sim--2142322983.msf,230621
SUBSAMPLING,,,,100.0,7,KuhnerFelsenstein,0.0013402572766112114,sim--2142322983.msf,230621
SUBSAMPLING,,,,100.0,8,ConsensusLogLL,-49205.05706466994,sim--2142322983.msf,470366
SUBSAMPLING,,,,100.0,8,BestSampledLogLL,-49206.61881327028,sim--2142322983.msf,470366
SUBSAMPLING,,,,100.0,8,PartitionMetric,0.0,sim--2142322983.msf,470366
SUBSAMPLING,,,,100.0,8,RobinsonFouldsMetric,0.15091144726391842,sim--2142322983.msf,470366
SUBSAMPLING,,,,100.0,8,KuhnerFelsenstein,0.0027908239767752106,sim--2142322983.msf,470366
SUBSAMPLING,,,,100.0,9,ConsensusLogLL,-49190.90847404304,sim--2142322983.msf,232176
SUBSAMPLING,,,,100.0,9,BestSampledLogLL,-49191.37740206184,sim--2142322983.msf,232176
SUBSAMPLING,,,,100.0,9,PartitionMetric,0.0,sim--2142322983.msf,232176
SUBSAMPLING,,,,100.0,9,RobinsonFouldsMetric,0.10710687265873933,sim--2142322983.msf,232176
SUBSAMPLING,,,,100.0,9,KuhnerFelsenstein,0.0015707497959037578,sim--2142322983.msf,232176
