#treeName,Method,NumericalLogZ,logZ
sim--2142322983.msf.Rep0,Subsampling,0.0,-49269.59890226893
sim--2142322983.msf.Rep1,Subsampling,0.0,-49270.377526744196
sim--2142322983.msf.Rep2,Subsampling,0.0,-49266.083238872445
sim--2142322983.msf.Rep3,Subsampling,0.0,-49260.70756894571
sim--2142322983.msf.Rep4,Subsampling,0.0,-49262.7240439427
sim--2142322983.msf.Rep5,Subsampling,0.0,-49268.10601810933
sim--2142322983.msf.Rep6,Subsampling,0.0,-49265.21450410501
sim--2142322983.msf.Rep7,Subsampling,0.0,-49274.43841565861
sim--2142322983.msf.Rep8,Subsampling,0.0,-49272.587790632024
sim--2142322983.msf.Rep9,Subsampling,0.0,-49263.539216734716
