#t,ESS,tempDiff,temp
0,100.00000000000006,0.0,0.0
1,99.98999999999998,2.7674349592841976E-6,2.7674349592841976E-6
2,99.9607804757461,2.7651000650939962E-6,5.532535024378193E-6
3,99.91256177722303,2.837272612607976E-6,8.36980763698617E-6
4,99.8457280707694,2.760339451391579E-6,1.1130147088377748E-5
5,99.76160006495273,2.752861650177657E-6,1.3883008738555405E-5
6,99.66025025416769,2.7930884260996116E-6,1.667609716465502E-5
7,99.54275197289144,2.837355113155198E-6,1.9513452277810216E-5
8,99.40928153024515,2.925039862102302E-6,2.243849213991252E-5
9,99.2617188840929,3.00923302991322E-6,2.544772516982574E-5
10,99.10194870170139,2.881130736038288E-6,2.832885590586403E-5
11,98.92727313749698,2.876778000893343E-6,3.120563390675737E-5
12,98.73705124544988,2.6342737547754017E-6,3.383990766153277E-5
13,98.53453423911655,2.700590959501704E-6,3.6540498621034475E-5
14,98.31963990968589,2.7307583999563952E-6,3.927125702099087E-5
15,98.09083868546847,2.598916173589833E-6,4.1870173194580704E-5
16,97.84869367359941,2.5699231200096174E-6,4.4440096314590324E-5
17,97.60207919746422,2.5561848886661245E-6,4.699628120325645E-5
18,97.34605753220642,2.5385223901605306E-6,4.953480359341698E-5
19,97.07446700186615,2.6435097317265963E-6,5.2178313325143575E-5
20,96.79598825728628,2.65016116938612E-6,5.48284744945297E-5
21,96.50563397966681,2.685767494372357E-6,5.751424198890205E-5
22,96.21235346896174,2.6016581687449556E-6,6.0115900157647006E-5
23,95.91537425668025,2.559971315897442E-6,6.267587147354444E-5
24,95.61203105830573,2.5601936122612467E-6,6.523606508580569E-5
25,95.30272160584383,2.5725981831897934E-6,6.780866326899548E-5
26,94.98523628406866,2.5507210299899697E-6,7.035938429898545E-5
27,94.66164268509819,2.5709650972452024E-6,7.293034939623065E-5
28,94.32799393745545,2.476516320005337E-6,7.540686571623599E-5
29,93.9872691480559,2.5259786464238674E-6,7.793284436265985E-5
30,93.64475476426843,2.5089025923215916E-6,8.044174695498144E-5
31,93.29694599361684,2.496111509487541E-6,8.293785846446898E-5
32,92.9542315174211,2.5353837636852835E-6,8.547324222815427E-5
33,92.61849097003677,2.566378761503924E-6,8.803962098965819E-5
34,92.27451777901474,2.5178199587621853E-6,9.055744094842038E-5
35,91.93233491520314,2.582283627209E-6,9.313972457562937E-5
36,91.58999533800558,2.54125269211286E-6,9.568097726774223E-5
37,91.23878837951582,2.5686245203265256E-6,9.824960178806875E-5
38,90.8853613373224,2.612632054585438E-6,1.0086223384265418E-4
39,90.53264873406616,2.563262887097618E-6,1.0342549672975179E-4
40,90.17300675303993,2.5651244100240973E-6,1.0599062113977589E-4
41,89.8077329484257,2.63280227033463E-6,1.0862342341011053E-4
42,89.4352008183882,2.6853694271559493E-6,1.1130879283726647E-4
43,89.05990115965236,2.6463481123805774E-6,1.1395514094964706E-4
44,88.66830285936247,2.6237926727924466E-6,1.165789336224395E-4
45,88.26538293604206,2.630554489315698E-6,1.192094881117552E-4
46,87.86117887914628,2.660235455707004E-6,1.2186972356746221E-4
47,87.45522807380472,2.7075083632984443E-6,1.2457723193076066E-4
48,87.05542182693964,2.624527813412864E-6,1.2720175974417352E-4
49,86.66541100039443,2.605813998783307E-6,1.2980757374295683E-4
