#treeName,Method,NumericalLogZ,logZ
sim--2142322983.msf.Rep0,Adaptive,0.0,-49262.766407976706
sim--2142322983.msf.Rep0,Subsampling,0.0,-49273.94992109019
sim--2142322983.msf.Rep1,Adaptive,0.0,-49266.67399272522
sim--2142322983.msf.Rep1,Subsampling,0.0,-49278.853220162964
sim--2142322983.msf.Rep2,Adaptive,0.0,-49267.26299990791
sim--2142322983.msf.Rep2,Subsampling,0.0,-49273.811220287644
sim--2142322983.msf.Rep3,Adaptive,0.0,-49263.129755652124
sim--2142322983.msf.Rep3,Subsampling,0.0,-49276.63085533614
sim--2142322983.msf.Rep4,Adaptive,0.0,-49264.437127402285
sim--2142322983.msf.Rep4,Subsampling,0.0,-49277.30057484069
sim--2142322983.msf.Rep5,Adaptive,0.0,-49270.33616386067
sim--2142322983.msf.Rep5,Subsampling,0.0,-49275.20131640261
sim--2142322983.msf.Rep6,Adaptive,0.0,-49258.90451610749
sim--2142322983.msf.Rep6,Subsampling,0.0,-49255.531054991334
sim--2142322983.msf.Rep7,Adaptive,0.0,-49263.31813606893
sim--2142322983.msf.Rep7,Subsampling,0.0,-49274.26292007357
sim--2142322983.msf.Rep8,Adaptive,0.0,-49271.93397129344
sim--2142322983.msf.Rep8,Subsampling,0.0,-49277.455345318514
sim--2142322983.msf.Rep9,Adaptive,0.0,-49260.335785558156
sim--2142322983.msf.Rep9,Subsampling,0.0,-49274.01195816688
