#Method,Adaptive,AdaptiveType,T,IterScale,Repeat,Metric,Value,TreeName,Time
ANNEALING,true,0,2362,100.0,0,ConsensusLogLL,-49189.74606598589,sim--2142322983.msf,819664
ANNEALING,true,0,2362,100.0,0,BestSampledLogLL,-49194.55282456906,sim--2142322983.msf,819664
ANNEALING,true,0,2362,100.0,0,PartitionMetric,0.0,sim--2142322983.msf,819664
ANNEALING,true,0,2362,100.0,0,RobinsonFouldsMetric,0.10429070033017629,sim--2142322983.msf,819664
ANNEALING,true,0,2362,100.0,0,KuhnerFelsenstein,0.0012227874640869578,sim--2142322983.msf,819664
SUBSAMPLING,,,,100.0,0,ConsensusLogLL,-49196.26714734811,sim--2142322983.msf,227419
SUBSAMPLING,,,,100.0,0,BestSampledLogLL,-49197.653093795816,sim--2142322983.msf,227419
SUBSAMPLING,,,,100.0,0,PartitionMetric,0.0,sim--2142322983.msf,227419
SUBSAMPLING,,,,100.0,0,RobinsonFouldsMetric,0.12191728618657643,sim--2142322983.msf,227419
SUBSAMPLING,,,,100.0,0,KuhnerFelsenstein,0.002133809229053389,sim--2142322983.msf,227419
ANNEALING,true,0,2306,100.0,1,ConsensusLogLL,-49191.026185967516,sim--2142322983.msf,842494
ANNEALING,true,0,2306,100.0,1,BestSampledLogLL,-49193.796352193014,sim--2142322983.msf,842494
ANNEALING,true,0,2306,100.0,1,PartitionMetric,0.0,sim--2142322983.msf,842494
ANNEALING,true,0,2306,100.0,1,RobinsonFouldsMetric,0.11238494917182619,sim--2142322983.msf,842494
ANNEALING,true,0,2306,100.0,1,KuhnerFelsenstein,0.0014073616963346323,sim--2142322983.msf,842494
SUBSAMPLING,,,,100.0,1,ConsensusLogLL,-49195.74756245012,sim--2142322983.msf,250279
SUBSAMPLING,,,,100.0,1,BestSampledLogLL,-49200.09308282617,sim--2142322983.msf,250279
SUBSAMPLING,,,,100.0,1,PartitionMetric,0.0,sim--2142322983.msf,250279
SUBSAMPLING,,,,100.0,1,RobinsonFouldsMetric,0.12607772251538826,sim--2142322983.msf,250279
SUBSAMPLING,,,,100.0,1,KuhnerFelsenstein,0.0015724862334390583,sim--2142322983.msf,250279
ANNEALING,true,0,2267,100.0,2,ConsensusLogLL,-49188.73823596514,sim--2142322983.msf,786418
ANNEALING,true,0,2267,100.0,2,BestSampledLogLL,-49192.690790777946,sim--2142322983.msf,786418
ANNEALING,true,0,2267,100.0,2,PartitionMetric,0.0,sim--2142322983.msf,786418
ANNEALING,true,0,2267,100.0,2,RobinsonFouldsMetric,0.09979537906538129,sim--2142322983.msf,786418
ANNEALING,true,0,2267,100.0,2,KuhnerFelsenstein,0.0011025918903799455,sim--2142322983.msf,786418
SUBSAMPLING,,,,100.0,2,ConsensusLogLL,-49193.00785567537,sim--2142322983.msf,238067
SUBSAMPLING,,,,100.0,2,BestSampledLogLL,-49194.870613694206,sim--2142322983.msf,238067
SUBSAMPLING,,,,100.0,2,PartitionMetric,0.0,sim--2142322983.msf,238067
SUBSAMPLING,,,,100.0,2,RobinsonFouldsMetric,0.13538988621048237,sim--2142322983.msf,238067
SUBSAMPLING,,,,100.0,2,KuhnerFelsenstein,0.002099025713302142,sim--2142322983.msf,238067
ANNEALING,true,0,2363,100.0,3,ConsensusLogLL,-49189.814129772785,sim--2142322983.msf,795430
ANNEALING,true,0,2363,100.0,3,BestSampledLogLL,-49192.86374935867,sim--2142322983.msf,795430
ANNEALING,true,0,2363,100.0,3,PartitionMetric,0.0,sim--2142322983.msf,795430
ANNEALING,true,0,2363,100.0,3,RobinsonFouldsMetric,0.12192537906538131,sim--2142322983.msf,795430
ANNEALING,true,0,2363,100.0,3,KuhnerFelsenstein,0.0016294869330990933,sim--2142322983.msf,795430
SUBSAMPLING,,,,100.0,3,ConsensusLogLL,-49193.66901618473,sim--2142322983.msf,269696
SUBSAMPLING,,,,100.0,3,BestSampledLogLL,-49193.51286523158,sim--2142322983.msf,269696
SUBSAMPLING,,,,100.0,3,PartitionMetric,0.0,sim--2142322983.msf,269696
SUBSAMPLING,,,,100.0,3,RobinsonFouldsMetric,0.11616347002857444,sim--2142322983.msf,269696
SUBSAMPLING,,,,100.0,3,KuhnerFelsenstein,0.001279738343877586,sim--2142322983.msf,269696
ANNEALING,true,0,2381,100.0,4,ConsensusLogLL,-49188.390946830776,sim--2142322983.msf,843967
ANNEALING,true,0,2381,100.0,4,BestSampledLogLL,-49193.681939441274,sim--2142322983.msf,843967
ANNEALING,true,0,2381,100.0,4,PartitionMetric,0.0,sim--2142322983.msf,843967
ANNEALING,true,0,2381,100.0,4,RobinsonFouldsMetric,0.0717050437894885,sim--2142322983.msf,843967
ANNEALING,true,0,2381,100.0,4,KuhnerFelsenstein,4.529928103391404E-4,sim--2142322983.msf,843967
SUBSAMPLING,,,,100.0,4,ConsensusLogLL,-49193.33795691964,sim--2142322983.msf,252517
SUBSAMPLING,,,,100.0,4,BestSampledLogLL,-49197.04810318002,sim--2142322983.msf,252517
SUBSAMPLING,,,,100.0,4,PartitionMetric,0.0,sim--2142322983.msf,252517
SUBSAMPLING,,,,100.0,4,RobinsonFouldsMetric,0.10618339160229467,sim--2142322983.msf,252517
SUBSAMPLING,,,,100.0,4,KuhnerFelsenstein,0.0010527051195611896,sim--2142322983.msf,252517
ANNEALING,true,0,2353,100.0,5,ConsensusLogLL,-49189.107396980675,sim--2142322983.msf,745377
ANNEALING,true,0,2353,100.0,5,BestSampledLogLL,-49194.524709133686,sim--2142322983.msf,745377
ANNEALING,true,0,2353,100.0,5,PartitionMetric,0.0,sim--2142322983.msf,745377
ANNEALING,true,0,2353,100.0,5,RobinsonFouldsMetric,0.09603427735659456,sim--2142322983.msf,745377
ANNEALING,true,0,2353,100.0,5,KuhnerFelsenstein,9.379743839955674E-4,sim--2142322983.msf,745377
SUBSAMPLING,,,,100.0,5,ConsensusLogLL,-49189.96953959864,sim--2142322983.msf,867894
SUBSAMPLING,,,,100.0,5,BestSampledLogLL,-49193.98027225664,sim--2142322983.msf,867894
SUBSAMPLING,,,,100.0,5,PartitionMetric,0.0,sim--2142322983.msf,867894
SUBSAMPLING,,,,100.0,5,RobinsonFouldsMetric,0.08088519674224978,sim--2142322983.msf,867894
SUBSAMPLING,,,,100.0,5,KuhnerFelsenstein,6.092351326270211E-4,sim--2142322983.msf,867894
ANNEALING,true,0,2303,100.0,6,ConsensusLogLL,-49188.8646858262,sim--2142322983.msf,738913
ANNEALING,true,0,2303,100.0,6,BestSampledLogLL,-49191.08590354223,sim--2142322983.msf,738913
ANNEALING,true,0,2303,100.0,6,PartitionMetric,0.0,sim--2142322983.msf,738913
ANNEALING,true,0,2303,100.0,6,RobinsonFouldsMetric,0.08207060990642569,sim--2142322983.msf,738913
ANNEALING,true,0,2303,100.0,6,KuhnerFelsenstein,8.050355994005426E-4,sim--2142322983.msf,738913
SUBSAMPLING,,,,100.0,6,ConsensusLogLL,-49189.09775512766,sim--2142322983.msf,298377
SUBSAMPLING,,,,100.0,6,BestSampledLogLL,-49190.858196215966,sim--2142322983.msf,298377
SUBSAMPLING,,,,100.0,6,PartitionMetric,0.0,sim--2142322983.msf,298377
SUBSAMPLING,,,,100.0,6,RobinsonFouldsMetric,0.08205960639593807,sim--2142322983.msf,298377
SUBSAMPLING,,,,100.0,6,KuhnerFelsenstein,6.509740705643766E-4,sim--2142322983.msf,298377
ANNEALING,true,0,2316,100.0,7,ConsensusLogLL,-49188.14140136535,sim--2142322983.msf,976666
ANNEALING,true,0,2316,100.0,7,BestSampledLogLL,-49192.81587967261,sim--2142322983.msf,976666
ANNEALING,true,0,2316,100.0,7,PartitionMetric,0.0,sim--2142322983.msf,976666
ANNEALING,true,0,2316,100.0,7,RobinsonFouldsMetric,0.09490504378948848,sim--2142322983.msf,976666
ANNEALING,true,0,2316,100.0,7,KuhnerFelsenstein,7.5614036771275E-4,sim--2142322983.msf,976666
SUBSAMPLING,,,,100.0,7,ConsensusLogLL,-49191.12865217109,sim--2142322983.msf,310541
SUBSAMPLING,,,,100.0,7,BestSampledLogLL,-49195.17222505257,sim--2142322983.msf,310541
SUBSAMPLING,,,,100.0,7,PartitionMetric,0.0,sim--2142322983.msf,310541
SUBSAMPLING,,,,100.0,7,RobinsonFouldsMetric,0.0859703205601339,sim--2142322983.msf,310541
SUBSAMPLING,,,,100.0,7,KuhnerFelsenstein,8.907311089910066E-4,sim--2142322983.msf,310541
ANNEALING,true,0,2308,100.0,8,ConsensusLogLL,-49189.251770901064,sim--2142322983.msf,908866
ANNEALING,true,0,2308,100.0,8,BestSampledLogLL,-49196.568480676106,sim--2142322983.msf,908866
ANNEALING,true,0,2308,100.0,8,PartitionMetric,0.0,sim--2142322983.msf,908866
ANNEALING,true,0,2308,100.0,8,RobinsonFouldsMetric,0.10167436778034526,sim--2142322983.msf,908866
ANNEALING,true,0,2308,100.0,8,KuhnerFelsenstein,0.0010366754301775905,sim--2142322983.msf,908866
SUBSAMPLING,,,,100.0,8,ConsensusLogLL,-49190.990531688105,sim--2142322983.msf,266863
SUBSAMPLING,,,,100.0,8,BestSampledLogLL,-49194.539763212364,sim--2142322983.msf,266863
SUBSAMPLING,,,,100.0,8,PartitionMetric,0.0,sim--2142322983.msf,266863
SUBSAMPLING,,,,100.0,8,RobinsonFouldsMetric,0.12352778052375651,sim--2142322983.msf,266863
SUBSAMPLING,,,,100.0,8,KuhnerFelsenstein,0.0018122898982203177,sim--2142322983.msf,266863
ANNEALING,true,0,2318,100.0,9,ConsensusLogLL,-49188.34695947279,sim--2142322983.msf,817941
ANNEALING,true,0,2318,100.0,9,BestSampledLogLL,-49191.38367801254,sim--2142322983.msf,817941
ANNEALING,true,0,2318,100.0,9,PartitionMetric,0.0,sim--2142322983.msf,817941
ANNEALING,true,0,2318,100.0,9,RobinsonFouldsMetric,0.10036963469870502,sim--2142322983.msf,817941
ANNEALING,true,0,2318,100.0,9,KuhnerFelsenstein,0.0011641588456068215,sim--2142322983.msf,817941
SUBSAMPLING,,,,100.0,9,ConsensusLogLL,-49192.23105233249,sim--2142322983.msf,233364
SUBSAMPLING,,,,100.0,9,BestSampledLogLL,-49193.40628529013,sim--2142322983.msf,233364
SUBSAMPLING,,,,100.0,9,PartitionMetric,0.0,sim--2142322983.msf,233364
SUBSAMPLING,,,,100.0,9,RobinsonFouldsMetric,0.10353481785294925,sim--2142322983.msf,233364
SUBSAMPLING,,,,100.0,9,KuhnerFelsenstein,0.0013381534319738715,sim--2142322983.msf,233364
